"Overall Expenditures, 2011-12"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",5606717,246664,146205,198894,1843391,27695,34513,N/A,38346,8142425
="Amistad Academy District",6664053,343104,552144,1185400,2159797,424536,105098,N/A,528689,11962821
="Andover School District",2614956,119862,78502,157650,575755,426314,202872,116908,0,4292819
="Ansonia School District",17318439,922445,482368,1466214,3540175,2660666,1899704,2781509,520247,31591767
="Ashford School District",4521864,289086,76964,228005,803439,576139,625841,189869,39155,7350362
="Avon School District",28312129,1347112,1004708,2974318,4260952,4738027,2207861,2260334,632470,47737911
="Barkhamsted School District",2474983,53432,142720,53424,417162,428282,281032,70796,0,3921831
="Berlin School District",22630456,1234527,966752,3945559,4480878,6164589,2195426,1850964,880591,44349742
="Bethany School District",4183998,133249,85721,175877,800421,816285,323166,288315,0,6807032
="Bethel School District",24124957,582603,3606688,2838069,3995638,3649015,2246891,1473293,533670,43050824
="Bloomfield School District",21527387,853258,1746375,3002132,6005823,5097377,2139395,2232453,493769,43097969
="Bolton School District",7442150,219880,523525,874931,1576039,1116411,673402,671156,203679,13301173
="Bozrah School District",2250419,73084,37554,195513,427895,341611,339127,401979,17290,4084472
="Branford School District",30299249,933157,1904008,3094510,4460558,4119775,2856959,2982421,1010824,51661461
="Bridgeport Achievement First District",3641630,213038,154918,592504,2178687,296653,64047,N/A,377949,7519426
="Bridgeport School District",163125030,3861148,4768779,19538104,25072815,26211979,15237854,20890354,925569,279631632
="Bristol School District",65902039,1040266,4339203,7171895,7943229,9690444,6048724,6698388,2807173,111641361
="Brookfield School District",22562496,351933,1917901,2634509,4085851,2652716,2062056,808354,976603,38052419
="Brooklyn School District",7227060,131144,170018,726940,910252,1221526,1131119,787921,823,12306803
="Canaan School District",1270203,32502,28834,108103,264683,192408,130229,0,17807,2044769
="Canterbury School District",4760369,115287,73878,469071,762578,1148546,957664,652895,28603,8968891
="Canton School District",12612888,364901,546546,2938539,2573705,2425951,1456008,1191832,460235,24570605
="Chaplin School District",1899105,87028,151683,258725,345301,334662,217131,1672,33476,3328783
="Cheshire School District",36310503,1029410,2330901,3924799,6099621,5956584,4065193,2089126,959916,62766053
="Chester School District",2342683,95692,30214,600136,629980,390638,152475,31143,0,4272961
="Clinton School District",18789624,1420617,582321,1963955,2554101,2398823,1488627,1468858,152660,30819586
="Colchester School District",22111498,510529,753087,2945053,3670247,3696997,2691963,1904199,453388,38736961
="Colebrook School District",1140258,18635,39365,37400,261658,158312,93410,101640,15180,1865858
="Columbia School District",3814526,76130,171481,1636881,937632,563339,793985,590402,413542,8997918
="Common Ground High School District",1113969,58406,254428,114335,400752,203808,9666,N/A,223386,2378750
="Cornwall School District",1675882,70332,114646,165653,359821,326982,281872,61773,0,3056961
="Coventry School District",16557296,426730,180106,1360118,2393169,2930459,1959136,2272954,302239,28382207
="Cromwell School District",16969843,748834,304695,1376242,2706889,2879312,1137976,787025,338324,27249140
="Danbury School District",84920568,2276318,2270743,6672697,12453109,10037293,7203895,2854456,712655,129401734
="Darien School District",51611885,1257913,3358585,2889520,6513834,7050391,3235029,3191330,1246643,80355130
="Deep River School District",2855394,69659,55632,779878,700497,481879,334681,343236,0,5620856
="Derby School District",10858642,283731,118206,1490858,2275453,2308741,942242,1832549,236821,20347243
="East Granby School District",8246030,595544,686763,726784,1698588,1354166,541323,429888,195081,14474167
="East Haddam School District",10768175,348592,392655,1043597,2062011,2448061,1223486,1337209,50000,19673786
="East Hampton School District",16598407,411358,798910,1772268,3194702,2649191,1450399,847056,609199,28331490
