"Chronic Absenteeism, Trend"
", All Students"

"",,"% Chronically Absent",,,,
"District","District Code","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""",8.1,3.4,6.1,10.6,10.1
"Amistad Academy District","=""2790013""",2.6,2.6,3.5,5.3,5.3
"Andover School District","=""0010011""","*",3.8,"*","*","*"
"Ansonia School District","=""0020011""",12.2,14.3,11.3,16.3,14.5
"Area Cooperative Educational Services","=""2440014""",18.5,19.5,21.7,20.6,18.2
"Ashford School District","=""0030011""",9.5,7.2,7.8,6.8,5.1
"Avon School District","=""0040011""",4.3,5.0,4.9,3.0,4.5
"Barkhamsted School District","=""0050011""",3.2,4.0,3.5,2.0,4.2
"Berlin School District","=""0070011""",5.8,5.7,4.9,6.0,3.7
"Bethany School District","=""0080011""",3.1,5.6,4.9,5.0,5.2
"Bethel School District","=""0090011""",6.1,6.8,7.3,4.5,7.0
"Bloomfield School District","=""0110011""",7.5,7.9,7.7,9.0,8.9
"Bolton School District","=""0120011""",2.6,3.8,5.2,5.6,3.3
"Booker T. Washington Academy District","=""2950013""","N/A","N/A","N/A",30.4,20.2
"Bozrah School District","=""0130011""",5.3,8.4,7.3,3.2,5.4
"Branford School District","=""0140011""",7.4,7.9,8.7,9.2,9.4
"Brass City Charter School District","=""2900013""","N/A","N/A",12.3,10.5,7.4
"Bridgeport Achievement First District","=""2850013""",1.4,2.5,2.9,3.2,4.7
"Bridgeport School District","=""0150011""",19.6,25.1,21.2,19.0,17.4
"Bristol School District","=""0170011""",11.5,10.2,11.8,10.8,8.7
"Brookfield School District","=""0180011""",4.9,1.9,4.1,3.9,2.2
"Brooklyn School District","=""0190011""",7.0,6.9,4.2,5.5,2.4
"Canaan School District","=""0210011""",10.7,"*",10.1,"*",9.2
"Canterbury School District","=""0220011""",3.7,6.4,4.8,3.8,3.7
"Canton School District","=""0230011""",4.5,4.7,9.1,9.2,5.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","N/A","N/A","N/A","N/A",13.7
"Capitol Region Education Council","=""2410014""",14.4,14.3,13.7,15.0,11.6
"Chaplin School District","=""0240011""",9.6,8.3,8.6,11.4,10.1
"Cheshire School District","=""0250011""",5.4,4.1,5.1,4.1,5.2
"Chester School District","=""0260011""",6.1,9.2,3.2,"*",2.8
"Clinton School District","=""0270011""",10.5,7.8,6.9,6.9,5.4
"Colchester School District","=""0280011""",2.5,6.1,5.2,3.9,5.8
"Colebrook School District","=""0290011""","*","*","*","*","*"
"Columbia School District","=""0300011""",7.4,4.1,"*",5.2,3.8
"Common Ground High School District","=""2680013""",12.8,14.5,16.6,15.3,11.5
"Connecticut Technical High School System","=""9000016""",10.2,12.1,12.9,13.7,12.7
"Cooperative Educational Services","=""2430014""",17.0,18.5,15.8,18.9,16.4
"Cornwall School District","=""0310011""",5.7,"*","*","*","*"
"Coventry School District","=""0320011""",6.2,6.9,5.4,6.9,5.6
"Cromwell School District","=""0330011""",6.2,4.6,5.5,3.0,1.7
"Danbury School District","=""0340011""",12.5,11.0,6.1,7.1,7.4
