"Chronic Absenteeism, Trend"
", Free/Reduced Price Meal Eligibility"

"",,,"% Chronically Absent",,,,
"District","District Code","Free/Reduced Price Meal Eligibility","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible For Free Lunch",8.1,3.4,6.1,10.6,10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Not Eligible For Lunch","N/A","N/A","N/A","*","N/A"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",3.0,3.7,4.8,6.7,7.1
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*","*",0.0,"*","*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*",0.0,0.0,"*","*"
"Andover School District","=""0010011""","Eligible For Free Lunch","*","*","*","*","*"
"Andover School District","=""0010011""","Not Eligible For Lunch",0.0,3.2,"*","*","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",16.2,17.7,15.4,21.3,18.7
"Ansonia School District","=""0020011""","Not Eligible For Lunch",7.1,12.4,5.9,9.6,8.4
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",9.0,5.6,4.7,8.2,9.3
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",26.7,28.1,31.1,30.3,26.4
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",10.7,11.7,12.4,9.6,5.2
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",14.6,11.8,13.3,13.7,4.8
"Ashford School District","=""0030011""","Eligible For Free Lunch",12.5,16.9,15.3,10.0,5.5
"Ashford School District","=""0030011""","Not Eligible For Lunch",7.7,4.9,5.2,5.5,3.9
"Ashford School District","=""0030011""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Avon School District","=""0040011""","Eligible For Free Lunch",14.8,16.2,14.5,10.5,20.7
"Avon School District","=""0040011""","Not Eligible For Lunch",3.8,4.4,4.2,2.7,3.7
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*","*",15.0,"*","*"
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch",3.1,4.3,3.8,"*",3.0
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Eligible For Free Lunch",21.2,17.1,18.4,22.7,14.5
"Berlin School District","=""0070011""","Not Eligible For Lunch",4.1,4.2,3.1,3.6,2.4
"Berlin School District","=""0070011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bethany School District","=""0080011""","Eligible For Free Lunch","*","*","*","*",25.9
"Bethany School District","=""0080011""","Not Eligible For Lunch",2.9,4.8,4.5,4.3,3.6
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Eligible For Free Lunch",15.7,15.1,14.9,10.5,15.2
"Bethel School District","=""0090011""","Not Eligible For Lunch",4.4,5.6,5.9,3.4,5.5
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",11.1,5.1,7.9,5.0,5.0
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",11.2,10.5,10.6,12.2,13.0
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",4.4,6.2,6.0,6.4,5.6
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",8.1,5.3,3.2,6.3,5.2
"Bolton School District","=""0120011""","Eligible For Free Lunch",13.3,13.6,23.4,25.6,15.2
"Bolton School District","=""0120011""","Not Eligible For Lunch",1.4,2.7,2.4,2.1,1.7
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Booker T. Washington Academy District","=""2950013""","Eligible For Free Lunch","N/A","N/A","N/A",31.9,21.9
"Booker T. Washington Academy District","=""2950013""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Booker T. Washington Academy District","=""2950013""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Bozrah School District","=""0130011""","Eligible For Free Lunch","*",20.9,11.8,"*","*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch",5.1,5.8,4.9,"*",6.1
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",13.0,16.6,13.5,16.3,17.6
"Branford School District","=""0140011""","Not Eligible For Lunch",6.3,6.0,7.8,7.5,6.8
"Branford School District","=""0140011""","Eligible For Reduced Lunch",7.0,5.4,7.2,7.8,12.6
"Brass City Charter School District","=""2900013""","Eligible For Free Lunch","N/A","N/A",15.4,18.0,9.3
"Brass City Charter School District","=""2900013""","Not Eligible For Lunch","N/A","N/A","*",0.0,"*"
"Brass City Charter School District","=""2900013""","Eligible For Reduced Lunch","N/A","N/A","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch","*",3.3,4.2,4.1,5.7
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch","*","*","*","*",3.7
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch",0.0,"*",0.0,"*",0.0
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",19.7,25.1,21.2,19.0,17.4
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",10.1,8.1,"N/A","*","N/A"
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",19.6,39.7,"N/A","N/A","N/A"
"Bristol School District","=""0170011""","Eligible For Free Lunch",22.2,18.8,22.0,19.3,15.7
"Bristol School District","=""0170011""","Not Eligible For Lunch",5.5,4.8,5.5,4.7,3.8
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",10.5,9.8,7.0,9.5,6.1
"Brookfield School District","=""0180011""","Eligible For Free Lunch",9.1,3.6,9.9,6.8,3.5
"Brookfield School District","=""0180011""","Not Eligible For Lunch",4.5,1.9,3.7,3.5,2.1
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch","*",0.0,"*",13.6,"*"
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",15.6,15.8,11.1,14.8,4.6
"Brooklyn School District","=""0190011""","Not Eligible For Lunch",4.1,3.7,1.7,2.2,1.5
"Brooklyn School District","=""0190011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Canaan School District","=""0210011""","Eligible For Free Lunch","*","*","*","*","*"
"Canaan School District","=""0210011""","Not Eligible For Lunch",10.0,"*",10.1,"*",10.3
"Canterbury School District","=""0220011""","Eligible For Free Lunch","*","*",8.6,"*",12.5
"Canterbury School District","=""0220011""","Not Eligible For Lunch",3.4,6.0,4.1,3.1,1.8
"Canterbury School District","=""0220011""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Canton School District","=""0230011""","Eligible For Free Lunch",20.9,19.3,22.7,25.2,16.6
"Canton School District","=""0230011""","Not Eligible For Lunch",3.3,3.5,7.9,7.7,4.4
"Canton School District","=""0230011""","Eligible For Reduced Lunch","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Eligible For Free Lunch","N/A","N/A","N/A","N/A",20.0
"Capital Preparatory Harbor School Inc. District","=""2970013""","Not Eligible For Lunch","N/A","N/A","N/A","N/A",9.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",22.6,21.9,20.9,23.8,18.0
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",9.8,9.6,8.8,8.4,6.2
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",10.2,10.3,9.4,9.7,7.4
