"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",82,82,100.0,82,15,18.3,"*","*",28,34.1,27,32.9,"*","*","*","*",235
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",185,185,100.0,185,54,29.2,"*","*",51,27.6,46,24.9,"*","*","*","*",222
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",222,222,100.0,222,55,24.8,32,14.4,46,20.7,77,34.7,12,5.4,89,40.1,233
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",67,67,100.0,67,17,25.4,"*","*",17,25.4,19,28.4,"*","*","*","*",233
"Ashford School District","=""0030011""","Ashford School","=""0030111""",36,36,100.0,36,"*","*","*","*","*","*",24,66.7,"*","*","*","*",260
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",275,272,98.9,272,15,5.5,10,3.7,24,8.8,133,48.9,90,33.1,223,82.0,279
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
