"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",193,193,100.0,193,"*","*","*","*",63,32.6,38,19.7,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",42,42,100.0,42,"*","*","*","*",15,35.7,17,40.5,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",110,109,99.1,109,"*","*","*","*",40,36.7,7,6.4,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",38,37,97.4,37,"*","*","*","*",15,40.5,7,18.9,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",146,146,100.0,146,48,32.9,"*","*",40,27.4,"*","*",0,0.0,"*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",39,39,100.0,39,6,15.4,"*","*",11,28.2,18,46.2,"*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",62,61,98.4,61,"*","*","*","*",26,42.6,6,9.8,"*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",33,33,100.0,33,"*","*","*","*",8,24.2,18,54.5,"*","*","*","*"
