"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","N",161,156,96.9,155,"*","*","*","*","*","*","*","*","*","*","*","*",221
"Ansonia School District","=""0020011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",31,23,74.2,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",284,282,99.3,281,"*","*","*","*","*","*","*","*","*","*","*","*",291
"Avon School District","=""0040011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",214,211,98.6,211,"*","*","*","*","*","*","*","*","*","*","*","*",271
"Berlin School District","=""0070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",147,143,97.3,142,22,15.5,28,19.7,48,33.8,30,21.1,14,9.9,44,31.0,237
"Bolton School District","=""0120011""","N",78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0,271
"Branford School District","=""0140011""","N",217,209,96.3,209,"*","*","*","*","*","*","*","*","*","*","*","*",267
"Branford School District","=""0140011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
