"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",253,248,98.0,248,68,27.4,54,21.8,66,26.6,51,20.6,9,3.6,60,24.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",235,235,100.0,235,43,18.3,53,22.6,78,33.2,55,23.4,6,2.6,61,26.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",15,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",90,90,100.0,90,"*","*",19,21.1,26,28.9,25,27.8,"*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",95,94,98.9,94,"*","*",17,18.1,34,36.2,24,25.5,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",185,185,100.0,185,54,29.2,"*","*",51,27.6,46,24.9,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",148,146,98.6,146,39,26.7,28,19.2,55,37.7,14,9.6,10,6.8,24,16.4
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",140,139,99.3,139,25,18.0,25,18.0,38,27.3,43,30.9,8,5.8,51,36.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",222,222,100.0,222,55,24.8,32,14.4,46,20.7,77,34.7,12,5.4,89,40.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",24,21,87.5,17,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",51,47,92.2,47,29,61.7,8,17.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",74,74,100.0,74,"*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",273,"*",273,"*","*","*","*",30,11.0,123,45.1,101,37.0,224,82.1
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",275,"*","*","*",15,5.5,"*","*","*","*",133,48.9,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",286,284,99.3,283,"*","*",11,3.9,58,20.5,"*","*",136,48.1,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",57,56,98.2,56,0,0.0,7,12.5,14,25.0,22,39.3,13,23.2,35,62.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",83,83,100.0,83,"*","*","*","*",12,14.5,39,47.0,25,30.1,64,77.1
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",109,109,100.0,109,"*","*","*","*",23,21.1,59,54.1,19,17.4,78,71.6
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",215,215,100.0,215,11,5.1,11,5.1,27,12.6,111,51.6,55,25.6,166,77.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",214,211,98.6,211,6,2.8,18,8.5,67,31.8,50,23.7,70,33.2,120,56.9
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",60,57,95.0,57,0,0.0,"*","*","*","*",30,52.6,19,33.3,49,86.0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",213,212,99.5,212,"*","*",10,4.7,"*","*",91,42.9,79,37.3,170,80.2
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",214,214,100.0,214,12,5.6,"*","*",41,19.2,116,54.2,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","*","*","*","*","*","*",11,5.7,52,26.9,"*","*",76,39.4,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",124,124,100.0,124,"*","*",25,20.2,44,35.5,37,29.8,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",96,96,100.0,96,21,21.9,10,10.4,23,24.0,33,34.4,9,9.4,42,43.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",112,111,99.1,110,18,16.4,26,23.6,34,30.9,23,20.9,9,8.2,32,29.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",62,62,100.0,62,"*","*","*","*",22,35.5,22,35.5,7,11.3,29,46.8
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",117,115,98.3,115,"*","*","*","*",14,12.2,54,47.0,34,29.6,88,76.5
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",51,50,98.0,50,0,0.0,0,0.0,6,12.0,32,64.0,12,24.0,44,88.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",463,460,99.4,460,24,5.2,37,8.0,83,18.0,235,51.1,81,17.6,316,68.7
"Branford School District","=""0140011""","Branford High School","=""0146111""",204,199,97.5,199,7,3.5,15,7.5,69,34.7,48,24.1,60,30.2,108,54.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",224,222,99.1,221,55,24.9,59,26.7,56,25.3,43,19.5,8,3.6,51,23.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",113,112,99.1,112,55,49.1,23,20.5,20,17.9,"*","*","*","*",14,12.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",88,88,100.0,88,15,17.0,20,22.7,16,18.2,31,35.2,6,6.8,37,42.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",129,129,100.0,129,56,43.4,35,27.1,31,24.0,"*","*","*","*",7,5.4
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",207,202,97.6,202,150,74.3,24,11.9,18,8.9,10,5.0,0,0.0,10,5.0
