"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (2-"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*","*","*",213
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",104,103,99.0,103,33,32.0,20,19.4,40,38.8,"*","*","*","*",10,9.7,212
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",44,43,97.7,43,"*","*",8,18.6,15,34.9,7,16.3,"*","*","*","*",245
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",271,269,99.3,268,"*","*","*","*","*","*","*","*","*","*","*","*",292
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",34,33,97.1,33,"*","*","*","*",13,39.4,7,21.2,"*","*","*","*",248
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",180,178,98.9,178,"*","*","*","*",54,30.3,43,24.2,"*","*","*","*",275
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",37,36,97.3,36,"*","*","*","*",12,33.3,10,27.8,9,25.0,19,52.8,262
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",53,52,98.1,51,"*","*",13,25.5,16,31.4,"*","*","*","*","*","*",222
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",59,59,100.0,59,"*","*",13,22.0,18,30.5,"*","*","*","*","*","*",243
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",63,63,100.0,63,0,0.0,"*","*","*","*","*","*","*","*","*","*",279
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",47,47,100.0,47,"*","*","*","*",19,40.4,11,23.4,9,19.1,20,42.6,257
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",157,152,96.8,152,"*","*","*","*",50,32.9,37,24.3,51,33.6,88,57.9,273
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",34,34,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",201
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0,224
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4,263
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",130,130,100.0,130,14,10.8,29,22.3,48,36.9,23,17.7,16,12.3,39,30.0,240
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",97,95,97.9,90,45,50.0,27,30.0,16,17.8,"*","*","*","*","*","*",194
