"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",81,81,100.0,81,23,28.4,21,25.9,22,27.2,"*","*","*","*",15,18.5,208
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",65,64,98.5,64,19,29.7,15,23.4,18,28.1,"*","*","*","*",12,18.8,206
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",48,48,100.0,48,"*","*",14,29.2,13,27.1,17,35.4,"*","*","*","*",230
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",47,47,100.0,47,"*","*",13,27.7,13,27.7,8,17.0,"*","*","*","*",212
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","M",29,28,96.6,28,0,0.0,"*","*","*","*","*","*","*","*","*","*",298
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",45,45,100.0,45,"*","*",13,28.9,14,31.1,10,22.2,"*","*","*","*",223
"Ansonia School District","=""0020011""","Mead School","=""0020311""","M",45,45,100.0,45,11,24.4,"*","*",12,26.7,15,33.3,"*","*","*","*",220
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",53,53,100.0,53,"*","*",11,20.8,21,39.6,12,22.6,"*","*","*","*",228
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","M",42,41,97.6,41,7,17.1,"*","*",13,31.7,12,29.3,"*","*","*","*",231
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",31,31,100.0,31,"*","*",8,25.8,8,25.8,11,35.5,"*","*","*","*",237
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","M",42,41,97.6,41,"*","*",9,22.0,13,31.7,13,31.7,"*","*","*","*",229
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","M","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",27,27,100.0,27,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",284
"Ashford School District","=""0030011""","Ashford School","=""0030111""","M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","F",146,146,100.0,146,"*","*","*","*",16,11.0,66,45.2,52,35.6,118,80.8,279
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","M",127,127,100.0,127,"*","*","*","*",14,11.0,57,44.9,49,38.6,106,83.5,284
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","F",23,22,95.7,22,0,0.0,"*","*","*","*",13,59.1,"*","*","*","*",274
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","M",24,23,95.8,23,"*","*","*","*","*","*",12,52.2,"*","*","*","*",266
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","F",27,27,100.0,27,0,0.0,"*","*",6,22.2,13,48.1,"*","*","*","*",267
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","M",30,29,96.7,29,0,0.0,"*","*",8,27.6,9,31.0,"*","*","*","*",262
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","F",34,34,100.0,34,0,0.0,"*","*","*","*",18,52.9,8,23.5,26,76.5,273
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","M",49,49,100.0,49,"*","*","*","*",6,12.2,21,42.9,17,34.7,38,77.6,278
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","F",52,52,100.0,52,"*","*","*","*",12,23.1,30,57.7,7,13.5,37,71.2,266
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","M",57,57,100.0,57,0,0.0,"*","*","*","*",29,50.9,12,21.1,41,71.9,267
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","F",25,22,88.0,22,0,0.0,"*","*","*","*",11,50.0,9,40.9,20,90.9,292
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","M",35,35,100.0,35,0,0.0,"*","*","*","*",19,54.3,10,28.6,29,82.9,283
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","F",96,96,100.0,96,"*","*","*","*",18,18.8,37,38.5,38,39.6,75,78.1,283
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","M",117,116,99.1,116,"*","*","*","*",11,9.5,54,46.6,41,35.3,95,81.9,283
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","F",61,61,100.0,61,"*","*",11,18.0,21,34.4,19,31.1,"*","*","*","*",231
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","M",63,63,100.0,63,"*","*",14,22.2,23,36.5,18,28.6,"*","*","*","*",228
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","F",38,37,97.4,37,"*","*","*","*","*","*",18,48.6,11,29.7,29,78.4,275
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","M",30,29,96.7,29,"*","*",0,0.0,"*","*",12,41.4,12,41.4,24,82.8,280
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","F",111,111,100.0,111,"*","*","*","*",18,16.2,53,47.7,25,22.5,78,70.3,264
