"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",62,61,98.4,61,"*","*","*","*",26,42.6,6,9.8,"*","*","*","*",219
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",33,33,100.0,33,"*","*","*","*",8,24.2,18,54.5,"*","*","*","*",249
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",43,42,97.7,42,"*","*",11,26.2,13,31.0,10,23.8,"*","*","*","*",223
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",30,30,100.0,30,"*","*",6,20.0,8,26.7,14,46.7,"*","*","*","*",245
