"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Female",60.0,90.5
"Ansonia School District","=""0020011""","Ansonia High School","Male",52.6,86.7
"Avon School District","=""0040011""","Avon High School","Female",87.8,96.5
"Avon School District","=""0040011""","Avon High School","Male",77.0,95.4
"Berlin School District","=""0070011""","Berlin High School","Female",84.4,95.4
"Berlin School District","=""0070011""","Berlin High School","Male",73.4,90.0
"Bethel School District","=""0090011""","Bethel High School","Female",75.2,91.5
"Bethel School District","=""0090011""","Bethel High School","Male",62.5,90.7
"Bloomfield School District","=""0110011""","Bloomfield High School","Female",67.5,87.0
"Bloomfield School District","=""0110011""","Bloomfield High School","Male",52.8,81.6
"Bolton School District","=""0120011""","Bolton High School","Female",73.5,94.4
"Bolton School District","=""0120011""","Bolton High School","Male",75.9,90.9
"Branford School District","=""0140011""","Branford High School","Female",75.7,92.2
"Branford School District","=""0140011""","Branford High School","Male",69.7,88.7
"Bridgeport School District","=""0150011""","Bassick High School","Female",46.3,76.0
"Bridgeport School District","=""0150011""","Bassick High School","Male",29.8,57.1
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Female",*,*
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","Male",*,*
"Bridgeport School District","=""0150011""","Central High School","Female",63.6,83.2
"Bridgeport School District","=""0150011""","Central High School","Male",53.2,75.0
"Bridgeport School District","=""0150011""","Harding High School","Female",39.0,74.4
"Bridgeport School District","=""0150011""","Harding High School","Male",34.5,80.5
"Bridgeport School District","=""0150011""","The University School","Male",*,*
"Bristol School District","=""0170011""","Bristol Central High School","Female",70.6,88.9
"Bristol School District","=""0170011""","Bristol Central High School","Male",61.9,90.1
"Bristol School District","=""0170011""","Bristol Eastern High School","Female",73.3,87.5
"Bristol School District","=""0170011""","Bristol Eastern High School","Male",59.6,88.9
"Brookfield School District","=""0180011""","Brookfield High School","Female",89.4,95.5
"Brookfield School District","=""0180011""","Brookfield High School","Male",80.7,89.8
"Canton School District","=""0230011""","Canton High School","Female",78.6,95.5
"Canton School District","=""0230011""","Canton High School","Male",83.9,91.5
"Cheshire School District","=""0250011""","Cheshire High School","Female",87.4,97.6
"Cheshire School District","=""0250011""","Cheshire High School","Male",85.4,95.3
"Cheshire School District","=""0250011""","Humiston School","Male",*,*
"Clinton School District","=""0270011""","The Morgan School","Female",73.9,90.2
"Clinton School District","=""0270011""","The Morgan School","Male",64.2,88.5
"Colchester School District","=""0280011""","Bacon Academy","Female",78.8,92.5
"Colchester School District","=""0280011""","Bacon Academy","Male",69.7,85.5
"Coventry School District","=""0320011""","Coventry High School","Female",77.1,92.6
"Coventry School District","=""0320011""","Coventry High School","Male",70.0,83.7
"Cromwell School District","=""0330011""","Cromwell High School","Female",71.6,93.8
"Cromwell School District","=""0330011""","Cromwell High School","Male",87.3,81.8
"Danbury School District","=""0340011""","Alternative Center For Excellence","Female",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Male",*,*
"Danbury School District","=""0340011""","Danbury High School","Female",69.8,89.9
"Danbury School District","=""0340011""","Danbury High School","Male",63.1,84.9
"Danbury School District","=""0340011""","Morris Street School","Female",*,*
"Darien School District","=""0350011""","Darien High School","Female",77.3,100.0
"Darien School District","=""0350011""","Darien High School","Male",78.7,92.7
"Derby School District","=""0370011""","Derby High School","Female",70.2,90.9
"Derby School District","=""0370011""","Derby High School","Male",53.7,86.2
"East Granby School District","=""0400011""","East Granby High School","Female",80.6,89.7
"East Granby School District","=""0400011""","East Granby High School","Male",66.7,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Female",78.6,87.9
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Male",65.5,*
"East Hampton School District","=""0420011""","East Hampton High School","Female",81.3,86.5
"East Hampton School District","=""0420011""","East Hampton High School","Male",79.2,90.5
"East Hartford School District","=""0430011""","Connecticut IB Academy","Female",90.9,90.0
"East Hartford School District","=""0430011""","Connecticut IB Academy","Male",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Female",58.7,78.2
"East Hartford School District","=""0430011""","East Hartford High School","Male",46.2,70.4
"East Hartford School District","=""0430011""","Stevens Alternate High school","Female",*,*
"East Hartford School District","=""0430011""","Woodland School","Female",*,*
"East Hartford School District","=""0430011""","Woodland School","Male",*,*
"East Haven School District","=""0440011""","East Haven High School","Female",73.9,87.8
"East Haven School District","=""0440011""","East Haven High School","Male",59.8,73.8
"East Haven School District","=""0440011""","Pathways","Female",*,*
"East Haven School District","=""0440011""","Pathways","Male",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Female",65.1,90.9
"East Lyme School District","=""0450011""","East Lyme High School","Male",68.7,86.0
"East Windsor School District","=""0470011""","East Windsor High School","Female",64.9,86.5
"East Windsor School District","=""0470011""","East Windsor High School","Male",43.5,80.0
"Ellington School District","=""0480011""","Ellington High School","Female",78.1,94.7
"Ellington School District","=""0480011""","Ellington High School","Male",75.6,100.0
"Enfield School District","=""0490011""","Enfield High School","Female",70.9,78.3
"Enfield School District","=""0490011""","Enfield High School","Male",69.2,77.8
"Enfield School District","=""0490011""","Enrico Fermi High School","Female",75.4,92.1
"Enfield School District","=""0490011""","Enrico Fermi High School","Male",65.0,92.5
"Enfield School District","=""0490011""","Head Start Program","Female",*,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Female",86.6,97.3
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Male",73.5,89.1
"Fairfield School District","=""0510011""","Fairfield Warde High School","Female",81.9,96.7
"Fairfield School District","=""0510011""","Fairfield Warde High School","Male",77.3,93.9
"Farmington School District","=""0520011""","Farmington High School","Female",84.8,94.5
"Farmington School District","=""0520011""","Farmington High School","Male",83.7,92.1
"Glastonbury School District","=""0540011""","Glastonbury High School","Female",86.5,93.4
"Glastonbury School District","=""0540011""","Glastonbury High School","Male",84.8,95.1
"Granby School District","=""0560011""","Granby Memorial High School","Female",89.0,96.9
"Granby School District","=""0560011""","Granby Memorial High School","Male",71.4,94.5
"Greenwich School District","=""0570011""","Greenwich High School","Female",79.9,95.7
"Greenwich School District","=""0570011""","Greenwich High School","Male",72.8,92.5
"Griswold School District","=""0580011""","Griswold High School","Female",73.7,82.1
"Griswold School District","=""0580011""","Griswold High School","Male",58.8,78.3
"Groton School District","=""0590011""","Robert E. Fitch High School","Female",73.6,84.2
"Groton School District","=""0590011""","Robert E. Fitch High School","Male",69.6,77.0
"Guilford School District","=""0600011""","Guilford High School","Female",89.2,95.2
"Guilford School District","=""0600011""","Guilford High School","Male",77.9,87.5
"Hamden School District","=""0620011""","Hamden High School","Female",73.0,91.8
"Hamden School District","=""0620011""","Hamden High School","Male",63.3,84.5
"Hamden School District","=""0620011""","Hamden Transition Academy","Female",*,*
"Hartford School District","=""0640011""","Bulkeley High School Lower School","Female",45.5,74.5
