"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","Students with Disabilities",*,*
"Avon School District","=""0040011""","Avon High School","Students with Disabilities",73.5,84.0
"Berlin School District","=""0070011""","Berlin High School","Students with Disabilities",58.6,*
"Bethel School District","=""0090011""","Bethel High School","Students with Disabilities",61.9,*
"Bloomfield School District","=""0110011""","Bloomfield High School","Students with Disabilities",*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Bolton High School","Students with Disabilities",*,*
"Branford School District","=""0140011""","Branford High School","Students with Disabilities",57.7,*
"Bridgeport School District","=""0150011""","Bassick High School","Students with Disabilities",28.6,*
"Bridgeport School District","=""0150011""","Central High School","Students with Disabilities",38.5,*
"Bridgeport School District","=""0150011""","Harding High School","Students with Disabilities",31.8,*
"Bristol School District","=""0170011""","Bristol Central High School","Students with Disabilities",25.0,*
"Bristol School District","=""0170011""","Bristol Eastern High School","Students with Disabilities",40.9,*
"Bristol School District","=""0170011""","Community/Vocational Program","Students with Disabilities",*,*
"Brookfield School District","=""0180011""","Brookfield High School","Students with Disabilities",*,*
"Canton School District","=""0230011""","Canton High School","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Cheshire High School","Students with Disabilities",67.6,80.0
"Cheshire School District","=""0250011""","Humiston School","Students with Disabilities",*,*
"Clinton School District","=""0270011""","The Morgan School","Students with Disabilities",53.6,*
"Colchester School District","=""0280011""","Bacon Academy","Students with Disabilities",62.5,55.0
"Coventry School District","=""0320011""","Coventry High School","Students with Disabilities",*,*
"Cromwell School District","=""0330011""","Cromwell High School","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Alternative Center For Excellence","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Danbury High School","Students with Disabilities",42.4,67.9
"Darien School District","=""0350011""","Darien High School","Students with Disabilities",73.0,85.2
"Derby School District","=""0370011""","Derby High School","Students with Disabilities",*,*
"East Granby School District","=""0400011""","East Granby High School","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","East Hampton High School","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","East Hartford High School","Students with Disabilities",25.6,*
"East Hartford School District","=""0430011""","Stevens Alternate High school","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Woodland School","Students with Disabilities",*,*
"East Haven School District","=""0440011""","East Haven High School","Students with Disabilities",31.8,*
"East Haven School District","=""0440011""","Pathways","Students with Disabilities",*,*
"East Lyme School District","=""0450011""","East Lyme High School","Students with Disabilities",54.2,80.8
"East Windsor School District","=""0470011""","East Windsor High School","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Ellington High School","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enfield High School","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","Students with Disabilities",56.0,*
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","Students with Disabilities",54.5,*
"Fairfield School District","=""0510011""","Fairfield Warde High School","Students with Disabilities",64.5,90.0
"Farmington School District","=""0520011""","Farmington High School","Students with Disabilities",71.9,69.6
"Glastonbury School District","=""0540011""","Glastonbury High School","Students with Disabilities",69.9,90.2
"Granby School District","=""0560011""","Granby Memorial High School","Students with Disabilities",*,*
"Greenwich School District","=""0570011""","Greenwich High School","Students with Disabilities",68.1,83.7
"Griswold School District","=""0580011""","Griswold High School","Students with Disabilities",*,*
"Groton School District","=""0590011""","Robert E. Fitch High School","Students with Disabilities",47.6,*
"Guilford School District","=""0600011""","Guilford High School","Students with Disabilities",57.6,*
"Hamden School District","=""0620011""","Hamden High School","Students with Disabilities",54.4,78.4
"Hartford School District","=""0640011""","Bulkeley High School","Students with Disabilities",32.6,*
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Classical Magnet School","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Culinary Arts Academy","Students with Disabilities",*,*
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","Students with Disabilities",*,*
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","Students with Disabilities",29.2,*
"Hartford School District","=""0640011""","HPHS Law and Government Academy","Students with Disabilities",*,*
"Hartford School District","=""0640011""","OPPortunity High School","Students with Disabilities",*,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","Students with Disabilities",*,*
