"Educator Race/Ethnicity Report for 2006-07"

"District","Race","Count","% of Total"
"Amistad Academy District","Asian",2,5.9
="Ansonia School District",="Asian",1,0.5
="Area Cooperative Educational Services",="Asian",1,0.3
="Berlin School District",="Asian",1,0.3
="Bethel School District",="Asian",1,0.4
="Bloomfield School District",="Asian",3,1.2
="Bridgeport School District",="Asian",25,1.5
="Bristol School District",="Asian",6,0.8
="Brookfield School District",="Asian",1,0.4
="Canterbury School District",="Asian",1,1.8
="Canton School District",="Asian",1,0.7
="Capitol Region Education Council",="Asian",5,1.4
="Cheshire School District",="Asian",5,1.2
="Connecticut Technical High School System",="Asian",13,1.0
="Cooperative Educational Services",="Asian",5,3.5
="Cross Cultural Academy District",="Asian",1,20.0
="Danbury School District",="Asian",6,0.7
="Darien School District",="Asian",5,1.1
="Derby School District",="Asian",3,2.4
="East Haddam School District",="Asian",1,0.8
="East Hartford School District",="Asian",8,1.2
="East Lyme School District",="Asian",2,0.7
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Asian",1,2.0
="Ellington School District",="Asian",1,0.5
="Elm City College Preparatory School",="Asian",1,3.9
="Enfield School District",="Asian",4,0.7
="Fairfield School District",="Asian",9,1.0
="Farmington School District",="Asian",4,1.0
="Glastonbury School District",="Asian",3,0.5
="Greenwich School District",="Asian",14,1.5
="Groton School District",="Asian",9,1.8
="Guilford School District",="Asian",1,0.3
="Hamden School District",="Asian",6,1.1
="Hartford School District",="Asian",23,1.0
="Killingly School District",="Asian",2,0.8
="Learn",="Asian",1,0.8
="Lebanon School District",="Asian",2,1.5
="Madison School District",="Asian",3,0.9
="Manchester School District",="Asian",2,0.3
="Marlborough School District",="Asian",1,1.7
="Meriden School District",="Asian",3,0.4
="Middletown School District",="Asian",6,1.3
="Milford School District",="Asian",2,0.3
="Montville School District",="Asian",1,0.4
="Naugatuck School District",="Asian",1,0.3
="New Britain School District",="Asian",9,1.0
="New Canaan School District",="Asian",2,0.5
="New Fairfield School District",="Asian",1,0.4
="New Haven School District",="Asian",18,1.0
="New London School District",="Asian",3,1.1
="Newington School District",="Asian",2,0.5
="North Haven School District",="Asian",1,0.3
="Norwalk School District",="Asian",7,0.7
="Norwich Free Academy District",="Asian",4,2.1
="Norwich School District",="Asian",2,0.6
="Old Saybrook School District",="Asian",1,0.6
="Plainville School District",="Asian",1,0.4
="Plymouth School District",="Asian",1,0.6
="Regional School District 01",="Asian",1,1.5
="Regional School District 04",="Asian",1,1.0
="Regional School District 10",="Asian",1,0.4
="Regional School District 18",="Asian",2,1.2
="Ridgefield School District",="Asian",4,0.9
="Rocky Hill School District",="Asian",1,0.4
="Salisbury School District",="Asian",1,2.1
="Shelton School District",="Asian",1,0.2
="Sherman School District",="Asian",1,2.2
="Simsbury School District",="Asian",6,1.4
="Somers School District",="Asian",1,0.7
="South Windsor School District",="Asian",1,0.2
="Southington School District",="Asian",1,0.2
="Sprague School District",="Asian",1,2.9
="Stafford School District",="Asian",1,0.6
="Stamford School District",="Asian",25,1.7
="Stonington School District",="Asian",2,0.9
="Stratford School District",="Asian",3,0.5
="Suffield School District",="Asian",1,0.5
="Tolland School District",="Asian",1,0.4
="Torrington School District",="Asian",2,0.5
="Trumbull School District",="Asian",6,1.0
="Unified School District #1",="Asian",1,0.5
="Unified School District #2",="Asian",2,1.9
="Vernon School District",="Asian",2,0.6
="Waterbury School District",="Asian",11,0.7
="Waterford School District",="Asian",2,0.7
="Watertown School District",="Asian",1,0.4
="West Hartford School District",="Asian",6,0.6
="West Haven School District",="Asian",1,0.2
="Weston School District",="Asian",3,1.2
="Westport School District",="Asian",3,0.5
="Wethersfield School District",="Asian",2,0.6
="Wilton School District",="Asian",2,0.5
="Windham School District",="Asian",4,1.1
="Windsor Locks School District",="Asian",1,0.5
="Windsor School District",="Asian",5,1.1
="Wolcott School District",="Asian",1,0.4
="Woodstock Academy District",="Asian",1,1.0

