"Educator Race/Ethnicity Report for 2008-09"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Hispanic or Latino",3,11.5
="Amistad Academy District",="Amistad Academy",="Hispanic or Latino",1,1.6
="Ansonia School District",="Ansonia High School",="Hispanic or Latino",3,5.3
,="Ansonia Middle School",="Hispanic or Latino",1,2.0
,="Pine Academy",="Hispanic or Latino",1,16.7
="Area Cooperative Educational Services",="Collaborative Alternative Magnet School",="Hispanic or Latino",2,13.3
,="Thomas Edison Magnet Middle School",="Hispanic or Latino",3,4.1
,="Whitney High School East",="Hispanic or Latino",1,4.0
,="Wintergreen Interdistrict Magnet School",="Hispanic or Latino",3,5.6
="Avon School District",="Avon High School",="Hispanic or Latino",1,1.1
,="Avon Middle School",="Hispanic or Latino",1,1.9
="Berlin School District",="Berlin High School",="Hispanic or Latino",2,2.0
="Bethel School District",="Bethel Middle School",="Hispanic or Latino",1,1.5
="Bloomfield School District",="Bloomfield High School",="Hispanic or Latino",2,2.7
,="Carmen Arace Middle School",="Hispanic or Latino",1,1.8
="Bolton School District",="Bolton Center School",="Hispanic or Latino",1,1.7
="Branford School District",="Branford High School",="Hispanic or Latino",3,2.7
,="Francis Walsh Intermediate School",="Hispanic or Latino",1,1.0
,="Indian Neck School",="Hispanic or Latino",1,16.7
="Bridgeport School District",="Barnum School",="Hispanic or Latino",10,19.6
,="Bassick High School",="Hispanic or Latino",8,8.4
,="Beardsley School",="Hispanic or Latino",1,2.6
,="Black Rock School",="Hispanic or Latino",1,3.1
,="Blackham School",="Hispanic or Latino",5,6.0
,="Bridgeport Regional Vocational Aquaculture School",="Hispanic or Latino",1,7.1
,="Bryant School",="Hispanic or Latino",2,5.4
,="Central High School",="Hispanic or Latino",14,8.1
,="Cesar Batalla School",="Hispanic or Latino",31,37.3
,="Classical Studies Academy",="Hispanic or Latino",3,10.7
,="Columbus School",="Hispanic or Latino",8,12.5
,="Curiale School",="Hispanic or Latino",7,13.5
,="Dunbar School",="Hispanic or Latino",1,2.4
,="Geraldine Johnson School",="Hispanic or Latino",2,3.6
,="Hall School",="Hispanic or Latino",1,2.9
,="Hallen School",="Hispanic or Latino",1,3.0
,="Harding High School",="Hispanic or Latino",18,14.2
,="High Horizons Magnet School",="Hispanic or Latino",2,5.9
,="Hooker School",="Hispanic or Latino",2,5.3
,="Jettie S. Tisdale School",="Hispanic or Latino",3,6.0
,="Longfellow School",="Hispanic or Latino",1,2.3
,="Luis Munoz Marin School",="Hispanic or Latino",15,20.0
,="Madison School",="Hispanic or Latino",1,2.1
,="Make The Grade",="Hispanic or Latino",1,8.3
,="Multicultural Magnet School",="Hispanic or Latino",7,15.9
