"Educator Race/Ethnicity Report for 2010-11"

"District","School","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","Black or African American",5,8.2
="Amistad Academy District",="Amistad Academy",="Black or African American",6,6.7
="Ansonia School District",="Ansonia High School",="Black or African American",1,1.6
,="Mead School",="Black or African American",3,6.3
,="Prendergast School",="Black or African American",1,1.7
="Area Cooperative Educational Services",="Mill Road School",="Black or African American",2,5.6
,="Thomas Edison Magnet Middle School",="Black or African American",1,1.4
,="Whitney High School East",="Black or African American",1,3.6
,="Whitney High School North",="Black or African American",2,10.5
,="Wintergreen Interdistrict Magnet School",="Black or African American",5,9.4
="Avon School District",="Avon High School",="Black or African American",1,1.0
,="Pine Grove School",="Black or African American",1,2.0
,="Thompson Brook School",="Black or African American",1,2.1
="Bethel School District",="Bethel High School",="Black or African American",1,1.0
="Bloomfield School District",="Bloomfield High School",="Black or African American",19,24.7
,="Carmen Arace Intermediate School",="Black or African American",8,19.5
,="Carmen Arace Middle School",="Black or African American",13,30.2
,="J. P. Vincent School",="Black or African American",7,17.1
,="Laurel School",="Black or African American",6,18.8
,="The Big Picture High School",="Black or African American",2,18.2
,="Wintonbury Early Childhood Magnet School",="Black or African American",1,3.8
="Branford School District",="Branford High School",="Black or African American",1,0.9
="Bridgeport Achievement First District",="Achievement First Bridgeport Academy",="Black or African American",8,20.5
="Bridgeport School District",="Barnum School",="Black or African American",4,7.1
,="Bassick High School",="Black or African American",13,14.4
,="Beardsley School",="Black or African American",3,7.9
,="Black Rock School",="Black or African American",2,6.5
,="Blackham School",="Black or African American",3,3.6
,="Bridgeport Learning Center",="Black or African American",3,15.8
,="Bryant School",="Black or African American",2,5.7
,="Central High School",="Black or African American",19,12.5
,="Cesar Batalla School",="Black or African American",9,11.1
,="Classical Studies Academy",="Black or African American",7,23.3
,="Columbus School",="Black or African American",3,5.3
,="Cross School",="Black or African American",8,20.0
,="Curiale School",="Black or African American",4,7.7
,="Dunbar School",="Black or African American",12,31.6
,="Edison School",="Black or African American",4,13.3
,="Geraldine Johnson School",="Black or African American",7,12.1
,="Hall School",="Black or African American",4,13.3
,="Hallen School",="Black or African American",4,12.9
,="Harding High School",="Black or African American",21,17.9
,="High Horizons Magnet School",="Black or African American",7,20.6
,="Hooker School",="Black or African American",5,12.8
,="Jettie S. Tisdale School",="Black or African American",9,16.1
,="Longfellow School",="Black or African American",16,38.1
,="Luis Munoz Marin School",="Black or African American",6,8.2
,="Madison School",="Black or African American",2,4.3
,="Make The Grade",="Black or African American",5,50.0
,="Multicultural Magnet School",="Black or African American",3,7.0
,="New Start Program",="Black or African American",1,8.3
,="Park City Academy",="Black or African American",2,18.2
,="Park City Magnet School",="Black or African American",6,15.8
,="Read School",="Black or African American",7,10.8
,="Roosevelt School",="Black or African American",6,11.1
,="Skane Center",="Black or African American",1,3.4
,="The University School",="Black or African American",1,8.3
,="Waltersville School",="Black or African American",6,13.0
,="Winthrop School",="Black or African American",9,17.0
="Bristol School District",="Bristol Central High School",="Black or African American",5,4.4
,="Bristol Eastern High School",="Black or African American",3,2.9
,="Chippens Hill Middle School",="Black or African American",3,3.6
,="Clara T. O'Connell School",="Black or African American",1,2.8
,="Memorial Boulevard Middle School",="Black or African American",1,2.0
="Brookfield School District",="Brookfield High School",="Black or African American",1,1.2
,="Huckleberry Hill Elementary School",="Black or African American",1,2.2
="Canterbury School District",="Dr. Helen Baldwin Middle School",="Black or African American",1,4.2
="Canton School District",="Canton High School",="Black or African American",1,1.9
,="Canton Middle School",="Black or African American",1,2.9
="Capitol Region Education Council",="Academy of Aerospace and Engineering",="Black or African American",1,3.3
,="Academy of Science and Innovation",="Black or African American",3,13.0
,="Farmington Valley Regional Diagnostic Center",="Black or African American",1,20.0
,="Greater Hartford Academy of Math and Science",="Black or African American",2,33.3
,="Greater Hartford Academy of the Arts High School - Full Time",="Black or African American",4,15.4
,="International Magnet School for Global Citizenship",="Black or African American",1,4.5
,="John J. Allison Polaris Center",="Black or African American",5,16.7
,="Metropolitan Learning Center for Global and International Studies",="Black or African American",9,14.3
,="Montessori Magnet School",="Black or African American",3,11.5
,="Public Safety Academy",="Black or African American",4,13.3
,="River Street School",="Black or African American",1,2.2
,="Two Rivers Magnet Middle School",="Black or African American",3,4.8
,="University of Hartford Magnet School",="Black or African American",2,5.3
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Black or African American",3,16.7
="Cheshire School District",="Norton School",="Black or African American",1,2.4
="Colchester School District",="Bacon Academy",="Black or African American",2,2.0
,="William J. Johnston Middle School",="Black or African American",1,1.4
="Common Ground High School District",="Common Ground High School",="Black or African American",1,5.3
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Black or African American",15,15.6
,="Bullard-Havens Technical High School",="Black or African American",5,5.3
,="E. C. Goodwin Technical High School",="Black or African American",6,7.8
,="Eli Whitney Technical High School",="Black or African American",12,17.1
,="Ella T. Grasso Southeastern Technical High School",="Black or African American",1,1.4
,="Emmett O'Brien Technical High School",="Black or African American",2,3.3
,="H. C. Wilcox Technical High School",="Black or African American",4,4.9
,="Henry Abbott Technical High School",="Black or African American",2,2.7
,="Howell Cheney Technical High School",="Black or African American",1,1.4
,="Norwich Technical High School",="Black or African American",1,1.5
,="Oliver Wolcott Technical High School",="Black or African American",3,3.8
,="Platt Technical High School",="Black or African American",2,2.5
,="W. F. Kaynor Technical High School",="Black or African American",6,7.7
="Cooperative Educational Services",="C. E. S. Special Education",="Black or African American",1,1.0
,="Six-Six Magnet School",="Black or African American",3,6.1
="Coventry School District",="Capt. Nathan Hale School",="Black or African American",1,1.9
,="Coventry High School",="Black or African American",1,1.8
="Cromwell School District",="Cromwell Middle School",="Black or African American",1,1.9
,="Edna C. Stevens School",="Black or African American",1,2.5
,="Woodside Intermediate School",="Black or African American",1,2.4
="Danbury School District",="Alternative Center For Excellence",="Black or African American",1,9.1
,="Broadview Middle School",="Black or African American",3,3.3
,="Danbury High School",="Black or African American",7,3.3
,="Great Plain School",="Black or African American",4,11.8
,="King Street Intermediate School",="Black or African American",3,8.6
,="King Street Primary School",="Black or African American",2,5.6
,="Mill Ridge Educational Center",="Black or African American",1,6.7
,="Park Avenue School",="Black or African American",1,2.9
,="Pembroke School",="Black or African American",3,7.7
,="Rogers Park Middle School",="Black or African American",5,5.1
,="Shelter Rock School",="Black or African American",7,20.6
,="South Street School",="Black or African American",1,2.6
,="Stadley Rough School",="Black or African American",1,2.6
="Darien School District",="Darien High School",="Black or African American",1,0.7
="Derby School District",="Derby High School",="Black or African American",1,2.6
="East Granby School District",="East Granby High School",="Black or African American",1,2.5
="East Hartford School District",="Anna E. Norris School",="Black or African American",2,6.7
,="Connecticut IB Academy",="Black or African American",2,11.1
,="Dr. Franklin H. Mayberry School",="Black or African American",2,5.6
,="Dr. John A. Langford School",="Black or African American",1,2.9
,="Dr. Thomas S. O'Connell School",="Black or African American",2,5.9
,="East Hartford High School",="Black or African American",9,5.5
,="East Hartford Middle School",="Black or African American",3,2.8
,="Governor William Pitkin School",="Black or African American",5,14.3
,="Hockanum School",="Black or African American",3,9.4
,="Robert J. O'Brien School",="Black or African American",2,5.4
,="Silver Lane School",="Black or African American",1,3.2
,="Willowbrook Early Childhood",="Black or African American",1,3.7
="East Windsor School District",="East Windsor High School",="Black or African American",1,2.4
="Ellington School District",="Ellington High School",="Black or African American",1,1.3
="Elm City College Preparatory School District",="Elm City College Preparatory School",="Black or African American",3,6.4
="Enfield School District",="Enfield High School",="Black or African American",2,2.4
,="Enrico Fermi High School",="Black or African American",1,1.0
,="Hazardville Memorial School",="Black or African American",1,3.2
,="John F. Kennedy Middle School",="Black or African American",1,1.2
="Explorations District",="Explorations",="Black or African American",1,11.1
="Fairfield School District",="Fairfield Ludlowe High School",="Black or African American",2,1.3
,="Jennings School",="Black or African American",1,2.4
,="Mill Hill School",="Black or African American",2,4.4
,="Osborn Hill School",="Black or African American",2,3.8
,="Tomlinson Middle School",="Black or African American",1,1.2
="Farmington School District",="East Farms School",="Black or African American",1,2.5
,="Farmington High School",="Black or African American",1,0.8
,="Irving A. Robbins Middle School",="Black or African American",2,3.1
,="Noah Wallace School",="Black or African American",1,3.1
,="Union School",="Black or African American",1,3.3
="Glastonbury School District",="Eastbury School",="Black or African American",1,2.6
,="Glastonbury High School",="Black or African American",1,0.5
,="Hebron Avenue School",="Black or African American",2,3.4
,="Naubuc School",="Black or African American",2,3.5
,="Nayaug Elementary School",="Black or African American",1,1.5
="Greenwich School District",="Central Middle School",="Black or African American",1,1.5
,="Eastern Middle School",="Black or African American",3,3.9
,="Greenwich High School",="Black or African American",7,2.5
,="Hamilton Avenue School",="Black or African American",5,9.1
,="Julian Curtiss School",="Black or African American",1,2.2
,="New Lebanon School",="Black or African American",1,2.7
,="North Mianus School",="Black or African American",2,3.9
,="North Street School",="Black or African American",1,2.2
,="Riverside School",="Black or African American",2,4.1
,="Western Middle School",="Black or African American",3,5.3
="Groton School District",="Catherine Kolnaski Magnet School",="Black or African American",3,6.4
,="Claude Chester School",="Black or African American",2,5.1
,="Fitch Middle School",="Black or African American",2,3.6
,="Mary Morrisson School",="Black or African American",2,5.1
,="Robert E. Fitch High School",="Black or African American",3,2.5
,="West Side Middle School",="Black or African American",2,5.3
="Guilford School District",="A. Baldwin Middle School",="Black or African American",1,1.8
,="A. W. Cox School",="Black or African American",1,2.9
="Hamden School District",="Bear Path School",="Black or African American",1,2.3
,="Church Street School",="Black or African American",5,13.5
,="Dunbar Hill School",="Black or African American",1,3.2
,="Hamden High School",="Black or African American",8,4.4
,="Hamden Middle School",="Black or African American",9,9.1
,="Helen Street School",="Black or African American",3,10.0
,="Ridge Hill School",="Black or African American",5,13.9
,="Shepherd Glen School",="Black or African American",1,3.2
,="Spring Glen School",="Black or African American",2,6.1
="Hartford School District",="Asian Studies Academy at Bellizzi School",="Black or African American",7,14.0
,="Batchelder School",="Black or African American",4,9.5
,="Betances Early Reading Lab Magnet School",="Black or African American",7,20.6
,="Breakthrough II Magnet School",="Black or African American",1,7.1
,="Breakthrough Magnet School",="Black or African American",2,6.9
,="Bulkeley High School",="Black or African American",4,16.7
,="Bulkeley High School Lower School",="Black or African American",6,7.8
,="Burns Latino Studies Academy",="Black or African American",4,7.8
,="Burr School",="Black or African American",5,8.5
,="Capital Preparatory Magnet School",="Black or African American",13,50.0
,="Clark School",="Black or African American",13,33.3
,="Classical Magnet School",="Black or African American",4,6.6
,="Culinary Arts Academy at Weaver High School",="Black or African American",6,21.4
,="Dr. Joseph Bellizzi Middle School",="Black or African American",3,15.0
,="Environmental Sciences Magnet at Hooker School",="Black or African American",4,12.5
,="Expeditionary Learning Academy at Moylan School",="Black or African American",2,3.6
,="Global Communications Academy",="Black or African American",6,15.8
,="HPHS Engineering and Green Technology Academy",="Black or African American",4,11.1
,="HPHS Freshmen Academy",="Black or African American",3,9.4
,="HPHS Law and Government Academy",="Black or African American",3,8.8
,="HPHS Nursing and Health Sciences Academy",="Black or African American",4,12.1
,="Hartford Magnet Trinity College Academy",="Black or African American",6,9.7
,="Hartford Transitional Learning Academy (Elementary)",="Black or African American",1,12.5
,="Hartford Transitional Learning Academy (Secondary)",="Black or African American",2,66.7
,="High School, Inc.",="Black or African American",11,42.3
