"Educator Race/Ethnicity Report for 2011-12"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Hispanic or Latino",4,5.6
="Amistad Academy District",="Hispanic or Latino",2,2.1
="Ansonia School District",="Hispanic or Latino",3,1.5
="Area Cooperative Educational Services",="Hispanic or Latino",8,2.9
="Avon School District",="Hispanic or Latino",4,1.3
="Berlin School District",="Hispanic or Latino",3,1.0
="Bethel School District",="Hispanic or Latino",2,0.7
="Bloomfield School District",="Hispanic or Latino",5,2.0
="Bolton School District",="Hispanic or Latino",3,3.2
="Branford School District",="Hispanic or Latino",5,1.6
="Bridgeport Achievement First District",="Hispanic or Latino",4,7.7
="Bridgeport School District",="Hispanic or Latino",173,10.5
="Bristol School District",="Hispanic or Latino",13,1.9
="Brookfield School District",="Hispanic or Latino",3,1.2
="Brooklyn School District",="Hispanic or Latino",1,1.3
="Canton School District",="Hispanic or Latino",1,0.6
="Capitol Region Education Council",="Hispanic or Latino",40,6.2
="Charter School for Young Children on Asylum Hill District",="Hispanic or Latino",2,11.8
="Cheshire School District",="Hispanic or Latino",5,1.3
="Clinton School District",="Hispanic or Latino",2,1.0
="Colchester School District",="Hispanic or Latino",3,1.1
="Columbia School District",="Hispanic or Latino",1,1.8
="Connecticut Technical High School System",="Hispanic or Latino",65,5.5
="Cooperative Educational Services",="Hispanic or Latino",8,4.7
="Coventry School District",="Hispanic or Latino",2,1.2
="Cromwell School District",="Hispanic or Latino",3,1.6
="Danbury School District",="Hispanic or Latino",43,5.1
="Darien School District",="Hispanic or Latino",10,2.0
="Deep River School District",="Hispanic or Latino",1,2.4
="Derby School District",="Hispanic or Latino",4,3.3
="East Hampton School District",="Hispanic or Latino",3,1.7
="East Hartford School District",="Hispanic or Latino",30,4.5
="East Haven School District",="Hispanic or Latino",4,1.3
="East Lyme School District",="Hispanic or Latino",2,0.7
="East Windsor School District",="Hispanic or Latino",1,0.8
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",2,2.2
="Easton School District",="Hispanic or Latino",1,1.0
="Ellington School District",="Hispanic or Latino",2,0.9
="Elm City College Preparatory School District",="Hispanic or Latino",1,1.9
="Enfield School District",="Hispanic or Latino",5,1.0
="Essex School District",="Hispanic or Latino",1,1.5
="Fairfield School District",="Hispanic or Latino",19,1.9
="Farmington School District",="Hispanic or Latino",7,1.9
="Glastonbury School District",="Hispanic or Latino",10,1.8
="Granby School District",="Hispanic or Latino",2,1.1
="Greenwich School District",="Hispanic or Latino",41,4.3
="Griswold School District",="Hispanic or Latino",2,1.1
="Groton School District",="Hispanic or Latino",9,1.9
="Guilford School District",="Hispanic or Latino",3,0.9
="Hamden School District",="Hispanic or Latino",17,3.0
="Hartford School District",="Hispanic or Latino",226,11.9
="Hebron School District",="Hispanic or Latino",1,1.1
="Integrated Day Charter School District",="Hispanic or Latino",1,3.9
="Jumoke Academy District",="Hispanic or Latino",4,12.9
="Learn",="Hispanic or Latino",7,4.4
="Lebanon School District",="Hispanic or Latino",1,0.8
="Ledyard School District",="Hispanic or Latino",3,1.3
="Litchfield School District",="Hispanic or Latino",2,1.8
="Madison School District",="Hispanic or Latino",3,0.9
="Manchester School District",="Hispanic or Latino",14,2.1
="Mansfield School District",="Hispanic or Latino",1,0.7
="Meriden School District",="Hispanic or Latino",49,7.3
="Middletown School District",="Hispanic or Latino",11,2.5
="Milford School District",="Hispanic or Latino",3,0.4
="Monroe School District",="Hispanic or Latino",4,1.3
="Montville School District",="Hispanic or Latino",4,1.6
="Naugatuck School District",="Hispanic or Latino",6,1.7
="New Beginnings Inc Family Academy District",="Hispanic or Latino",1,3.2
="New Britain School District",="Hispanic or Latino",99,12.3
="New Canaan School District",="Hispanic or Latino",8,1.9
="New Fairfield School District",="Hispanic or Latino",3,1.2
="New Hartford School District",="Hispanic or Latino",1,1.9
="New Haven School District",="Hispanic or Latino",152,7.8
="New London School District",="Hispanic or Latino",27,9.2
="New Milford School District",="Hispanic or Latino",8,2.0
="Newington School District",="Hispanic or Latino",5,1.3
="Newtown School District",="Hispanic or Latino",7,1.5
="North Branford School District",="Hispanic or Latino",1,0.5
="North Haven School District",="Hispanic or Latino",7,2.1
="Norwalk School District",="Hispanic or Latino",61,6.2
="Norwich Free Academy District",="Hispanic or Latino",4,2.2
="Norwich School District",="Hispanic or Latino",1,0.4
="Odyssey Community School District",="Hispanic or Latino",1,3.3
="Oxford School District",="Hispanic or Latino",2,1.2
="Plainfield School District",="Hispanic or Latino",1,0.5
="Plainville School District",="Hispanic or Latino",3,1.2
="Plymouth School District",="Hispanic or Latino",2,1.3
="Putnam School District",="Hispanic or Latino",1,0.8
="Redding School District",="Hispanic or Latino",3,2.3
="Regional School District 04",="Hispanic or Latino",1,1.0
="Regional School District 05",="Hispanic or Latino",9,3.7
="Regional School District 06",="Hispanic or Latino",1,0.9
="Regional School District 07",="Hispanic or Latino",1,1.0
="Regional School District 08",="Hispanic or Latino",6,3.4
="Regional School District 09",="Hispanic or Latino",1,1.0
="Regional School District 10",="Hispanic or Latino",2,0.8
="Regional School District 11",="Hispanic or Latino",1,2.5
="Regional School District 12",="Hispanic or Latino",3,2.7
="Regional School District 13",="Hispanic or Latino",3,1.5
="Regional School District 14",="Hispanic or Latino",3,1.5
="Regional School District 15",="Hispanic or Latino",3,0.8
="Regional School District 16",="Hispanic or Latino",2,0.9
="Regional School District 17",="Hispanic or Latino",1,0.4
="Regional School District 19",="Hispanic or Latino",3,2.3
="Ridgefield School District",="Hispanic or Latino",5,1.1
="Rocky Hill School District",="Hispanic or Latino",7,3.0
="Salem School District",="Hispanic or Latino",1,2.0
="Salisbury School District",="Hispanic or Latino",1,2.2
="Shelton School District",="Hispanic or Latino",3,0.7
="Sherman School District",="Hispanic or Latino",1,2.1
="Simsbury School District",="Hispanic or Latino",3,0.7
="Somers School District",="Hispanic or Latino",3,1.9
="South Windsor School District",="Hispanic or Latino",4,1.0
="Southington School District",="Hispanic or Latino",4,0.7
="Stafford School District",="Hispanic or Latino",2,1.2
="Stamford School District",="Hispanic or Latino",82,5.6
="Stonington School District",="Hispanic or Latino",1,0.4
="Stratford School District",="Hispanic or Latino",14,2.4
="Suffield School District",="Hispanic or Latino",6,2.7
="The Bridge Academy District",="Hispanic or Latino",2,10.5
="Thompson School District",="Hispanic or Latino",1,0.9
="Tolland School District",="Hispanic or Latino",6,2.4
="Torrington School District",="Hispanic or Latino",12,3.1
="Trumbull School District",="Hispanic or Latino",13,2.2
="Unified School District #1",="Hispanic or Latino",6,3.4
="Unified School District #2",="Hispanic or Latino",1,1.0
="Vernon School District",="Hispanic or Latino",8,2.2
="Wallingford School District",="Hispanic or Latino",7,1.2
="Waterbury School District",="Hispanic or Latino",118,7.3
="Waterford School District",="Hispanic or Latino",5,2.0
="Watertown School District",="Hispanic or Latino",3,1.2
="West Hartford School District",="Hispanic or Latino",23,2.4
="West Haven School District",="Hispanic or Latino",12,2.1
="Westbrook School District",="Hispanic or Latino",1,0.9
="Weston School District",="Hispanic or Latino",3,1.2
="Westport School District",="Hispanic or Latino",15,2.5
="Wethersfield School District",="Hispanic or Latino",6,2.0
="Willington School District",="Hispanic or Latino",2,3.5
="Wilton School District",="Hispanic or Latino",7,1.8
="Windham School District",="Hispanic or Latino",30,8.9
="Windsor Locks School District",="Hispanic or Latino",3,1.7
="Windsor School District",="Hispanic or Latino",8,1.9
="Wolcott School District",="Hispanic or Latino",1,0.4
="Woodbridge School District",="Hispanic or Latino",2,2.6
="Woodstock Academy District",="Hispanic or Latino",2,2.0

