"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2009-10"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",407,33,440
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",717,27,744
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",308,28,336
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",707,70,777
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",427,50,477
"Ansonia School District","=""0020011""","Mead School","=""0020311""",606,54,660
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",729,82,811
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",92,18,110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",22,126,148
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",668,65,733
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,176,176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,123,123
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,100,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,56,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",562,68,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",415,60,475
"Avon School District","=""0040011""","Avon High School","=""0046111""",975,104,1079
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",534,67,601
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",589,66,655
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",620,62,682
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",487,81,568
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",310,35,345
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",12,10,22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",909,113,1022
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",650,83,733
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",502,86,588
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",527,37,564
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",228,24,252
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",435,80,515
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",368,52,420
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",893,94,987
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",628,75,703
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",420,77,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",394,41,435
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",558,71,629
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",263,31,294
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",289,25,314
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",225,29,254
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",251,13,264
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",174,8,182
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",79,9,88
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",235,19,254
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",534,49,583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",269,28,297
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",217,39,256
"Branford School District","=""0140011""","Branford High School","=""0146111""",995,114,1109
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",964,149,1113
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",23,35,58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",319,42,361
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",375,53,428
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",387,46,433
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",219,19,238
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",534,97,631
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",975,178,1153
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",329,46,375
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",226,31,257
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",972,97,1069
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,53,53
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",349,52,401
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2003,214,2217
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",951,110,1061
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",306,22,328
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",599,83,682
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",326,54,380
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",519,60,579
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",286,38,324
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",244,22,266
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",733,106,839
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",249,28,277
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",305,35,340
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1334,211,1545
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",421,11,432
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",400,61,461
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",524,96,620
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",373,49,422
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",758,109,867
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",463,99,562
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",47,7,54
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",424,27,451
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",46,0,46
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""",0,"*","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",11,6,17
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",465,47,512
"Bridgeport School District","=""0150011""","Read School","=""0152511""",802,61,863
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",443,83,526
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",121,122,243
"Bridgeport School District","=""0150011""","The University School","=""0159111""",0,28,28
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",445,77,522
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",681,43,724
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,19,19
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1188,176,1364
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1134,171,1305
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",771,139,910
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",340,35,375
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",210,26,236
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,13,13
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",328,27,355
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",446,65,511
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",316,46,362
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",317,42,359
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",312,29,341
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",479,65,544
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",304,63,367
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",516,69,585
"Bristol School District","=""0170011""","South Side School","=""0171111""",492,74,566
"Bristol School District","=""0170011""","Stafford School","=""0171211""",376,104,480
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",968,48,1016
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",374,45,419
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",506,40,546
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",847,70,917
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",516,60,576
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",331,55,386
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",79,16,95
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",302,27,329
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",203,19,222
"Canton School District","=""0230011""","Canton High School","=""0236111""",463,51,514
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",351,37,388
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",262,29,291
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",519,50,569
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",160,8,168
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",25
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",241,20,261
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",206,28,234
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",258,16,274
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,9,9
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",167,15,182
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",53
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",672,41,713
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",309,27,336
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",179,37,216
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",158,13,171
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",8,44,52
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,152,152
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",38,51,89
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",528,64,592
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",376,42,418
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",155,18,173
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",176,9,185
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",293,32,325
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1404,145,1549
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",340,55,395
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",732,83,815
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",473,43,516
"Cheshire School District","=""0250011""","Highland School","=""0250411""",767,73,840
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",6,11,17
"Cheshire School District","=""0250011""","Norton School","=""0250511""",444,48,492
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",261,38,299
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",261,39,300
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",432,63,495
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",598,73,671
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",472,86,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",908,95,1003
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",624,110,734
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",629,77,706
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",669,92,761
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",99,20,119
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",507,47,554
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",138,22,160
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",650,33,683
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",860,26,886
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",504,40,544
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",481,30,511
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",543,48,591
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",463,51,514
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",727,54,781
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",530,36,566
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",573,98,671
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",567,56,623
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",513,44,557
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",705,56,761
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",829,51,880
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",520,87,607
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",722,15,737
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",517,40,557
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,76,76
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,58,58
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,10,10
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",423,16,439
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,142,142
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",100,22,122
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",420,61,481
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,11,11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",390,24,414
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",482,81,563
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",402,38,440
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",542,63,605
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",424,41,465
