"Physical Fitness Tests: Students Reaching Health Standard, 2010-11"
"All Districts, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2010-11"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Sit and Reach",80.0
"Amistad Academy District","=""2790013""","All Grades","Sit and Reach",73.2
"Andover School District","=""0010011""","All Grades","Sit and Reach",91.3
"Ansonia School District","=""0020011""","All Grades","Sit and Reach",83.5
"Area Cooperative Educational Services","=""2440014""","All Grades","Sit and Reach",82.4
"Ashford School District","=""0030011""","All Grades","Sit and Reach",94.2
"Avon School District","=""0040011""","All Grades","Sit and Reach",79.5
"Barkhamsted School District","=""0050011""","All Grades","Sit and Reach",88.4
"Berlin School District","=""0070011""","All Grades","Sit and Reach",89.7
"Bethany School District","=""0080011""","All Grades","Sit and Reach",56.0
"Bethel School District","=""0090011""","All Grades","Sit and Reach",86.0
"Bloomfield School District","=""0110011""","All Grades","Sit and Reach",67.2
"Bolton School District","=""0120011""","All Grades","Sit and Reach",83.7
"Bozrah School District","=""0130011""","All Grades","Sit and Reach",85.7
"Branford School District","=""0140011""","All Grades","Sit and Reach",85.6
"Bridgeport Achievement First District","=""2850013""","All Grades","Sit and Reach",63.5
"Bridgeport School District","=""0150011""","All Grades","Sit and Reach",78.1
"Bristol School District","=""0170011""","All Grades","Sit and Reach",90.7
"Brookfield School District","=""0180011""","All Grades","Sit and Reach",83.2
"Brooklyn School District","=""0190011""","All Grades","Sit and Reach",71.7
"Canaan School District","=""0210011""","All Grades","Sit and Reach",100.0
"Canterbury School District","=""0220011""","All Grades","Sit and Reach",87.6
"Canton School District","=""0230011""","All Grades","Sit and Reach",88.1
"Capitol Region Education Council","=""2410014""","All Grades","Sit and Reach",73.3
"Chaplin School District","=""0240011""","All Grades","Sit and Reach",100.0
"Cheshire School District","=""0250011""","All Grades","Sit and Reach",83.7
"Chester School District","=""0260011""","All Grades","Sit and Reach",49.4
"Clinton School District","=""0270011""","All Grades","Sit and Reach",74.6
"Colchester School District","=""0280011""","All Grades","Sit and Reach",76.3
"Colebrook School District","=""0290011""","All Grades","Sit and Reach",59.0
"Columbia School District","=""0300011""","All Grades","Sit and Reach",92.0
"Connecticut Technical High School System","=""9000016""","All Grades","Sit and Reach",82.7
"Cooperative Educational Services","=""2430014""","All Grades","Sit and Reach",78.3
"Cornwall School District","=""0310011""","All Grades","Sit and Reach",95.1
"Coventry School District","=""0320011""","All Grades","Sit and Reach",82.5
"Cromwell School District","=""0330011""","All Grades","Sit and Reach",78.4
"Danbury School District","=""0340011""","All Grades","Sit and Reach",71.2
"Darien School District","=""0350011""","All Grades","Sit and Reach",90.8
"Deep River School District","=""0360011""","All Grades","Sit and Reach",85.9
"Derby School District","=""0370011""","All Grades","Sit and Reach",75.5
"East Granby School District","=""0400011""","All Grades","Sit and Reach",84.6
"East Haddam School District","=""0410011""","All Grades","Sit and Reach",69.9
"East Hampton School District","=""0420011""","All Grades","Sit and Reach",77.6
"East Hartford School District","=""0430011""","All Grades","Sit and Reach",82.9
"East Haven School District","=""0440011""","All Grades","Sit and Reach",88.3
"East Lyme School District","=""0450011""","All Grades","Sit and Reach",91.3
"East Windsor School District","=""0470011""","All Grades","Sit and Reach",78.4
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Sit and Reach",57.1
"Eastford School District","=""0390011""","All Grades","Sit and Reach",98.4
"Easton School District","=""0460011""","All Grades","Sit and Reach",84.7
"Ellington School District","=""0480011""","All Grades","Sit and Reach",84.9
"Elm City College Preparatory School District","=""2890013""","All Grades","Sit and Reach",77.6
"Enfield School District","=""0490011""","All Grades","Sit and Reach",84.7
"Essex School District","=""0500011""","All Grades","Sit and Reach",74.0
"Explorations District","=""2720013""","All Grades","Sit and Reach",69.6
"Fairfield School District","=""0510011""","All Grades","Sit and Reach",81.6
"Farmington School District","=""0520011""","All Grades","Sit and Reach",81.5
"Franklin School District","=""0530011""","All Grades","Sit and Reach",90.3
"Glastonbury School District","=""0540011""","All Grades","Sit and Reach",82.2
"Granby School District","=""0560011""","All Grades","Sit and Reach",85.6
"Greenwich School District","=""0570011""","All Grades","Sit and Reach",81.7
"Griswold School District","=""0580011""","All Grades","Sit and Reach",82.2
"Groton School District","=""0590011""","All Grades","Sit and Reach",87.8
"Guilford School District","=""0600011""","All Grades","Sit and Reach",83.9
"Hamden School District","=""0620011""","All Grades","Sit and Reach",85.4
"Hampton School District","=""0630011""","All Grades","Sit and Reach",100.0
"Hartford School District","=""0640011""","All Grades","Sit and Reach",72.9
"Hartland School District","=""0650011""","All Grades","Sit and Reach",95.3
"Hebron School District","=""0670011""","All Grades","Sit and Reach",91.1
"Highville Charter School District","=""2860013""","All Grades","Sit and Reach",92.8
"Integrated Day Charter School District","=""2640013""","All Grades","Sit and Reach",89.4
"Interdistrict School for Arts and Comm District","=""2650013""","All Grades","Sit and Reach",64.6
"Jumoke Academy District","=""2610013""","All Grades","Sit and Reach",38.7
"Kent School District","=""0680011""","All Grades","Sit and Reach",81.8
"Killingly School District","=""0690011""","All Grades","Sit and Reach",80.2
"Learn","=""2450014""","All Grades","Sit and Reach",79.9
"Lebanon School District","=""0710011""","All Grades","Sit and Reach",79.6
"Ledyard School District","=""0720011""","All Grades","Sit and Reach",79.0
"Lisbon School District","=""0730011""","All Grades","Sit and Reach",63.5
"Litchfield School District","=""0740011""","All Grades","Sit and Reach",88.8
"Madison School District","=""0760011""","All Grades","Sit and Reach",85.5
"Manchester School District","=""0770011""","All Grades","Sit and Reach",83.8
"Mansfield School District","=""0780011""","All Grades","Sit and Reach",85.1
"Marlborough School District","=""0790011""","All Grades","Sit and Reach",71.9
"Meriden School District","=""0800011""","All Grades","Sit and Reach",75.6
"Middletown School District","=""0830011""","All Grades","Sit and Reach",78.3
"Milford School District","=""0840011""","All Grades","Sit and Reach",85.5
"Monroe School District","=""0850011""","All Grades","Sit and Reach",78.6
"Montville School District","=""0860011""","All Grades","Sit and Reach",79.5
"Naugatuck School District","=""0880011""","All Grades","Sit and Reach",78.4
"New Beginnings Inc., Family Academy District","=""2800013""","All Grades","Sit and Reach",60.3
"New Britain School District","=""0890011""","All Grades","Sit and Reach",75.7
"New Canaan School District","=""0900011""","All Grades","Sit and Reach",88.0
"New Fairfield School District","=""0910011""","All Grades","Sit and Reach",87.9
"New Hartford School District","=""0920011""","All Grades","Sit and Reach",71.8
"New Haven School District","=""0930011""","All Grades","Sit and Reach",71.7
"New London School District","=""0950011""","All Grades","Sit and Reach",73.8
"New Milford School District","=""0960011""","All Grades","Sit and Reach",80.4
"Newington School District","=""0940011""","All Grades","Sit and Reach",84.9
"Newtown School District","=""0970011""","All Grades","Sit and Reach",88.8
"Norfolk School District","=""0980011""","All Grades","Sit and Reach",59.6
"North Branford School District","=""0990011""","All Grades","Sit and Reach",85.5
"North Canaan School District","=""1000011""","All Grades","Sit and Reach",93.1
"North Haven School District","=""1010011""","All Grades","Sit and Reach",86.8
"North Stonington School District","=""1020011""","All Grades","Sit and Reach",88.0
"Norwalk School District","=""1030011""","All Grades","Sit and Reach",79.4
"Norwich Free Academy District","=""9010022""","All Grades","Sit and Reach",83.0
"Norwich School District","=""1040011""","All Grades","Sit and Reach",75.2
"Odyssey Community School District","=""2630013""","All Grades","Sit and Reach",72.1
"Old Saybrook School District","=""1060011""","All Grades","Sit and Reach",82.7
"Orange School District","=""1070011""","All Grades","Sit and Reach",83.9
"Oxford School District","=""1080011""","All Grades","Sit and Reach",81.2
"Park City Prep Charter School District","=""2830013""","All Grades","Sit and Reach",50.0
"Plainfield School District","=""1090011""","All Grades","Sit and Reach",78.5
"Plainville School District","=""1100011""","All Grades","Sit and Reach",83.0
"Plymouth School District","=""1110011""","All Grades","Sit and Reach",84.6
"Pomfret School District","=""1120011""","All Grades","Sit and Reach",75.9
"Portland School District","=""1130011""","All Grades","Sit and Reach",64.2
"Preston School District","=""1140011""","All Grades","Sit and Reach",70.2
"Putnam School District","=""1160011""","All Grades","Sit and Reach",78.8
"Redding School District","=""1170011""","All Grades","Sit and Reach",93.0
"Regional School District 01","=""2010012""","All Grades","Sit and Reach",86.8
"Regional School District 04","=""2040012""","All Grades","Sit and Reach",83.8
"Regional School District 05","=""2050012""","All Grades","Sit and Reach",90.6
"Regional School District 06","=""2060012""","All Grades","Sit and Reach",88.0
"Regional School District 07","=""2070012""","All Grades","Sit and Reach",85.2
"Regional School District 08","=""2080012""","All Grades","Sit and Reach",84.7
"Regional School District 10","=""2100012""","All Grades","Sit and Reach",85.1
"Regional School District 11","=""2110012""","All Grades","Sit and Reach",94.4
"Regional School District 12","=""2120012""","All Grades","Sit and Reach",92.5
"Regional School District 13","=""2130012""","All Grades","Sit and Reach",82.4
"Regional School District 14","=""2140012""","All Grades","Sit and Reach",73.5
"Regional School District 15","=""2150012""","All Grades","Sit and Reach",83.7
"Regional School District 16","=""2160012""","All Grades","Sit and Reach",89.9
"Regional School District 17","=""2170012""","All Grades","Sit and Reach",88.3
"Regional School District 18","=""2180012""","All Grades","Sit and Reach",78.5
"Regional School District 19","=""2190012""","All Grades","Sit and Reach",87.8
"Ridgefield School District","=""1180011""","All Grades","Sit and Reach",80.7
"Rocky Hill School District","=""1190011""","All Grades","Sit and Reach",92.1
"Salem School District","=""1210011""","All Grades","Sit and Reach",86.0
"Salisbury School District","=""1220011""","All Grades","Sit and Reach",88.9
"Scotland School District","=""1230011""","All Grades","Sit and Reach",88.9
"Seymour School District","=""1240011""","All Grades","Sit and Reach",69.4
"Sharon School District","=""1250011""","All Grades","Sit and Reach",81.8
"Shelton School District","=""1260011""","All Grades","Sit and Reach",89.1
"Sherman School District","=""1270011""","All Grades","Sit and Reach",89.0
"Side By Side Charter School District","=""2700013""","All Grades","Sit and Reach",91.9
"Simsbury School District","=""1280011""","All Grades","Sit and Reach",89.2
"Somers School District","=""1290011""","All Grades","Sit and Reach",86.0
"South Windsor School District","=""1320011""","All Grades","Sit and Reach",78.5
"Southington School District","=""1310011""","All Grades","Sit and Reach",79.8
"Sprague School District","=""1330011""","All Grades","Sit and Reach",94.9
"Stafford School District","=""1340011""","All Grades","Sit and Reach",86.0
"Stamford School District","=""1350011""","All Grades","Sit and Reach",85.7
"Sterling School District","=""1360011""","All Grades","Sit and Reach",97.9
"Stonington School District","=""1370011""","All Grades","Sit and Reach",92.1
"Stratford School District","=""1380011""","All Grades","Sit and Reach",86.8
"Suffield School District","=""1390011""","All Grades","Sit and Reach",83.9
"The Bridge Academy District","=""2690013""","All Grades","Sit and Reach",58.8
"The Gilbert School District","=""9020022""","All Grades","Sit and Reach",65.5
"Thomaston School District","=""1400011""","All Grades","Sit and Reach",91.5
"Thompson School District","=""1410011""","All Grades","Sit and Reach",85.6
"Tolland School District","=""1420011""","All Grades","Sit and Reach",82.8
"Torrington School District","=""1430011""","All Grades","Sit and Reach",74.5
"Trailblazers Academy District","=""2780013""","All Grades","Sit and Reach",87.3
"Trumbull School District","=""1440011""","All Grades","Sit and Reach",87.9
"Union School District","=""1450011""","All Grades","Sit and Reach",95.8
"Vernon School District","=""1460011""","All Grades","Sit and Reach",87.2
"Voluntown School District","=""1470011""","All Grades","Sit and Reach",92.9
"Wallingford School District","=""1480011""","All Grades","Sit and Reach",77.4
"Waterbury School District","=""1510011""","All Grades","Sit and Reach",82.6
"Waterford School District","=""1520011""","All Grades","Sit and Reach",80.9
"Watertown School District","=""1530011""","All Grades","Sit and Reach",89.0
"West Hartford School District","=""1550011""","All Grades","Sit and Reach",88.4
"West Haven School District","=""1560011""","All Grades","Sit and Reach",71.0
"Westbrook School District","=""1540011""","All Grades","Sit and Reach",76.4
"Weston School District","=""1570011""","All Grades","Sit and Reach",89.0
"Westport School District","=""1580011""","All Grades","Sit and Reach",88.6
"Wethersfield School District","=""1590011""","All Grades","Sit and Reach",84.4
"Willington School District","=""1600011""","All Grades","Sit and Reach",92.6
"Wilton School District","=""1610011""","All Grades","Sit and Reach",82.1
"Winchester School District","=""1620011""","All Grades","Sit and Reach",80.2
"Windham School District","=""1630011""","All Grades","Sit and Reach",84.5
"Windsor Locks School District","=""1650011""","All Grades","Sit and Reach",65.9
"Windsor School District","=""1640011""","All Grades","Sit and Reach",73.3
"Wolcott School District","=""1660011""","All Grades","Sit and Reach",87.2
"Woodbridge School District","=""1670011""","All Grades","Sit and Reach",92.0
"Woodstock Academy District","=""9030022""","All Grades","Sit and Reach",93.0
"Woodstock School District","=""1690011""","All Grades","Sit and Reach",86.8

