"Physical Fitness Tests: Students Reaching Health Standard, 2013-14"
"All Districts, Mile Run"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2013-14"
"Achievement First Hartford Academy Inc. District","=""2880013""","All Grades","Mile Run",62.1
"Amistad Academy District","=""2790013""","All Grades","Mile Run",59.3
"Andover School District","=""0010011""","All Grades","Mile Run",91.6
"Ansonia School District","=""0020011""","All Grades","Mile Run",63.9
"Area Cooperative Educational Services","=""2440014""","All Grades","Mile Run",59.0
"Ashford School District","=""0030011""","All Grades","Mile Run",68.4
"Avon School District","=""0040011""","All Grades","Mile Run",86.9
"Barkhamsted School District","=""0050011""","All Grades","Mile Run",67.1
"Berlin School District","=""0070011""","All Grades","Mile Run",80.2
"Bethany School District","=""0080011""","All Grades","Mile Run",66.4
"Bethel School District","=""0090011""","All Grades","Mile Run",70.6
"Bloomfield School District","=""0110011""","All Grades","Mile Run",55.3
"Bolton School District","=""0120011""","All Grades","Mile Run",83.9
"Bozrah School District","=""0130011""","All Grades","Mile Run",74.7
"Branford School District","=""0140011""","All Grades","Mile Run",70.4
"Bridgeport Achievement First District","=""2850013""","All Grades","Mile Run",51.1
"Bridgeport School District","=""0150011""","All Grades","Mile Run",65.0
"Bristol School District","=""0170011""","All Grades","Mile Run",83.8
"Brookfield School District","=""0180011""","All Grades","Mile Run",80.1
"Brooklyn School District","=""0190011""","All Grades","Mile Run",55.6
"Canaan School District","=""0210011""","All Grades","Mile Run",64.3
"Canterbury School District","=""0220011""","All Grades","Mile Run",78.3
"Canton School District","=""0230011""","All Grades","Mile Run",80.8
"Capitol Region Education Council","=""2410014""","All Grades","Mile Run",56.8
"Chaplin School District","=""0240011""","All Grades","Mile Run",100.0
"Cheshire School District","=""0250011""","All Grades","Mile Run",82.9
"Chester School District","=""0260011""","All Grades","Mile Run",75.0
"Clinton School District","=""0270011""","All Grades","Mile Run",80.4
"Colchester School District","=""0280011""","All Grades","Mile Run",75.7
"Colebrook School District","=""0290011""","All Grades","Mile Run",84.0
"Columbia School District","=""0300011""","All Grades","Mile Run",83.5
"Common Ground High School District","=""2680013""","All Grades","Mile Run","*"
"Connecticut Technical High School System","=""9000016""","All Grades","Mile Run",46.6
"Cooperative Educational Services","=""2430014""","All Grades","Mile Run",67.3
"Cornwall School District","=""0310011""","All Grades","Mile Run",94.4
"Coventry School District","=""0320011""","All Grades","Mile Run",77.2
"Cromwell School District","=""0330011""","All Grades","Mile Run",79.4
"Danbury School District","=""0340011""","All Grades","Mile Run",64.0
"Darien School District","=""0350011""","All Grades","Mile Run",92.0
"Deep River School District","=""0360011""","All Grades","Mile Run",88.5
"Derby School District","=""0370011""","All Grades","Mile Run",57.9
"East Granby School District","=""0400011""","All Grades","Mile Run",68.7
"East Haddam School District","=""0410011""","All Grades","Mile Run",81.7
"East Hampton School District","=""0420011""","All Grades","Mile Run",71.9
"East Hartford School District","=""0430011""","All Grades","Mile Run",61.1
"East Haven School District","=""0440011""","All Grades","Mile Run",66.7
"East Lyme School District","=""0450011""","All Grades","Mile Run",82.8
"East Windsor School District","=""0470011""","All Grades","Mile Run",78.1
"Eastern Connecticut Regional Educational Service Center (EAS","=""2530014""","All Grades","Mile Run",31.1
"Eastford School District","=""0390011""","All Grades","Mile Run",85.0
"Easton School District","=""0460011""","All Grades","Mile Run",86.6
"Ellington School District","=""0480011""","All Grades","Mile Run",78.0
"Elm City College Preparatory School District","=""2890013""","All Grades","Mile Run",59.9
"Enfield School District","=""0490011""","All Grades","Mile Run",75.0
"Essex School District","=""0500011""","All Grades","Mile Run",75.6
"Explorations District","=""2720013""","All Grades","Mile Run","*"
"Fairfield School District","=""0510011""","All Grades","Mile Run",89.6
"Farmington School District","=""0520011""","All Grades","Mile Run",82.7
"Franklin School District","=""0530011""","All Grades","Mile Run",71.4
"Glastonbury School District","=""0540011""","All Grades","Mile Run",84.7
"Granby School District","=""0560011""","All Grades","Mile Run",85.8
