"Physical Fitness Tests: Students Reaching Health Standard, 2015-16"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)"
"District","District Code","Grade","Test","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","All Tests - District",82.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Curl Up",91.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Mile Run",92.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Push Up",86.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 4","Sit and Reach",92.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","All Tests - District",13.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Curl Up",35.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Mile Run",43.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Push Up",30.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 6","Sit and Reach",60.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","All Tests - District",20.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Curl Up",22.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Mile Run",29.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Push Up",46.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 8","Sit and Reach",55.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","All Tests - District",23.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Curl Up",86.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Mile Run",52.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Push Up",65.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","Sit and Reach",65.8
"Amistad Academy District","=""2790013""","Grade 4","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 4","Curl Up","*"
"Amistad Academy District","=""2790013""","Grade 4","Mile Run",63.0
"Amistad Academy District","=""2790013""","Grade 4","Push Up",23.5
"Amistad Academy District","=""2790013""","Grade 4","Sit and Reach",49.4
"Amistad Academy District","=""2790013""","Grade 6","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 6","Curl Up","*"
"Amistad Academy District","=""2790013""","Grade 6","Mile Run",91.3
"Amistad Academy District","=""2790013""","Grade 6","Push Up",65.2
"Amistad Academy District","=""2790013""","Grade 6","Sit and Reach",82.6
"Amistad Academy District","=""2790013""","Grade 8","All Tests - District","*"
"Amistad Academy District","=""2790013""","Grade 8","Curl Up","*"
"Amistad Academy District","=""2790013""","Grade 8","Mile Run",70.4
"Amistad Academy District","=""2790013""","Grade 8","Push Up",48.1
"Amistad Academy District","=""2790013""","Grade 8","Sit and Reach",74.1
"Amistad Academy District","=""2790013""","Grade 10","All Tests - District",58.9
"Amistad Academy District","=""2790013""","Grade 10","Curl Up",98.2
"Amistad Academy District","=""2790013""","Grade 10","Mile Run",85.7
"Amistad Academy District","=""2790013""","Grade 10","Push Up",96.4
"Amistad Academy District","=""2790013""","Grade 10","Sit and Reach",78.6
"Andover School District","=""0010011""","Grade 4","All Tests - District",81.6
"Andover School District","=""0010011""","Grade 4","Curl Up",86.8
"Andover School District","=""0010011""","Grade 4","Mile Run",94.7
"Andover School District","=""0010011""","Grade 4","Push Up",97.4
"Andover School District","=""0010011""","Grade 4","Sit and Reach",97.4
"Andover School District","=""0010011""","Grade 6","All Tests - District",72.9
"Andover School District","=""0010011""","Grade 6","Curl Up",83.3
"Andover School District","=""0010011""","Grade 6","Mile Run",100.0
"Andover School District","=""0010011""","Grade 6","Push Up",87.5
"Andover School District","=""0010011""","Grade 6","Sit and Reach",95.8
"Andover School District","=""0010011""","Grade 8","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 8","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 8","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 8","Push Up","N/A"
"Andover School District","=""0010011""","Grade 8","Sit and Reach","N/A"
"Andover School District","=""0010011""","Grade 10","All Tests - District","N/A"
"Andover School District","=""0010011""","Grade 10","Curl Up","N/A"
"Andover School District","=""0010011""","Grade 10","Mile Run","N/A"
"Andover School District","=""0010011""","Grade 10","Push Up","N/A"
"Andover School District","=""0010011""","Grade 10","Sit and Reach","N/A"
"Ansonia School District","=""0020011""","Grade 4","All Tests - District",37.5
"Ansonia School District","=""0020011""","Grade 4","Curl Up",78.1
"Ansonia School District","=""0020011""","Grade 4","Mile Run",61.9
"Ansonia School District","=""0020011""","Grade 4","Push Up",63.8
"Ansonia School District","=""0020011""","Grade 4","Sit and Reach",85.6
"Ansonia School District","=""0020011""","Grade 6","All Tests - District",33.3
"Ansonia School District","=""0020011""","Grade 6","Curl Up",66.1
"Ansonia School District","=""0020011""","Grade 6","Mile Run",69.6
"Ansonia School District","=""0020011""","Grade 6","Push Up",61.9
"Ansonia School District","=""0020011""","Grade 6","Sit and Reach",80.4
"Ansonia School District","=""0020011""","Grade 8","All Tests - District",36.6
"Ansonia School District","=""0020011""","Grade 8","Curl Up",91.0
"Ansonia School District","=""0020011""","Grade 8","Mile Run",64.1
"Ansonia School District","=""0020011""","Grade 8","Push Up",67.6
"Ansonia School District","=""0020011""","Grade 8","Sit and Reach",87.6
"Ansonia School District","=""0020011""","Grade 10","All Tests - District",69.5
"Ansonia School District","=""0020011""","Grade 10","Curl Up",96.5
"Ansonia School District","=""0020011""","Grade 10","Mile Run",70.9
"Ansonia School District","=""0020011""","Grade 10","Push Up",87.2
"Ansonia School District","=""0020011""","Grade 10","Sit and Reach",90.1
"Area Cooperative Educational Services","=""2440014""","Grade 4","All Tests - District",13.1
"Area Cooperative Educational Services","=""2440014""","Grade 4","Curl Up",60.7
"Area Cooperative Educational Services","=""2440014""","Grade 4","Mile Run",52.3
"Area Cooperative Educational Services","=""2440014""","Grade 4","Push Up",32.7
"Area Cooperative Educational Services","=""2440014""","Grade 4","Sit and Reach",70.1
"Area Cooperative Educational Services","=""2440014""","Grade 6","All Tests - District",39.0
"Area Cooperative Educational Services","=""2440014""","Grade 6","Curl Up",77.9
"Area Cooperative Educational Services","=""2440014""","Grade 6","Mile Run",79.1
"Area Cooperative Educational Services","=""2440014""","Grade 6","Push Up",51.9
"Area Cooperative Educational Services","=""2440014""","Grade 6","Sit and Reach",76.5
"Area Cooperative Educational Services","=""2440014""","Grade 8","All Tests - District",38.4
"Area Cooperative Educational Services","=""2440014""","Grade 8","Curl Up",75.0
"Area Cooperative Educational Services","=""2440014""","Grade 8","Mile Run",70.6
"Area Cooperative Educational Services","=""2440014""","Grade 8","Push Up",53.1
"Area Cooperative Educational Services","=""2440014""","Grade 8","Sit and Reach",72.8
"Area Cooperative Educational Services","=""2440014""","Grade 10","All Tests - District",35.3
"Area Cooperative Educational Services","=""2440014""","Grade 10","Curl Up",50.0
"Area Cooperative Educational Services","=""2440014""","Grade 10","Mile Run",38.2
"Area Cooperative Educational Services","=""2440014""","Grade 10","Push Up",44.1
"Area Cooperative Educational Services","=""2440014""","Grade 10","Sit and Reach",64.7
"Ashford School District","=""0030011""","Grade 4","All Tests - District","*"
"Ashford School District","=""0030011""","Grade 4","Curl Up",72.1
