"Five-Year Graduation Rates, 2010-11"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education",27,"*","*","*","*"
"Ansonia School District","Non-Special Education",166,"*","*",33,19.9
"Ansonia School District","Special Education",22,"*","*",6,27.3
"Avon School District","Non-Special Education",230,"*","*","*","*"
"Avon School District","Special Education",25,"*","*","*","*"
"Berlin School District","Non-Special Education",232,"*","*","*","*"
"Berlin School District","Special Education",29,"*","*","*","*"
"Bethel School District","Non-Special Education",223,"*","*","*","*"
"Bethel School District","Special Education",27,"*","*","*","*"
"Bloomfield School District","Non-Special Education",156,"*","*","*","*"
"Bloomfield School District","Special Education",27,"*","*","*","*"
"Bolton School District","Non-Special Education","*","*","*","*","*"
"Bolton School District","Special Education","*","*","*","*","*"
"Branford School District","Non-Special Education",248,"*","*","*","*"
"Branford School District","Special Education",36,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1245,21,1.7,375,30.1
"Bridgeport School District","Special Education",179,23,12.8,79,44.1
"Bristol School District","Non-Special Education",629,8,1.3,94,14.9
"Bristol School District","Special Education",76,6,7.9,12,15.8
"Brookfield School District","Non-Special Education",253,"*","*","*","*"
"Brookfield School District","Special Education",11,"*","*","*","*"
"Canton School District","Non-Special Education",103,"*","*","*","*"
"Canton School District","Special Education",17,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",273,"*","*","*","*"
"Capitol Region Education Council","Special Education",28,"*","*","*","*"
"Cheshire School District","Non-Special Education",334,"*","*","*","*"
"Cheshire School District","Special Education",41,"*","*","*","*"
"Clinton School District","Non-Special Education",126,"*","*","*","*"
"Clinton School District","Special Education",19,"*","*","*","*"
"Colchester School District","Non-Special Education",224,"*","*","*","*"
"Colchester School District","Special Education",27,"*","*","*","*"
"Common Ground High School District","Non-Special Education",30,"*","*","*","*"
"Common Ground High School District","Special Education",8,"*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2148,"*","*",124,5.8
"Connecticut Technical High School System","Special Education",184,"*","*",9,4.9
"Coventry School District","Non-Special Education",133,"*","*","*","*"
"Coventry School District","Special Education",20,"*","*","*","*"
"Cromwell School District","Non-Special Education",147,"*","*","*","*"
"Cromwell School District","Special Education",23,"*","*","*","*"
"Danbury School District","Non-Special Education",682,11,1.6,106,15.5
"Danbury School District","Special Education",75,6,8.0,17,22.7
"Darien School District","Non-Special Education",291,"*","*","*","*"
"Darien School District","Special Education",36,"*","*","*","*"
"Derby School District","Non-Special Education",115,"*","*","*","*"
"Derby School District","Special Education",8,"*","*","*","*"
"East Granby School District","Non-Special Education",69,"*","*","*","*"
"East Granby School District","Special Education",7,"*","*","*","*"
"East Haddam School District","Non-Special Education","*","*","*","*","*"
"East Haddam School District","Special Education","*","*","*","*","*"
"East Hampton School District","Non-Special Education",125,"*","*","*","*"
"East Hampton School District","Special Education",14,"*","*","*","*"
"East Hartford School District","Non-Special Education",519,"*","*",70,13.5
"East Hartford School District","Special Education",82,"*","*",19,23.2
"East Haven School District","Non-Special Education",272,"*","*",30,11.0
"East Haven School District","Special Education",28,"*","*",8,28.6
"East Lyme School District","Non-Special Education",289,"*","*","*","*"
"East Lyme School District","Special Education",36,"*","*","*","*"
"East Windsor School District","Non-Special Education",79,"*","*","*","*"
"East Windsor School District","Special Education",11,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",57,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",6,"*","*","*","*"
"Ellington School District","Non-Special Education",166,"*","*","*","*"
"Ellington School District","Special Education",17,"*","*","*","*"
"Enfield School District","Non-Special Education",466,"*","*",52,11.2
"Enfield School District","Special Education",53,"*","*",11,20.8
"Explorations District","Non-Special Education",21,"*","*","*","*"
"Explorations District","Special Education",9,"*","*","*","*"
"Fairfield School District","Non-Special Education",598,"*","*","*","*"
"Fairfield School District","Special Education",57,"*","*","*","*"
"Farmington School District","Non-Special Education",306,"*","*","*","*"
"Farmington School District","Special Education",30,"*","*","*","*"
"Glastonbury School District","Non-Special Education",480,"*","*","*","*"
"Glastonbury School District","Special Education",70,"*","*","*","*"
"Granby School District","Non-Special Education",181,"*","*","*","*"
"Granby School District","Special Education",13,"*","*","*","*"
"Greenwich School District","Non-Special Education",568,"*","*","*","*"
"Greenwich School District","Special Education",65,"*","*","*","*"
"Griswold School District","Non-Special Education",178,"*","*",20,11.2
"Griswold School District","Special Education",23,"*","*",12,52.2
