"Five-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",18,"*","*"
"Ansonia School District","=""0020011""",200,165,82.5
"Avon School District","=""0040011""",283,277,97.9
"Berlin School District","=""0070011""",258,252,97.7
"Bethel School District","=""0090011""",237,229,96.6
"Bloomfield School District","=""0110011""",193,172,89.1
"Bolton School District","=""0120011""",70,"*","*"
"Branford School District","=""0140011""",259,244,94.2
"Bridgeport School District","=""0150011""",1266,898,70.9
"Bristol School District","=""0170011""",628,558,88.9
"Brookfield School District","=""0180011""",254,250,98.4
"Canton School District","=""0230011""",118,"*","*"
"Capitol Region Education Council","=""2410014""",333,273,82.0
"Cheshire School District","=""0250011""",408,399,97.8
"Clinton School District","=""0270011""",121,114,94.2
"Colchester School District","=""0280011""",243,237,97.5
"Common Ground High School District","=""2680013""",30,"*","*"
"Connecticut Technical High School System","=""9000016""",2531,2445,96.6
"Coventry School District","=""0320011""",150,138,92.0
"Cromwell School District","=""0330011""",151,140,92.7
"Danbury School District","=""0340011""",754,638,84.6
"Darien School District","=""0350011""",311,302,97.1
"Derby School District","=""0370011""",112,89,79.5
"East Granby School District","=""0400011""",60,58,96.7
"East Haddam School District","=""0410011""",103,96,93.2
"East Hampton School District","=""0420011""",164,156,95.1
"East Hartford School District","=""0430011""",579,481,83.1
"East Haven School District","=""0440011""",225,172,76.4
"East Lyme School District","=""0450011""",302,284,94.0
"East Windsor School District","=""0470011""",88,79,89.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",85,70,82.4
"Ellington School District","=""0480011""",200,185,92.5
"Elm City College Preparatory School District","=""2890013""",19,"*","*"
"Enfield School District","=""0490011""",513,447,87.1
"Explorations District","=""2720013""",29,17,58.6
"Fairfield School District","=""0510011""",692,667,96.4
"Farmington School District","=""0520011""",305,292,95.7
"Glastonbury School District","=""0540011""",513,499,97.3
"Granby School District","=""0560011""",188,"*","*"
"Greenwich School District","=""0570011""",642,612,95.3
"Griswold School District","=""0580011""",186,163,87.6
"Groton School District","=""0590011""",347,286,82.4
"Guilford School District","=""0600011""",286,282,98.6
"Hamden School District","=""0620011""",516,460,89.1
"Hartford School District","=""0640011""",1395,1033,74.1
"Killingly School District","=""0690011""",185,155,83.8
"Lebanon School District","=""0710011""",129,117,90.7
"Ledyard School District","=""0720011""",210,196,93.3
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",103,101,98.1
"Madison School District","=""0760011""",335,328,97.9
"Manchester School District","=""0770011""",512,405,79.1
"Meriden School District","=""0800011""",623,462,74.2
"Middletown School District","=""0830011""",341,285,83.6
"Milford School District","=""0840011""",511,465,91.0
"Monroe School District","=""0850011""",339,"*","*"
"Montville School District","=""0860011""",221,193,87.3
"Naugatuck School District","=""0880011""",369,319,86.4
"New Britain School District","=""0890011""",668,453,67.8
"New Canaan School District","=""0900011""",330,"*","*"
"New Fairfield School District","=""0910011""",232,"*","*"
"New Haven School District","=""0930011""",1329,1000,75.2
"New London School District","=""0950011""",240,165,68.8
"New Milford School District","=""0960011""",391,362,92.6
"Newington School District","=""0940011""",335,308,91.9
"Newtown School District","=""0970011""",404,388,96.0
"North Branford School District","=""0990011""",162,147,90.7
"North Haven School District","=""1010011""",291,273,93.8
"North Stonington School District","=""1020011""",54,48,88.9
"Norwalk School District","=""1030011""",872,765,87.7
"Norwich Free Academy District","=""9010022""",636,558,87.7
"Norwich School District","=""1040011""",70,23,32.9
"Old Saybrook School District","=""1060011""",144,"*","*"
"Oxford School District","=""1080011""",146,134,91.8
"Plainfield School District","=""1090011""",201,179,89.1
"Plainville School District","=""1100011""",205,192,93.7
"Plymouth School District","=""1110011""",139,122,87.8
"Portland School District","=""1130011""",90,84,93.3
"Putnam School District","=""1160011""",69,61,88.4
"Regional School District 01","=""2010012""",140,133,95.0
"Regional School District 04","=""2040012""",159,148,93.1
"Regional School District 05","=""2050012""",434,423,97.5
"Regional School District 06","=""2060012""",87,"*","*"
"Regional School District 07","=""2070012""",203,190,93.6
"Regional School District 08","=""2080012""",296,279,94.3
"Regional School District 09","=""2090012""",239,233,97.5
"Regional School District 10","=""2100012""",229,224,97.8
"Regional School District 11","=""2110012""",43,"*","*"
"Regional School District 12","=""2120012""",74,64,86.5
"Regional School District 13","=""2130012""",142,138,97.2
"Regional School District 14","=""2140012""",196,192,98.0
"Regional School District 15","=""2150012""",327,314,96.0
"Regional School District 16","=""2160012""",195,186,95.4
"Regional School District 17","=""2170012""",189,179,94.7
"Regional School District 18","=""2180012""",104,"*","*"
"Regional School District 19","=""2190012""",302,275,91.1
"Ridgefield School District","=""1180011""",443,"*","*"
"Rocky Hill School District","=""1190011""",209,196,93.8
"Seymour School District","=""1240011""",153,139,90.8
"Shelton School District","=""1260011""",427,400,93.7
"Simsbury School District","=""1280011""",407,399,98.0
"Somers School District","=""1290011""",141,137,97.2
"South Windsor School District","=""1320011""",384,372,96.9
"Southington School District","=""1310011""",495,470,94.9
"Stafford School District","=""1340011""",140,126,90.0
"Stamford Academy District","=""2820013""",44,28,63.6
"Stamford School District","=""1350011""",1176,1054,89.6
"Stonington School District","=""1370011""",181,171,94.5
"Stratford School District","=""1380011""",581,519,89.3
"Suffield School District","=""1390011""",206,190,92.2
"The Bridge Academy District","=""2690013""",41,33,80.5
"The Gilbert School District","=""9020022""",89,"*","*"
"Thomaston School District","=""1400011""",93,86,92.5
"Thompson School District","=""1410011""",101,90,89.1
"Tolland School District","=""1420011""",231,"*","*"
"Torrington School District","=""1430011""",302,252,83.4
"Trumbull School District","=""1440011""",542,532,98.2
"Unified School District #1","=""3360015""",731,23,3.1
"Unified School District #2","=""3470015""",34,"*","*"
"Vernon School District","=""1460011""",262,225,85.9
"Wallingford School District","=""1480011""",537,499,92.9
"Waterbury School District","=""1510011""",1264,846,66.9
"Waterford School District","=""1520011""",242,224,92.6
"Watertown School District","=""1530011""",234,216,92.3
"West Hartford School District","=""1550011""",752,718,95.5
"West Haven School District","=""1560011""",387,290,74.9
"Westbrook School District","=""1540011""",82,"*","*"
"Weston School District","=""1570011""",191,"*","*"
"Westport School District","=""1580011""",428,420,98.1
"Wethersfield School District","=""1590011""",291,268,92.1
"Wilton School District","=""1610011""",313,310,99.0
"Windham School District","=""1630011""",183,139,76.0
"Windsor Locks School District","=""1650011""",148,137,92.6
"Windsor School District","=""1640011""",319,285,89.3
"Wolcott School District","=""1660011""",219,208,95.0
"Woodstock Academy District","=""9030022""",286,274,95.8

