"Five-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,"Non-Graduates",,,
"District","Gender","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female","*","*","*","*","*"
"Amistad Academy District","Male","*","*","*","*","*"
"Ansonia School District","Female",98,"*","*",12,12.2
"Ansonia School District","Male",102,"*","*",21,20.6
"Avon School District","Female",140,"*","*","*","*"
"Avon School District","Male",143,"*","*","*","*"
"Berlin School District","Female",144,"*","*","*","*"
"Berlin School District","Male",114,"*","*","*","*"
"Bethel School District","Female",127,"*","*","*","*"
"Bethel School District","Male",110,"*","*","*","*"
"Bloomfield School District","Female",102,"*","*","*","*"
"Bloomfield School District","Male",91,"*","*","*","*"
"Bolton School District","Female",37,"*","*","*","*"
"Bolton School District","Male",33,"*","*","*","*"
"Branford School District","Female",129,"*","*","*","*"
"Branford School District","Male",130,"*","*","*","*"
"Bridgeport School District","Female",631,7,1.1,142,22.5
"Bridgeport School District","Male",635,13,2.0,205,32.3
"Bristol School District","Female",318,"*","*",30,9.4
"Bristol School District","Male",310,"*","*",34,11.0
"Brookfield School District","Female",140,"*","*","*","*"
"Brookfield School District","Male",114,"*","*","*","*"
"Canton School District","Female",61,"*","*","*","*"
"Canton School District","Male",57,"*","*","*","*"
"Capitol Region Education Council","Female",170,"*","*",20,11.8
"Capitol Region Education Council","Male",163,"*","*",30,18.4
"Cheshire School District","Female",199,"*","*","*","*"
"Cheshire School District","Male",209,"*","*","*","*"
"Clinton School District","Female",60,"*","*","*","*"
"Clinton School District","Male",61,"*","*","*","*"
"Colchester School District","Female",138,"*","*","*","*"
"Colchester School District","Male",105,"*","*","*","*"
"Common Ground High School District","Female",12,"*","*","*","*"
"Common Ground High School District","Male",18,"*","*","*","*"
"Connecticut Technical High School System","Female",954,"*","*",38,4.0
"Connecticut Technical High School System","Male",1577,"*","*",48,3.0
"Coventry School District","Female",69,"*","*","*","*"
"Coventry School District","Male",81,"*","*","*","*"
"Cromwell School District","Female",74,"*","*","*","*"
"Cromwell School District","Male",77,"*","*","*","*"
"Danbury School District","Female",392,"*","*",45,11.5
"Danbury School District","Male",362,"*","*",60,16.6
"Darien School District","Female",162,"*","*","*","*"
"Darien School District","Male",149,"*","*","*","*"
"Derby School District","Female",52,"*","*",10,19.2
"Derby School District","Male",60,"*","*",12,20.0
"East Granby School District","Female",31,"*","*","*","*"
"East Granby School District","Male",29,"*","*","*","*"
"East Haddam School District","Female",58,"*","*","*","*"
"East Haddam School District","Male",45,"*","*","*","*"
"East Hampton School District","Female",76,"*","*","*","*"
"East Hampton School District","Male",88,"*","*","*","*"
"East Hartford School District","Female",290,"*","*",39,13.4
"East Hartford School District","Male",289,"*","*",49,17.0
"East Haven School District","Female",118,"*","*",19,16.1
"East Haven School District","Male",107,"*","*",31,29.0
"East Lyme School District","Female",159,"*","*",6,3.8
"East Lyme School District","Male",143,"*","*",7,4.9
"East Windsor School District","Female",46,"*","*","*","*"
"East Windsor School District","Male",42,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",47,"*","*",8,17.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",38,"*","*",7,18.4
"Ellington School District","Female",96,"*","*","*","*"
"Ellington School District","Male",104,"*","*","*","*"
"Elm City College Preparatory School District","Female",10,"*","*","*","*"
"Elm City College Preparatory School District","Male",9,"*","*","*","*"
"Enfield School District","Female",254,"*","*",18,7.1
"Enfield School District","Male",259,"*","*",38,14.7
"Explorations District","Female",20,"*","*","*","*"
"Explorations District","Male",9,"*","*","*","*"
"Fairfield School District","Female",385,"*","*",11,2.9
"Fairfield School District","Male",307,"*","*",10,3.3
"Farmington School District","Female",153,"*","*","*","*"
"Farmington School District","Male",152,"*","*","*","*"
"Glastonbury School District","Female",247,"*","*","*","*"
"Glastonbury School District","Male",266,"*","*","*","*"
"Granby School District","Female",97,"*","*","*","*"
"Granby School District","Male",91,"*","*","*","*"
"Greenwich School District","Female",314,"*","*",8,2.5
"Greenwich School District","Male",328,"*","*",17,5.2
"Griswold School District","Female",86,"*","*",8,9.3
"Griswold School District","Male",100,"*","*",13,13.0
"Groton School District","Female",170,"*","*",32,18.8
"Groton School District","Male",177,"*","*",22,12.4
"Guilford School District","Female",149,"*","*","*","*"
"Guilford School District","Male",137,"*","*","*","*"
"Hamden School District","Female",257,"*","*",22,8.6
"Hamden School District","Male",259,"*","*",25,9.7
"Hartford School District","Female",692,11,1.6,152,22.0
"Hartford School District","Male",703,11,1.6,188,26.7
"Killingly School District","Female",90,"*","*",11,12.2
"Killingly School District","Male",95,"*","*",17,17.9
