"Five-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,"Non-Graduates",,,
"District","English Learner Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","ELL","*","*","*","*","*"
"Amistad Academy District","Non-ELL","*","*","*","*","*"
"Ansonia School District","ELL",13,"*","*","*","*"
"Ansonia School District","Non-ELL",197,"*","*","*","*"
"Avon School District","ELL","*","*","*","*","*"
"Avon School District","Non-ELL","*","*","*","*","*"
"Berlin School District","ELL","*","*","*","*","*"
"Berlin School District","Non-ELL","*","*","*","*","*"
"Bethel School District","ELL","*","*","*","*","*"
"Bethel School District","Non-ELL","*","*","*","*","*"
"Bloomfield School District","ELL","*","*","*","*","*"
"Bloomfield School District","Non-ELL","*","*","*","*","*"
"Bolton School District","Non-ELL",82,"*","*","*","*"
"Branford School District","ELL","*","*","*","*","*"
"Branford School District","Non-ELL","*","*","*","*","*"
"Bridgeport School District","ELL",173,"*","*",59,34.1
"Bridgeport School District","Non-ELL",1045,"*","*",248,23.7
"Bristol School District","ELL",24,"*","*","*","*"
"Bristol School District","Non-ELL",605,"*","*","*","*"
"Brookfield School District","ELL","*","*","*","*","*"
"Brookfield School District","Non-ELL","*","*","*","*","*"
"Canton School District","Non-ELL",124,"*","*","*","*"
"Capitol Region Education Council","ELL",9,"*","*","*","*"
"Capitol Region Education Council","Non-ELL",244,"*","*","*","*"
"Cheshire School District","ELL","*","*","*","*","*"
"Cheshire School District","Non-ELL","*","*","*","*","*"
"Clinton School District","ELL","*","*","*","*","*"
"Clinton School District","Non-ELL","*","*","*","*","*"
"Colchester School District","ELL","*","*","*","*","*"
"Colchester School District","Non-ELL","*","*","*","*","*"
"Common Ground High School District","ELL","*","*","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","ELL",96,"*","*",10,10.4
"Connecticut Technical High School System","Non-ELL",2377,"*","*",63,2.7
"Coventry School District","ELL","*","*","*","*","*"
"Coventry School District","Non-ELL","*","*","*","*","*"
"Cromwell School District","ELL","*","*","*","*","*"
"Cromwell School District","Non-ELL","*","*","*","*","*"
"Danbury School District","ELL",133,7,5.3,36,27.1
"Danbury School District","Non-ELL",642,18,2.8,69,10.7
"Darien School District","Non-ELL",316,"*","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*","*","*"
"Derby School District","ELL","*","*","*","*","*"
"Derby School District","Non-ELL","*","*","*","*","*"
"East Granby School District","Non-ELL",71,"*","*","*","*"
"East Haddam School District","Non-ELL",99,"*","*","*","*"
"East Hampton School District","ELL","*","*","*","*","*"
"East Hampton School District","Non-ELL","*","*","*","*","*"
"East Hartford School District","ELL",33,"*","*","*","*"
"East Hartford School District","Non-ELL",513,"*","*","*","*"
"East Haven School District","ELL","*","*","*","*","*"
"East Haven School District","Non-ELL","*","*","*","*","*"
"East Lyme School District","ELL","*","*","*","*","*"
"East Lyme School District","Non-ELL","*","*","*","*","*"
"East Windsor School District","ELL","*","*","*","*","*"
"East Windsor School District","Non-ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*","*","*"
"Ellington School District","ELL","*","*","*","*","*"
"Ellington School District","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Non-ELL",13,"*","*","*","*"
"Enfield School District","ELL","*","*","*","*","*"
"Enfield School District","Non-ELL","*","*","*","*","*"
"Explorations District","ELL","*","*","*","*","*"
"Explorations District","Non-ELL","*","*","*","*","*"
"Fairfield School District","ELL",14,"*","*","*","*"
"Fairfield School District","Non-ELL",691,"*","*","*","*"
"Farmington School District","ELL","*","*","*","*","*"
"Farmington School District","Non-ELL","*","*","*","*","*"
"Glastonbury School District","ELL","*","*","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*","*","*"
"Granby School District","Non-ELL",198,"*","*","*","*"
"Greenwich School District","ELL",24,"*","*","*","*"
"Greenwich School District","Non-ELL",667,"*","*","*","*"
"Griswold School District","Non-ELL",168,"*","*","*","*"
"Groton School District","ELL",9,"*","*","*","*"
"Groton School District","Non-ELL",318,"*","*","*","*"
"Guilford School District","ELL","*","*","*","*","*"
"Guilford School District","Non-ELL","*","*","*","*","*"
"Hamden School District","ELL",10,"*","*","*","*"
"Hamden School District","Non-ELL",440,"*","*","*","*"
"Hartford School District","ELL",225,6,2.7,72,32.0
"Hartford School District","Non-ELL",1217,30,2.5,235,19.3
"Killingly School District","ELL","*","*","*","*","*"
"Killingly School District","Non-ELL","*","*","*","*","*"
"Learn","ELL","*","*","*","*","*"
"Learn","Non-ELL","*","*","*","*","*"
"Lebanon School District","ELL","*","*","*","*","*"
"Lebanon School District","Non-ELL","*","*","*","*","*"
"Ledyard School District","Non-ELL",231,9,3.9,13,5.6
"Lisbon School District","Non-ELL",6,"*","*","*","*"
"Litchfield School District","ELL","*","*","*","*","*"
"Litchfield School District","Non-ELL","*","*","*","*","*"
"Madison School District","Non-ELL",316,"*","*","*","*"
"Manchester School District","ELL",28,"*","*","*","*"
"Manchester School District","Non-ELL",445,"*","*","*","*"
"Meriden School District","ELL",62,"*","*",23,37.1
"Meriden School District","Non-ELL",564,"*","*",114,20.2
"Middletown School District","ELL",12,"*","*","*","*"
"Middletown School District","Non-ELL",364,"*","*","*","*"
"Milford School District","ELL","*","*","*","*","*"
"Milford School District","Non-ELL","*","*","*","*","*"
"Monroe School District","Non-ELL",309,"*","*","*","*"
"Montville School District","ELL",8,"*","*","*","*"
"Montville School District","Non-ELL",180,"*","*","*","*"
"Naugatuck School District","ELL",14,"*","*","*","*"
"Naugatuck School District","Non-ELL",319,"*","*","*","*"
"New Britain School District","ELL",118,6,5.1,42,35.6
"New Britain School District","Non-ELL",533,26,4.9,144,27.0
"New Canaan School District","ELL","*","*","*","*","*"
"New Canaan School District","Non-ELL","*","*","*","*","*"
"New Fairfield School District","ELL","*","*","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*","*","*"
"New Haven School District","ELL",135,"*","*",47,34.8
"New Haven School District","Non-ELL",1174,"*","*",234,19.9
"New London School District","ELL",59,"*","*",16,27.1
"New London School District","Non-ELL",199,"*","*",56,28.1
"New Milford School District","ELL",6,"*","*","*","*"
"New Milford School District","Non-ELL",383,"*","*","*","*"
"Newington School District","ELL",15,"*","*","*","*"
"Newington School District","Non-ELL",360,"*","*","*","*"
"Newtown School District","Non-ELL",471,"*","*","*","*"
"North Branford School District","ELL","*","*","*","*","*"
"North Branford School District","Non-ELL","*","*","*","*","*"
"North Haven School District","ELL","*","*","*","*","*"
"North Haven School District","Non-ELL","*","*","*","*","*"
"North Stonington School District","Non-ELL",48,"*","*","*","*"
"Norwalk School District","ELL",80,"*","*",23,28.8
"Norwalk School District","Non-ELL",701,"*","*",72,10.3
"Norwich Free Academy District","ELL",34,"*","*","*","*"
"Norwich Free Academy District","Non-ELL",560,"*","*","*","*"
"Old Saybrook School District","ELL","*","*","*","*","*"
"Old Saybrook School District","Non-ELL","*","*","*","*","*"
"Oxford School District","ELL","*","*","*","*","*"
"Oxford School District","Non-ELL","*","*","*","*","*"
"Plainfield School District","ELL","*","*","*","*","*"
"Plainfield School District","Non-ELL","*","*","*","*","*"
"Plainville School District","ELL","*","*","*","*","*"
"Plainville School District","Non-ELL","*","*","*","*","*"
"Plymouth School District","ELL","*","*","*","*","*"
"Plymouth School District","Non-ELL","*","*","*","*","*"
"Portland School District","ELL","*","*","*","*","*"
"Portland School District","Non-ELL","*","*","*","*","*"
"Putnam School District","Non-ELL",97,"*","*","*","*"
"Regional School District 01","ELL","*","*","*","*","*"
"Regional School District 01","Non-ELL","*","*","*","*","*"
"Regional School District 04","Non-ELL",162,"*","*","*","*"
"Regional School District 05","ELL","*","*","*","*","*"
"Regional School District 05","Non-ELL","*","*","*","*","*"
