"Five-Year Graduation Rates, 2013-14"
"All Districts, English Learner Status"

"",,,"Graduates",
"District","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-ELL",23,21,91.3
"Ansonia School District","Non-ELL","*","*","*"
"Ansonia School District","ELL","*","*","*"
"Avon School District","Non-ELL",272,267,98.2
"Berlin School District","Non-ELL","*","*","*"
"Berlin School District","ELL","*","*","*"
"Bethel School District","Non-ELL",238,"*","*"
"Bethel School District","ELL",6,"*","*"
"Bloomfield School District","Non-ELL","*","*","*"
"Bloomfield School District","ELL","*","*","*"
"Bolton School District","Non-ELL",101,99,98.0
"Branford School District","Non-ELL","*","*","*"
"Branford School District","ELL","*","*","*"
"Bridgeport School District","Non-ELL",1055,813,77.1
"Bridgeport School District","ELL",170,114,67.1
"Bristol School District","Non-ELL",676,587,86.8
"Bristol School District","ELL",21,15,71.4
"Brookfield School District","Non-ELL","*","*","*"
"Brookfield School District","ELL","*","*","*"
"Canton School District","Non-ELL",136,131,96.3
"Capitol Region Education Council","Non-ELL","*","*","*"
"Capitol Region Education Council","ELL","*","*","*"
"Cheshire School District","Non-ELL","*","*","*"
"Cheshire School District","ELL","*","*","*"
"Clinton School District","Non-ELL","*","*","*"
"Clinton School District","ELL","*","*","*"
"Colchester School District","Non-ELL","*","*","*"
"Colchester School District","ELL","*","*","*"
"Common Ground High School District","Non-ELL",29,26,89.7
"Connecticut Technical High School System","Non-ELL",2381,2298,96.5
"Connecticut Technical High School System","ELL",37,37,100.0
"Coventry School District","Non-ELL",132,129,97.7
"Cromwell School District","Non-ELL","*","*","*"
"Cromwell School District","ELL","*","*","*"
"Danbury School District","Non-ELL",664,580,87.3
"Danbury School District","ELL",84,49,58.3
"Darien School District","Non-ELL","*","*","*"
"Darien School District","ELL","*","*","*"
"Department of Mental Health and Addiction Services","Non-ELL","*","*","*"
"Derby School District","Non-ELL","*","*","*"
"Derby School District","ELL","*","*","*"
"East Granby School District","Non-ELL",65,61,93.8
"East Haddam School District","Non-ELL",105,99,94.3
"East Hampton School District","Non-ELL",121,118,97.5
"East Hartford School District","Non-ELL",467,398,85.2
"East Hartford School District","ELL",35,23,65.7
"East Haven School District","Non-ELL",249,"*","*"
"East Haven School District","ELL",8,"*","*"
"East Lyme School District","Non-ELL","*","*","*"
"East Lyme School District","ELL","*","*","*"
"East Windsor School District","Non-ELL","*","*","*"
"East Windsor School District","ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"Ellington School District","Non-ELL","*","*","*"
"Ellington School District","ELL","*","*","*"
"Elm City College Preparatory School District","Non-ELL","*","*","*"
"Elm City College Preparatory School District","ELL","*","*","*"
"Enfield School District","Non-ELL","*","*","*"
"Enfield School District","ELL","*","*","*"
"Explorations District","Non-ELL",26,21,80.8
"Fairfield School District","Non-ELL",716,684,95.5
"Fairfield School District","ELL",11,10,90.9
"Farmington School District","Non-ELL","*","*","*"
"Farmington School District","ELL","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*"
"Glastonbury School District","ELL","*","*","*"
"Granby School District","Non-ELL","*","*","*"
"Granby School District","ELL","*","*","*"
"Greenwich School District","Non-ELL",641,628,98.0
"Greenwich School District","ELL",26,23,88.5
"Griswold School District","Non-ELL",170,149,87.6
"Groton School District","Non-ELL",306,264,86.3
"Groton School District","ELL",11,7,63.6
"Guilford School District","Non-ELL","*","*","*"
"Guilford School District","ELL","*","*","*"
"Hamden School District","Non-ELL",446,408,91.5
"Hamden School District","ELL",11,10,90.9
"Hartford School District","Non-ELL",1169,930,79.6
"Hartford School District","ELL",181,118,65.2
"Killingly School District","Non-ELL","*","*","*"
"Killingly School District","ELL","*","*","*"
"Learn","Non-ELL","*","*","*"
"Learn","ELL","*","*","*"
"Lebanon School District","Non-ELL",105,99,94.3
"Ledyard School District","Non-ELL","*","*","*"
"Ledyard School District","ELL","*","*","*"
"Lisbon School District","Non-ELL","*","*","*"
"Litchfield School District","Non-ELL",68,64,94.1
"Madison School District","Non-ELL","*","*","*"
"Madison School District","ELL","*","*","*"
"Manchester School District","Non-ELL",441,378,85.7
"Manchester School District","ELL",13,10,76.9
"Meriden School District","Non-ELL",546,451,82.6
"Meriden School District","ELL",60,37,61.7
"Middletown School District","Non-ELL","*","*","*"
"Middletown School District","ELL","*","*","*"
"Milford School District","Non-ELL","*","*","*"
"Milford School District","ELL","*","*","*"
"Monroe School District","Non-ELL",299,293,98.0
"Montville School District","Non-ELL",185,"*","*"
"Montville School District","ELL",7,"*","*"
"Naugatuck School District","Non-ELL",323,274,84.8
"Naugatuck School District","ELL",9,6,66.7
"New Britain School District","Non-ELL",552,411,74.5
"New Britain School District","ELL",92,59,64.1
"New Canaan School District","Non-ELL",312,309,99.0
"New Fairfield School District","Non-ELL","*","*","*"
"New Fairfield School District","ELL","*","*","*"
"New Haven School District","Non-ELL",1192,968,81.2
"New Haven School District","ELL",103,61,59.2
"New London School District","Non-ELL",186,148,79.6
"New London School District","ELL",38,26,68.4
"New Milford School District","Non-ELL","*","*","*"
"New Milford School District","ELL","*","*","*"
"Newington School District","Non-ELL",355,336,94.6
"Newington School District","ELL",11,10,90.9
"Newtown School District","Non-ELL","*","*","*"
"Newtown School District","ELL","*","*","*"
"North Branford School District","Non-ELL","*","*","*"
"North Branford School District","ELL","*","*","*"
"North Haven School District","Non-ELL","*","*","*"
"North Haven School District","ELL","*","*","*"
"North Stonington School District","Non-ELL",56,54,96.4
"Norwalk School District","Non-ELL",752,659,87.6
"Norwalk School District","ELL",66,46,69.7
"Norwich Free Academy District","Non-ELL",574,509,88.7
"Norwich Free Academy District","ELL",31,28,90.3
"Old Saybrook School District","Non-ELL","*","*","*"
"Old Saybrook School District","ELL","*","*","*"
"Oxford School District","Non-ELL","*","*","*"
"Oxford School District","ELL","*","*","*"
"Plainfield School District","Non-ELL","*","*","*"
"Plainfield School District","ELL","*","*","*"
"Plainville School District","Non-ELL","*","*","*"
"Plainville School District","ELL","*","*","*"
"Plymouth School District","Non-ELL","*","*","*"
"Plymouth School District","ELL","*","*","*"
"Portland School District","Non-ELL","*","*","*"
"Portland School District","ELL","*","*","*"
"Putnam School District","Non-ELL","*","*","*"
"Putnam School District","ELL","*","*","*"
"Regional School District 01","Non-ELL",121,113,93.4
"Regional School District 04","Non-ELL","*","*","*"
"Regional School District 04","ELL","*","*","*"
"Regional School District 05","Non-ELL","*","*","*"
"Regional School District 05","ELL","*","*","*"
"Regional School District 06","Non-ELL","*","*","*"
"Regional School District 06","ELL","*","*","*"
"Regional School District 07","Non-ELL",215,199,92.6
"Regional School District 08","Non-ELL","*","*","*"
"Regional School District 08","ELL","*","*","*"
"Regional School District 09","Non-ELL","*","*","*"
"Regional School District 09","ELL","*","*","*"
"Regional School District 10","Non-ELL",216,207,95.8
"Regional School District 11","Non-ELL",40,39,97.5
"Regional School District 12","Non-ELL",81,77,95.1
"Regional School District 13","Non-ELL",136,128,94.1
"Regional School District 14","Non-ELL","*","*","*"
"Regional School District 14","ELL","*","*","*"
"Regional School District 15","Non-ELL","*","*","*"
"Regional School District 15","ELL","*","*","*"
"Regional School District 16","Non-ELL",181,174,96.1
"Regional School District 17","Non-ELL","*","*","*"
"Regional School District 17","ELL","*","*","*"
"Regional School District 18","Non-ELL",107,105,98.1
"Regional School District 19","Non-ELL","*","*","*"
"Regional School District 19","ELL","*","*","*"
"Ridgefield School District","Non-ELL","*","*","*"
"Ridgefield School District","ELL","*","*","*"
"Rocky Hill School District","Non-ELL",175,164,93.7
"Rocky Hill School District","ELL",6,6,100.0
"Seymour School District","Non-ELL","*","*","*"
"Seymour School District","ELL","*","*","*"
"Shelton School District","Non-ELL","*","*","*"
"Shelton School District","ELL","*","*","*"
"Simsbury School District","Non-ELL","*","*","*"
"Simsbury School District","ELL","*","*","*"
"Somers School District","Non-ELL",130,127,97.7
"South Windsor School District","Non-ELL","*","*","*"
"South Windsor School District","ELL","*","*","*"
"Southington School District","Non-ELL","*","*","*"
"Southington School District","ELL","*","*","*"
"Stafford School District","Non-ELL","*","*","*"
"Stafford School District","ELL","*","*","*"
"Stamford Academy District","Non-ELL",55,22,40.0
"Stamford School District","Non-ELL",1093,1024,93.7
"Stamford School District","ELL",99,83,83.8
"Stonington School District","Non-ELL",177,167,94.4
"Stratford School District","Non-ELL",634,602,95.0
"Stratford School District","ELL",9,7,77.8
"Suffield School District","Non-ELL","*","*","*"
"Suffield School District","ELL","*","*","*"
"The Bridge Academy District","Non-ELL",34,32,94.1
"The Gilbert School District","Non-ELL","*","*","*"
"The Gilbert School District","ELL","*","*","*"
"Thomaston School District","Non-ELL",72,67,93.1
"Thompson School District","Non-ELL",85,78,91.8
"Tolland School District","Non-ELL",228,211,92.5
"Torrington School District","Non-ELL",259,230,88.8
"Torrington School District","ELL",6,6,100.0
"Trumbull School District","Non-ELL",547,"*","*"
"Trumbull School District","ELL",8,"*","*"
"Unified School District #1","Non-ELL",409,"*","*"
"Unified School District #1","ELL",14,"*","*"
"Unified School District #2","Non-ELL",44,"*","*"
"Vernon School District","Non-ELL",287,247,86.1
"Vernon School District","ELL",8,7,87.5
"Wallingford School District","Non-ELL",479,"*","*"
"Wallingford School District","ELL",6,"*","*"
"Waterbury School District","Non-ELL",1180,880,74.6
"Waterbury School District","ELL",163,77,47.2
"Waterford School District","Non-ELL","*","*","*"
"Waterford School District","ELL","*","*","*"
"Watertown School District","Non-ELL","*","*","*"
"Watertown School District","ELL","*","*","*"
"West Hartford School District","Non-ELL",722,692,95.8
"West Hartford School District","ELL",18,15,83.3
"West Haven School District","Non-ELL",407,317,77.9
"West Haven School District","ELL",13,10,76.9
"Westbrook School District","Non-ELL",72,69,95.8
"Weston School District","Non-ELL","*","*","*"
"Weston School District","ELL","*","*","*"
"Westport School District","Non-ELL","*","*","*"
"Westport School District","ELL","*","*","*"
"Wethersfield School District","Non-ELL",297,282,94.9
"Wethersfield School District","ELL",7,6,85.7
"Wilton School District","Non-ELL","*","*","*"
"Wilton School District","ELL","*","*","*"
"Windham School District","Non-ELL",131,109,83.2
"Windham School District","ELL",37,28,75.7
"Windsor Locks School District","Non-ELL","*","*","*"
"Windsor Locks School District","ELL","*","*","*"
"Windsor School District","Non-ELL",290,270,93.1
"Windsor School District","ELL",6,6,100.0
"Wolcott School District","Non-ELL","*","*","*"
"Wolcott School District","ELL","*","*","*"
"Woodstock Academy District","Non-ELL",275,269,97.8

