"Five-Year Graduation Rates, 2013-14"
"All Districts, Gender"

"",,,,"Non-Graduates",,,
"District","District Code","Gender","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Female",15,0,"*","*","*"
"Amistad Academy District","=""2790013""","Male",8,0,"*","*","*"
"Ansonia School District","=""0020011""","Female",76,"*","*","*","*"
"Ansonia School District","=""0020011""","Male",80,"*","*","*","*"
"Avon School District","=""0040011""","Female",149,"*","*",0,0.0
"Avon School District","=""0040011""","Male",123,"*","*","*","*"
"Berlin School District","=""0070011""","Female",115,"*","*","*","*"
"Berlin School District","=""0070011""","Male",120,"*","*","*","*"
"Bethel School District","=""0090011""","Female",116,"*","*",0,0.0
"Bethel School District","=""0090011""","Male",128,"*","*","*","*"
"Bloomfield School District","=""0110011""","Female",85,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Male",86,"*","*","*","*"
"Bolton School District","=""0120011""","Female",53,"*","*","*","*"
"Bolton School District","=""0120011""","Male",48,0,0.0,0,0.0
"Branford School District","=""0140011""","Female",151,"*","*","*","*"
"Branford School District","=""0140011""","Male",147,"*","*","*","*"
"Bridgeport School District","=""0150011""","Female",617,13,2.1,105,17.0
"Bridgeport School District","=""0150011""","Male",608,21,3.5,159,26.2
"Bristol School District","=""0170011""","Female",339,6,1.8,28,8.3
"Bristol School District","=""0170011""","Male",358,11,3.1,50,14.0
"Brookfield School District","=""0180011""","Female",116,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Male",116,0,0.0,0,0.0
"Canton School District","=""0230011""","Female",65,"*","*",0,0.0
"Canton School District","=""0230011""","Male",71,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Female",205,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Male",138,"*","*","*","*"
"Cheshire School District","=""0250011""","Female",193,"*","*","*","*"
"Cheshire School District","=""0250011""","Male",196,"*","*","*","*"
"Clinton School District","=""0270011""","Female",58,0,0.0,"*","*"
"Clinton School District","=""0270011""","Male",72,"*","*","*","*"
"Colchester School District","=""0280011""","Female",140,0,0.0,"*","*"
"Colchester School District","=""0280011""","Male",108,"*","*","*","*"
"Common Ground High School District","=""2680013""","Female",15,0,"*","*","*"
"Common Ground High School District","=""2680013""","Male",14,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Female",903,8,0.9,27,3.0
"Connecticut Technical High School System","=""9000016""","Male",1515,9,0.6,39,2.6
"Coventry School District","=""0320011""","Female",69,0,0.0,0,0.0
"Coventry School District","=""0320011""","Male",63,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Female",73,"*","*","*","*"
"Cromwell School District","=""0330011""","Male",62,"*","*","*","*"
"Danbury School District","=""0340011""","Female",367,8,2.2,45,12.3
"Danbury School District","=""0340011""","Male",381,20,5.2,46,12.1
"Darien School District","=""0350011""","Female",167,"*","*","*","*"
"Darien School District","=""0350011""","Male",169,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Female","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*","*","*"
"Derby School District","=""0370011""","Female",53,0,0.0,"*","*"
"Derby School District","=""0370011""","Male",49,"*","*","*","*"
"East Granby School District","=""0400011""","Female",25,0,0.0,0,0.0
"East Granby School District","=""0400011""","Male",40,"*","*","*","*"
"East Haddam School District","=""0410011""","Female",52,0,0.0,"*","*"
"East Haddam School District","=""0410011""","Male",53,"*","*","*","*"
"East Hampton School District","=""0420011""","Female",65,"*","*","*","*"
"East Hampton School District","=""0420011""","Male",56,0,0.0,"*","*"
"East Hartford School District","=""0430011""","Female",251,9,3.6,28,11.2
"East Hartford School District","=""0430011""","Male",251,15,6.0,29,11.6
"East Haven School District","=""0440011""","Female",115,"*","*","*","*"
"East Haven School District","=""0440011""","Male",142,"*","*","*","*"
"East Lyme School District","=""0450011""","Female",135,"*","*","*","*"
"East Lyme School District","=""0450011""","Male",140,"*","*","*","*"
"East Windsor School District","=""0470011""","Female",55,0,0.0,"*","*"
"East Windsor School District","=""0470011""","Male",54,"*","*","*","*"
