"Five-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,"Graduates",
"District","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-Special Education","*","*","*"
"Amistad Academy District","Special Education","*","*","*"
"Ansonia School District","Non-Special Education",140,116,82.9
"Ansonia School District","Special Education",16,9,56.3
"Avon School District","Non-Special Education",244,243,99.6
"Avon School District","Special Education",28,24,85.7
"Berlin School District","Non-Special Education",202,199,98.5
"Berlin School District","Special Education",33,28,84.8
"Bethel School District","Non-Special Education",212,204,96.2
"Bethel School District","Special Education",32,27,84.4
"Bloomfield School District","Non-Special Education",148,143,96.6
"Bloomfield School District","Special Education",23,15,65.2
"Bolton School District","Non-Special Education",93,92,98.9
"Bolton School District","Special Education",8,7,87.5
"Branford School District","Non-Special Education",255,237,92.9
"Branford School District","Special Education",43,38,88.4
"Bridgeport School District","Non-Special Education",1069,830,77.6
"Bridgeport School District","Special Education",156,97,62.2
"Bristol School District","Non-Special Education",575,509,88.5
"Bristol School District","Special Education",122,93,76.2
"Brookfield School District","Non-Special Education",210,209,99.5
"Brookfield School District","Special Education",22,22,100.0
"Canton School District","Non-Special Education",118,117,99.2
"Canton School District","Special Education",18,14,77.8
"Capitol Region Education Council","Non-Special Education",293,268,91.5
"Capitol Region Education Council","Special Education",50,25,50.0
"Cheshire School District","Non-Special Education",334,334,100.0
"Cheshire School District","Special Education",55,44,80.0
"Clinton School District","Non-Special Education",120,116,96.7
"Clinton School District","Special Education",10,8,80.0
"Colchester School District","Non-Special Education",220,217,98.6
"Colchester School District","Special Education",28,24,85.7
"Common Ground High School District","Non-Special Education","*","*","*"
"Common Ground High School District","Special Education","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2237,2161,96.6
"Connecticut Technical High School System","Special Education",181,174,96.1
"Coventry School District","Non-Special Education",110,109,99.1
"Coventry School District","Special Education",22,20,90.9
"Cromwell School District","Non-Special Education",124,"*","*"
"Cromwell School District","Special Education",11,"*","*"
"Danbury School District","Non-Special Education",669,576,86.1
"Danbury School District","Special Education",79,53,67.1
"Darien School District","Non-Special Education",278,276,99.3
"Darien School District","Special Education",58,51,87.9
"Department of Mental Health and Addiction Services","Special Education","*","*","*"
"Derby School District","Non-Special Education",87,77,88.5
"Derby School District","Special Education",15,11,73.3
"East Granby School District","Non-Special Education","*","*","*"
"East Granby School District","Special Education","*","*","*"
"East Haddam School District","Non-Special Education",87,85,97.7
"East Haddam School District","Special Education",18,14,77.8
"East Hampton School District","Non-Special Education",114,112,98.2
"East Hampton School District","Special Education",7,6,85.7
"East Hartford School District","Non-Special Education",418,359,85.9
"East Hartford School District","Special Education",84,62,73.8
"East Haven School District","Non-Special Education",223,191,85.7
"East Haven School District","Special Education",34,23,67.6
"East Lyme School District","Non-Special Education",238,233,97.9
"East Lyme School District","Special Education",37,27,73.0
"East Windsor School District","Non-Special Education",92,86,93.5
"East Windsor School District","Special Education",17,16,94.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",56,44,78.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",13,10,76.9
"Ellington School District","Non-Special Education",172,167,97.1
"Ellington School District","Special Education",22,19,86.4
"Elm City College Preparatory School District","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","Special Education","*","*","*"
"Enfield School District","Non-Special Education",364,332,91.2
"Enfield School District","Special Education",62,44,71.0
"Explorations District","Non-Special Education",17,13,76.5
"Explorations District","Special Education",9,8,88.9
"Fairfield School District","Non-Special Education",647,632,97.7
"Fairfield School District","Special Education",80,62,77.5
"Farmington School District","Non-Special Education",300,300,100.0
"Farmington School District","Special Education",40,33,82.5
"Glastonbury School District","Non-Special Education",516,514,99.6
"Glastonbury School District","Special Education",68,52,76.5
"Granby School District","Non-Special Education",180,176,97.8
"Granby School District","Special Education",21,18,85.7
"Greenwich School District","Non-Special Education",583,573,98.3
"Greenwich School District","Special Education",84,78,92.9
"Griswold School District","Non-Special Education",141,129,91.5
"Griswold School District","Special Education",29,20,69.0
"Groton School District","Non-Special Education",275,241,87.6
"Groton School District","Special Education",42,30,71.4
"Guilford School District","Non-Special Education",253,247,97.6
"Guilford School District","Special Education",31,23,74.2
"Hamden School District","Non-Special Education",393,377,95.9
"Hamden School District","Special Education",64,41,64.1
"Hartford School District","Non-Special Education",1119,908,81.1
"Hartford School District","Special Education",231,140,60.6
"Killingly School District","Non-Special Education",184,159,86.4
"Killingly School District","Special Education",33,24,72.7
"Learn","Non-Special Education",138,132,95.7
"Learn","Special Education",15,12,80.0
"Lebanon School District","Non-Special Education",95,92,96.8
"Lebanon School District","Special Education",10,7,70.0
"Ledyard School District","Non-Special Education",201,197,98.0
"Ledyard School District","Special Education",43,36,83.7
"Lisbon School District","Non-Special Education","*","*","*"
"Lisbon School District","Special Education","*","*","*"
"Litchfield School District","Non-Special Education","*","*","*"
"Litchfield School District","Special Education","*","*","*"
"Madison School District","Non-Special Education",283,281,99.3
"Madison School District","Special Education",37,33,89.2
"Manchester School District","Non-Special Education",378,339,89.7
"Manchester School District","Special Education",76,49,64.5
"Meriden School District","Non-Special Education",507,439,86.6
"Meriden School District","Special Education",99,49,49.5
"Middletown School District","Non-Special Education",279,255,91.4
"Middletown School District","Special Education",50,30,60.0
"Milford School District","Non-Special Education",433,416,96.1
"Milford School District","Special Education",71,62,87.3
"Monroe School District","Non-Special Education",265,262,98.9
"Monroe School District","Special Education",34,31,91.2
"Montville School District","Non-Special Education",172,158,91.9
"Montville School District","Special Education",20,17,85.0
"Naugatuck School District","Non-Special Education",284,240,84.5
"Naugatuck School District","Special Education",48,40,83.3
"New Britain School District","Non-Special Education",563,425,75.5
"New Britain School District","Special Education",81,45,55.6
"New Canaan School District","Non-Special Education",277,277,100.0
"New Canaan School District","Special Education",35,32,91.4
"New Fairfield School District","Non-Special Education",213,209,98.1
"New Fairfield School District","Special Education",27,24,88.9
"New Haven School District","Non-Special Education",1135,932,82.1
"New Haven School District","Special Education",160,97,60.6
"New London School District","Non-Special Education",189,152,80.4
"New London School District","Special Education",35,22,62.9
"New Milford School District","Non-Special Education",345,328,95.1
"New Milford School District","Special Education",36,23,63.9
"Newington School District","Non-Special Education",331,320,96.7
"Newington School District","Special Education",35,26,74.3
"Newtown School District","Non-Special Education",379,379,100.0
"Newtown School District","Special Education",44,35,79.5
"North Branford School District","Non-Special Education",120,110,91.7
"North Branford School District","Special Education",29,27,93.1
"North Haven School District","Non-Special Education",286,268,93.7
"North Haven School District","Special Education",31,19,61.3
"North Stonington School District","Non-Special Education",49,47,95.9
"North Stonington School District","Special Education",7,7,100.0
"Norwalk School District","Non-Special Education",719,627,87.2
"Norwalk School District","Special Education",99,78,78.8
"Norwich Free Academy District","Non-Special Education",540,489,90.6
"Norwich Free Academy District","Special Education",65,48,73.8
"Old Saybrook School District","Non-Special Education",123,118,95.9
"Old Saybrook School District","Special Education",14,9,64.3
"Oxford School District","Non-Special Education",165,162,98.2
"Oxford School District","Special Education",9,6,66.7
"Plainfield School District","Non-Special Education",149,138,92.6
"Plainfield School District","Special Education",22,12,54.5
