"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,"Non-Graduates",,,
"District","School","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",27,"*","*","*","*"
"Ansonia School District","Ansonia High School",183,"*","*","*","*"
"Avon School District","Avon High School",254,"*","*","*","*"
"Berlin School District","Berlin High School",260,"*","*","*","*"
"Bethel School District","Bethel High School",246,7,2.8,6,2.4
"Bloomfield School District","Bloomfield High School",167,"*","*","*","*"
"Bloomfield School District","The Big Picture High School",14,"*","*","*","*"
"Bolton School District","Bolton High School",72,"*","*","*","*"
"Branford School District","Branford High School",274,"*","*","*","*"
"Bridgeport School District","Bassick High School",335,"*","*",108,32.2
"Bridgeport School District","Central High School",596,15,2.5,115,19.3
"Bridgeport School District","Harding High School",433,"*","*",212,49.0
"Bristol School District","Bristol Central High School",331,"*","*",63,19.0
"Bristol School District","Bristol Eastern High School",364,"*","*",41,11.3
"Brookfield School District","Brookfield High School",263,"*","*","*","*"
"Canton School District","Canton High School",118,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC",117,"*","*",12,10.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",61,"*","*",10,16.4
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",102,"*","*",8,7.8
"Cheshire School District","Cheshire High School",364,"*","*","*","*"
"Clinton School District","The Morgan School",144,"*","*","*","*"
"Colchester School District","Bacon Academy",250,"*","*","*","*"
"Common Ground High School District","Common Ground High School",38,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",151,"*","*",11,7.3
"Connecticut Technical High School System","Bullard-Havens Technical High School",191,"*","*",9,4.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School",101,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",123,"*","*",23,18.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",125,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School",119,"*","*",6,5.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School",182,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",129,"*","*",14,10.9
"Connecticut Technical High School System","Henry Abbott Technical High School",157,"*","*",10,6.4
"Connecticut Technical High School System","Howell Cheney Technical High School",135,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",111,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",192,"*","*",13,6.8
"Connecticut Technical High School System","Platt Technical High School",199,"*","*",6,3.0
"Connecticut Technical High School System","Vinal Technical High School",134,"*","*",9,6.7
"Connecticut Technical High School System","W. F. Kaynor Technical High School",152,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School",126,"*","*","*","*"
"Coventry School District","Coventry High School",152,"*","*","*","*"
"Cromwell School District","Cromwell High School",166,"*","*","*","*"
"Danbury School District","Danbury High School",716,15,2.1,105,14.7
"Darien School District","Darien High School",326,"*","*","*","*"
"Derby School District","Derby High School",121,"*","*","*","*"
"East Granby School District","East Granby High School",76,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School",93,"*","*","*","*"
"East Hampton School District","East Hampton High School",136,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy",33,"*","*","*","*"
"East Hartford School District","East Hartford High School",504,"*","*","*","*"
"East Haven School District","East Haven High School",292,"*","*","*","*"
"East Lyme School District","East Lyme High School",324,"*","*","*","*"
"East Windsor School District","East Windsor High School",90,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",17,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",43,"*","*","*","*"
"Ellington School District","Ellington High School",182,"*","*","*","*"
"Enfield School District","Enfield High School",237,"*","*",33,13.9
"Enfield School District","Enrico Fermi High School",275,"*","*",29,10.5
"Explorations District","Explorations",30,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School",350,"*","*",8,2.3
"Fairfield School District","Fairfield Warde High School",301,"*","*",9,3.0
"Farmington School District","Farmington High School",333,"*","*","*","*"
"Glastonbury School District","Glastonbury High School",542,"*","*","*","*"
"Granby School District","Granby Memorial High School",193,"*","*","*","*"
"Greenwich School District","Greenwich High School",632,8,1.3,9,1.4
"Griswold School District","Griswold High School",198,"*","*","*","*"
"Groton School District","Robert E. Fitch High School",327,"*","*","*","*"
"Guilford School District","Guilford High School",266,"*","*","*","*"
"Hamden School District","Hamden High School",570,"*","*","*","*"
"Hartford School District","Bulkeley High School Upper School",278,"*","*",51,18.3
"Hartford School District","Capital Preparatory Magnet School",31,"*","*","*","*"
"Hartford School District","Classical Magnet School",88,"*","*","*","*"
"Hartford School District","Culinary Arts Academy",95,"*","*",24,25.3
"Hartford School District","HPHS Academy of Engineering and Green Technology",131,"*","*",25,19.1
"Hartford School District","HPHS Academy of Nursing and Health Science",134,"*","*",29,21.6
"Hartford School District","HPHS Law and Government Academy",102,"*","*",28,27.5
"Hartford School District","OPPortunity High School",54,"*","*",28,51.9
"Hartford School District","Pathways Academy of Technology and Design",98,"*","*",15,15.3
"Hartford School District","Sports and Medical Sciences Academy",106,"*","*",7,6.6
"Hartford School District","University High of Science and Engineering",72,"*","*","*","*"
"Killingly School District","Killingly High School",193,"*","*","*","*"
"Lebanon School District","Lyman Memorial High School",158,"*","*","*","*"
"Ledyard School District","Ledyard High School",227,"*","*","*","*"
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*","*","*"
"Litchfield School District","Litchfield High School",92,"*","*","*","*"
"Madison School District","Daniel Hand High School",315,"*","*","*","*"
"Manchester School District","Manchester High School",493,11,2.2,100,20.3
"Meriden School District","Francis T. Maloney High School",313,"*","*",60,19.2
"Meriden School District","Orville H. Platt High School",298,"*","*",80,26.8
"Middletown School District","Middletown High School",341,17,5.0,50,14.7
"Milford School District","Jonathan Law High School",224,"*","*",17,7.6
"Milford School District","Joseph A. Foran High School",265,"*","*",9,3.4
"Monroe School District","Masuk High School",365,"*","*","*","*"
"Montville School District","Montville High School",194,"*","*","*","*"
"Naugatuck School District","Naugatuck High School",369,6,1.6,50,13.6
"New Britain School District","New Britain High School",723,18,2.5,273,37.8
"New Canaan School District","New Canaan High School",310,"*","*","*","*"
"New Fairfield School District","New Fairfield High School",239,"*","*","*","*"
"New Haven School District","Cooperative High School",109,"*","*",17,15.6
"New Haven School District","High School In The Community",77,"*","*",25,32.5
"New Haven School District","Hill Regional Career High School",170,"*","*",19,11.2
"New Haven School District","Hyde School of Health, Science and Sports Medicine",40,"*","*","*","*"
"New Haven School District","James Hillhouse High School",309,"*","*",124,40.1
"New Haven School District","Metropolitan Business Academy",33,"*","*","*","*"
"New Haven School District","New Haven Academy",62,"*","*",13,21.0
"New Haven School District","Sound School",61,"*","*","*","*"
"New Haven School District","Wilbur Cross High School",475,16,3.4,167,35.2
"New London School District","New London High School",260,12,4.6,68,26.2
"New Milford School District","New Milford High School",393,"*","*","*","*"
"Newington School District","Newington High School",409,11,2.7,31,7.6
"Newtown School District","Newtown High School",442,"*","*","*","*"
"North Branford School District","North Branford High School",196,"*","*","*","*"
"North Haven School District","North Haven High School",304,"*","*","*","*"
"North Stonington School District","Wheeler High School",67,"*","*","*","*"
"Norwalk School District","Brien McMahon High School",445,"*","*",34,7.6
"Norwalk School District","Norwalk High School",380,"*","*",39,10.3
"Norwalk School District","Norwalk Pathways Academy at Briggs",62,"*","*",30,48.4
"Norwich Free Academy District","Norwich Free Academy",612,"*","*","*","*"
"Norwich School District","Thames River Academy",26,"*","*",20,76.9
"Old Saybrook School District","Old Saybrook Senior High School",121,"*","*","*","*"
"Oxford School District","Oxford High School",154,"*","*","*","*"
"Plainfield School District","Plainfield High School",226,"*","*","*","*"
"Plainville School District","Plainville High School",230,"*","*","*","*"
"Plymouth School District","Terryville High School",136,"*","*","*","*"
"Portland School District","Portland High School",97,"*","*","*","*"
"Putnam School District","Putnam High School",72,"*","*","*","*"
"Regional School District 01","Housatonic Valley Regional High School",137,"*","*","*","*"
"Regional School District 04","Valley Regional High School",169,"*","*","*","*"
"Regional School District 05","Amity Regional High School",404,"*","*","*","*"
"Regional School District 06","Wamogo Regional High School",103,"*","*","*","*"
"Regional School District 07","Northwestern Regional High School",186,"*","*","*","*"
"Regional School District 08","RHAM High School",267,"*","*","*","*"
"Regional School District 09","Joel Barlow High School",219,"*","*","*","*"
"Regional School District 10","Lewis S. Mills High School",174,"*","*","*","*"
"Regional School District 11","Parish Hill High School",36,"*","*","*","*"
"Regional School District 12","Shepaug Valley High School",93,"*","*","*","*"
"Regional School District 13","Coginchaug Regional High School",139,"*","*","*","*"
"Regional School District 14","Nonnewaug High School",217,"*","*","*","*"
"Regional School District 15","Pomperaug Regional High School",387,"*","*","*","*"
"Regional School District 16","Woodland Regional High School",197,6,3.0,15,7.6
"Regional School District 17","Haddam-Killingworth High School",179,"*","*","*","*"
"Regional School District 18","Lyme-Old Lyme High School",133,"*","*","*","*"
"Regional School District 19","E. O. Smith High School",282,10,3.5,27,9.6
"Ridgefield School District","Ridgefield High School",429,"*","*","*","*"
"Rocky Hill School District","Rocky Hill High School",176,"*","*","*","*"
"Seymour School District","Seymour High School",187,"*","*","*","*"
"Shelton School District","Shelton High School",394,7,1.8,23,5.8
"Simsbury School District","Simsbury High School",356,"*","*","*","*"
"Somers School District","Somers High School",143,"*","*","*","*"
"South Windsor School District","South Windsor High School",415,"*","*","*","*"
"Southington School District","Southington High School",537,"*","*","*","*"
"Stafford School District","Stafford High School",135,"*","*","*","*"
"Stamford Academy District","Stamford Academy",52,8,15.4,14,26.9
"Stamford School District","Stamford High School",443,"*","*",47,10.6
"Stamford School District","The Academy of Information Technology",141,"*","*",7,5.0
"Stamford School District","Westhill High School",595,8,1.3,61,10.3
"Stonington School District","Stonington High School",208,"*","*","*","*"
"Stratford School District","Bunnell High School",326,"*","*",25,7.7
"Stratford School District","Stratford High School",242,"*","*",20,8.3
"Suffield School District","Suffield High School",214,"*","*","*","*"
"The Bridge Academy District","The Bridge Academy",28,"*","*","*","*"
"The Gilbert School District","The Gilbert School",70,"*","*","*","*"
"Thomaston School District","Thomaston High School",102,"*","*","*","*"
"Thompson School District","Tourtellotte Memorial High School",94,"*","*","*","*"
"Tolland School District","Tolland High School",221,"*","*","*","*"
"Torrington School District","Torrington High School",280,"*","*","*","*"
"Trumbull School District","Trumbull High School",501,"*","*","*","*"
"Vernon School District","Rockville High School",287,"*","*","*","*"
"Wallingford School District","Lyman Hall High School",298,"*","*",26,8.7
"Wallingford School District","Mark T. Sheehan High School",254,"*","*",21,8.3
"Waterbury School District","Crosby High School",415,"*","*",140,33.7
"Waterbury School District","John F. Kennedy High School",361,"*","*","*","*"
"Waterbury School District","Waterbury Arts Magnet School (High)",114,"*","*","*","*"
"Waterbury School District","Wilby High School",344,"*","*",116,33.7
"Waterford School District","Waterford High School",269,"*","*","*","*"
"Watertown School District","Watertown High School",245,"*","*","*","*"
"West Hartford School District","Conard High School",409,"*","*",32,7.8
"West Hartford School District","Hall High School",402,"*","*",8,2.0
"West Haven School District","West Haven High School",452,"*","*","*","*"
"Westbrook School District","Westbrook High School",75,"*","*","*","*"
"Weston School District","Weston High School",192,"*","*","*","*"
"Westport School District","Staples High School",463,"*","*","*","*"
"Wethersfield School District","Wethersfield High School",302,"*","*","*","*"
"Wilton School District","Wilton High School",303,"*","*","*","*"
"Windham School District","Windham High School",250,8,3.2,69,27.6
"Windsor Locks School District","Windsor Locks High School",131,6,4.6,8,6.1
"Windsor School District","Windsor High School",347,"*","*","*","*"
"Wolcott School District","Wolcott High School",225,"*","*","*","*"
"Woodstock Academy District","Woodstock Academy",299,"*","*","*","*"

