"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Gender"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",17,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",10,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",93,72,77.4
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",90,71,78.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",136,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",118,"*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",124,118,95.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",136,129,94.9
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",132,127,96.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",114,106,93.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",80,70,87.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",87,70,80.5
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",47,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",25,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",132,127,96.2
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",142,136,95.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",159,108,67.9
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",176,114,64.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",290,251,86.6
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",306,215,70.3
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",222,121,54.5
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",211,90,42.7
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",170,138,81.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",161,125,77.6
