"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",18,0,"*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",199,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",283,0,0.0,6,2.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",256,0,0.0,"*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",235,0,0.0,6,2.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",164,"*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",17,0,"*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",70,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",253,0,0.0,11,4.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",305,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",564,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",358,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",331,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",288,0,0.0,29,10.1
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",252,0,0.0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",117,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",75,0,0.0,11,14.7
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",97,0,0.0,10,10.3
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",78,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",395,0,0.0,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",120,0,0.0,7,5.8
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",240,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",30,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",170,0,0.0,10,5.9
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",203,0,0.0,10,4.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",129,0,0.0,7,5.4
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",125,0,0.0,10,8.0
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",154,0,0.0,6,3.9
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",134,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",205,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",131,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",161,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",143,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",152,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",163,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",218,0,0.0,6,2.8
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",129,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",174,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",138,0,0.0,"*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",148,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",145,"*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",704,9,1.3,83,11.8
"Darien School District","=""0350011""","Darien High School","=""0356111""",307,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",109,"*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",60,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",99,0,0.0,6,6.1
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",159,0,0.0,6,3.8
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",37,0,0.0,"*","*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",410,7,1.7,38,9.3
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",214,"*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",296,"*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",85,0,0.0,8,9.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",34,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",44,0,0.0,11,25.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",199,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",19,0,"*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",193,0,0.0,22,11.4
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",303,0,0.0,30,9.9
"Explorations District","=""2720013""","Explorations","=""2726113""",29,0,0.0,12,41.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",352,"*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",338,"*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",298,"*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",506,0,0.0,9,1.8
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",187,0,0.0,"*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",640,"*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",183,0,0.0,21,11.5
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",339,"*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",284,0,0.0,"*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",496,"*","*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""",247,"*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",33,0,0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",80,0,0.0,"*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",54,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",129,"*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",125,0,0.0,31,24.8
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",134,6,4.5,43,32.1
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",72,0,0.0,32,44.4
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",84,0,0.0,"*","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",106,0,0.0,"*","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",85,0,0.0,7,8.2
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",183,"*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",124,0,0.0,8,6.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",205,0,0.0,12,5.9
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",102,0,0.0,"*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",330,0,0.0,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",472,0,0.0,85,18.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",320,7,2.2,76,23.8
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",299,"*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",322,"*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",265,"*","*","*","*"
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",243,6,2.5,7,2.9
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",337,0,0.0,"*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""",210,0,0.0,23,11.0
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",367,"*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",635,0,0.0,189,29.8
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",327,"*","*",0,0.0
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",231,0,0.0,"*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",135,0,0.0,9,6.7
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",73,"*","*","*","*"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",155,0,0.0,13,8.4
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",47,0,0.0,8,17.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",252,"*","*","*","*"
