"Four-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",21,"*","*","*","*"
"Ansonia School District","=""0020011""",205,12,5.9,37,18.0
"Avon School District","=""0040011""",285,"*","*","*","*"
"Berlin School District","=""0070011""",263,6,2.3,8,3.0
"Bethel School District","=""0090011""",239,"*","*","*","*"
"Bloomfield School District","=""0110011""",196,29,14.8,14,7.1
"Bolton School District","=""0120011""",73,"*","*","*","*"
"Branford School District","=""0140011""",258,8,3.1,10,3.9
"Bridgeport School District","=""0150011""",1273,118,9.3,310,24.4
"Bristol School District","=""0170011""",631,41,6.5,53,8.4
"Brookfield School District","=""0180011""",254,"*","*","*","*"
"Canton School District","=""0230011""",119,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",335,21,6.3,48,14.3
"Cheshire School District","=""0250011""",411,10,2.4,7,1.7
"Clinton School District","=""0270011""",123,"*","*","*","*"
"Colchester School District","=""0280011""",246,"*","*","*","*"
"Common Ground High School District","=""2680013""",31,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""",2531,7,0.3,96,3.8
"Coventry School District","=""0320011""",153,10,6.5,11,7.2
"Cromwell School District","=""0330011""",152,7,4.6,6,3.9
"Danbury School District","=""0340011""",757,92,12.2,84,11.1
"Darien School District","=""0350011""",311,"*","*","*","*"
"Derby School District","=""0370011""",106,10,9.4,16,15.1
"East Granby School District","=""0400011""",61,"*","*","*","*"
"East Haddam School District","=""0410011""",102,"*","*","*","*"
"East Hampton School District","=""0420011""",165,"*","*","*","*"
"East Hartford School District","=""0430011""",591,57,9.6,81,13.7
"East Haven School District","=""0440011""",230,19,8.3,45,19.6
"East Lyme School District","=""0450011""",303,7,2.3,10,3.3
"East Windsor School District","=""0470011""",89,6,6.7,6,6.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",86,"*","*","*","*"
"Ellington School District","=""0480011""",203,9,4.4,11,5.4
"Elm City College Preparatory School District","=""2890013""",19,"*","*","*","*"
"Enfield School District","=""0490011""",512,30,5.9,46,9.0
"Explorations District","=""2720013""",28,0,0.0,12,42.9
"Fairfield School District","=""0510011""",690,22,3.2,18,2.6
"Farmington School District","=""0520011""",304,12,3.9,6,2.0
"Glastonbury School District","=""0540011""",512,12,2.3,9,1.8
"Granby School District","=""0560011""",189,"*","*","*","*"
"Greenwich School District","=""0570011""",646,28,4.3,22,3.4
"Griswold School District","=""0580011""",184,"*","*","*","*"
"Groton School District","=""0590011""",345,13,3.8,50,14.5
"Guilford School District","=""0600011""",287,"*","*","*","*"
"Hamden School District","=""0620011""",523,37,7.1,45,8.6
"Hartford School District","=""0640011""",1396,244,17.5,250,17.9
"Killingly School District","=""0690011""",191,15,7.9,29,15.2
"Lebanon School District","=""0710011""",132,"*","*","*","*"
"Ledyard School District","=""0720011""",212,"*","*","*","*"
"Lisbon School District","=""0730011""","*","*","*","*","*"
"Litchfield School District","=""0740011""",103,"*","*","*","*"
