"Four-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",21,15,71.4
"Ansonia School District","=""0020011""","Non-Special Education",180,140,77.8
"Ansonia School District","=""0020011""","Special Education",25,16,64.0
"Avon School District","=""0040011""","Non-Special Education",248,243,98.0
"Avon School District","=""0040011""","Special Education",37,31,83.8
"Berlin School District","=""0070011""","Non-Special Education",223,216,96.9
"Berlin School District","=""0070011""","Special Education",40,33,82.5
"Bethel School District","=""0090011""","Non-Special Education",210,204,97.1
"Bethel School District","=""0090011""","Special Education",29,21,72.4
"Bloomfield School District","=""0110011""","Non-Special Education",168,135,80.4
"Bloomfield School District","=""0110011""","Special Education",28,18,64.3
"Bolton School District","=""0120011""","Non-Special Education",64,"*","*"
"Bolton School District","=""0120011""","Special Education",9,"*","*"
"Branford School District","=""0140011""","Non-Special Education",224,214,95.5
"Branford School District","=""0140011""","Special Education",34,26,76.5
"Bridgeport School District","=""0150011""","Non-Special Education",1089,757,69.5
"Bridgeport School District","=""0150011""","Special Education",184,87,47.3
"Bristol School District","=""0170011""","Non-Special Education",538,473,87.9
"Bristol School District","=""0170011""","Special Education",93,64,68.8
"Brookfield School District","=""0180011""","Non-Special Education",235,"*","*"
"Brookfield School District","=""0180011""","Special Education",19,"*","*"
"Canton School District","=""0230011""","Non-Special Education",107,"*","*"
"Canton School District","=""0230011""","Special Education",12,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",274,233,85.0
"Capitol Region Education Council","=""2410014""","Special Education",61,33,54.1
"Cheshire School District","=""0250011""","Non-Special Education",362,358,98.9
"Cheshire School District","=""0250011""","Special Education",49,36,73.5
"Clinton School District","=""0270011""","Non-Special Education",102,"*","*"
"Clinton School District","=""0270011""","Special Education",21,"*","*"
"Colchester School District","=""0280011""","Non-Special Education",218,212,97.2
"Colchester School District","=""0280011""","Special Education",28,21,75.0
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2309,2213,95.8
"Connecticut Technical High School System","=""9000016""","Special Education",222,215,96.8
"Coventry School District","=""0320011""","Non-Special Education",128,112,87.5
"Coventry School District","=""0320011""","Special Education",25,20,80.0
"Cromwell School District","=""0330011""","Non-Special Education",130,127,97.7
"Cromwell School District","=""0330011""","Special Education",22,12,54.5
"Danbury School District","=""0340011""","Non-Special Education",676,539,79.7
"Danbury School District","=""0340011""","Special Education",81,42,51.9
"Darien School District","=""0350011""","Non-Special Education",268,"*","*"
"Darien School District","=""0350011""","Special Education",43,"*","*"
"Derby School District","=""0370011""","Non-Special Education",95,"*","*"
"Derby School District","=""0370011""","Special Education",11,"*","*"
"East Granby School District","=""0400011""","Non-Special Education",52,"*","*"
"East Granby School District","=""0400011""","Special Education",9,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education",91,85,93.4
"East Haddam School District","=""0410011""","Special Education",11,9,"*"
"East Hampton School District","=""0420011""","Non-Special Education",154,150,97.4
"East Hampton School District","=""0420011""","Special Education",11,6,"*"
"East Hartford School District","=""0430011""","Non-Special Education",487,395,81.1
"East Hartford School District","=""0430011""","Special Education",104,58,55.8
"East Haven School District","=""0440011""","Non-Special Education",194,149,76.8
"East Haven School District","=""0440011""","Special Education",36,17,47.2
"East Lyme School District","=""0450011""","Non-Special Education",251,243,96.8
"East Lyme School District","=""0450011""","Special Education",52,43,82.7
"East Windsor School District","=""0470011""","Non-Special Education",77,69,89.6
"East Windsor School District","=""0470011""","Special Education",12,8,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",65,52,80.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",21,16,76.2
"Ellington School District","=""0480011""","Non-Special Education",181,170,93.9
"Ellington School District","=""0480011""","Special Education",22,13,59.1
"Elm City College Preparatory School District","=""2890013""","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Special Education","*","*","*"
"Enfield School District","=""0490011""","Non-Special Education",426,384,90.1
"Enfield School District","=""0490011""","Special Education",86,52,60.5
"Explorations District","=""2720013""","Non-Special Education",20,"*","*"
"Explorations District","=""2720013""","Special Education",8,"*","*"
"Fairfield School District","=""0510011""","Non-Special Education",597,573,96.0
"Fairfield School District","=""0510011""","Special Education",93,77,82.8
"Farmington School District","=""0520011""","Non-Special Education",274,267,97.4
"Farmington School District","=""0520011""","Special Education",30,19,63.3
"Glastonbury School District","=""0540011""","Non-Special Education",453,447,98.7
"Glastonbury School District","=""0540011""","Special Education",59,44,74.6
"Granby School District","=""0560011""","Non-Special Education",167,"*","*"
"Granby School District","=""0560011""","Special Education",22,"*","*"
"Greenwich School District","=""0570011""","Non-Special Education",551,518,94.0
"Greenwich School District","=""0570011""","Special Education",95,78,82.1
"Griswold School District","=""0580011""","Non-Special Education",157,140,89.2
"Griswold School District","=""0580011""","Special Education",27,21,77.8
"Groton School District","=""0590011""","Non-Special Education",303,259,85.5
"Groton School District","=""0590011""","Special Education",42,23,54.8
"Guilford School District","=""0600011""","Non-Special Education",251,"*","*"
"Guilford School District","=""0600011""","Special Education",36,"*","*"
"Hamden School District","=""0620011""","Non-Special Education",435,384,88.3
"Hamden School District","=""0620011""","Special Education",88,57,64.8
"Hartford School District","=""0640011""","Non-Special Education",1127,788,69.9
"Hartford School District","=""0640011""","Special Education",269,114,42.4
"Killingly School District","=""0690011""","Non-Special Education",159,129,81.1
"Killingly School District","=""0690011""","Special Education",32,18,56.3
"Lebanon School District","=""0710011""","Non-Special Education",116,105,90.5
"Lebanon School District","=""0710011""","Special Education",16,11,"*"
"Ledyard School District","=""0720011""","Non-Special Education",185,173,93.5
"Ledyard School District","=""0720011""","Special Education",27,21,77.8
"Lisbon School District","=""0730011""","Non-Special Education","*","*","*"
"Lisbon School District","=""0730011""","Special Education","*","*","*"
"Litchfield School District","=""0740011""","Non-Special Education","*","*","*"
"Litchfield School District","=""0740011""","Special Education","*","*","*"
"Madison School District","=""0760011""","Non-Special Education",288,285,99.0
"Madison School District","=""0760011""","Special Education",47,39,83.0
"Manchester School District","=""0770011""","Non-Special Education",419,327,78.0
"Manchester School District","=""0770011""","Special Education",99,52,52.5
"Meriden School District","=""0800011""","Non-Special Education",521,388,74.5
"Meriden School District","=""0800011""","Special Education",106,48,45.3
"Middletown School District","=""0830011""","Non-Special Education",288,233,80.9
"Middletown School District","=""0830011""","Special Education",59,31,52.5
"Milford School District","=""0840011""","Non-Special Education",430,387,90.0
"Milford School District","=""0840011""","Special Education",85,56,65.9
"Monroe School District","=""0850011""","Non-Special Education",322,"*","*"
"Monroe School District","=""0850011""","Special Education",17,"*","*"
"Montville School District","=""0860011""","Non-Special Education",185,172,93.0
"Montville School District","=""0860011""","Special Education",38,21,55.3
"Naugatuck School District","=""0880011""","Non-Special Education",317,275,86.8
"Naugatuck School District","=""0880011""","Special Education",51,35,68.6
"New Britain School District","=""0890011""","Non-Special Education",550,360,65.5
"New Britain School District","=""0890011""","Special Education",114,42,36.8
"New Canaan School District","=""0900011""","Non-Special Education",283,"*","*"
"New Canaan School District","=""0900011""","Special Education",46,"*","*"
"New Fairfield School District","=""0910011""","Non-Special Education",209,"*","*"
"New Fairfield School District","=""0910011""","Special Education",23,"*","*"
"New Haven School District","=""0930011""","Non-Special Education",1163,856,73.6
"New Haven School District","=""0930011""","Special Education",169,88,52.1
"New London School District","=""0950011""","Non-Special Education",182,124,68.1
"New London School District","=""0950011""","Special Education",57,24,42.1
"New Milford School District","=""0960011""","Non-Special Education",332,312,94.0
"New Milford School District","=""0960011""","Special Education",58,40,69.0
"Newington School District","=""0940011""","Non-Special Education",294,275,93.5
"Newington School District","=""0940011""","Special Education",44,26,59.1
"Newtown School District","=""0970011""","Non-Special Education",368,355,96.5
"Newtown School District","=""0970011""","Special Education",38,30,78.9
"North Branford School District","=""0990011""","Non-Special Education",146,139,95.2
"North Branford School District","=""0990011""","Special Education",16,9,"*"
"North Haven School District","=""1010011""","Non-Special Education",261,252,96.6
"North Haven School District","=""1010011""","Special Education",31,18,58.1
"North Stonington School District","=""1020011""","Non-Special Education",48,"*","*"
"North Stonington School District","=""1020011""","Special Education",6,"*","*"
"Norwalk School District","=""1030011""","Non-Special Education",768,663,86.3
"Norwalk School District","=""1030011""","Special Education",105,78,74.3
