"Four-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",23,19,82.6
"Ansonia School District","=""0020011""",157,120,76.4
"Avon School District","=""0040011""",272,265,97.4
"Berlin School District","=""0070011""",235,223,94.9
"Bethel School District","=""0090011""",244,226,92.6
"Bloomfield School District","=""0110011""",169,148,87.6
"Bolton School District","=""0120011""",103,97,94.2
"Branford School District","=""0140011""",299,272,91.0
"Bridgeport School District","=""0150011""",1247,892,71.5
"Bristol School District","=""0170011""",699,572,81.8
"Brookfield School District","=""0180011""",232,225,97.0
"Canton School District","=""0230011""",136,128,94.1
"Capitol Region Education Council","=""2410014""",317,281,88.6
"Cheshire School District","=""0250011""",389,371,95.4
"Clinton School District","=""0270011""",133,123,92.5
"Colchester School District","=""0280011""",248,237,95.6
"Common Ground High School District","=""2680013""",29,"*","*"
"Connecticut Technical High School System","=""9000016""",2423,2329,96.1
"Coventry School District","=""0320011""",133,128,96.2
"Cromwell School District","=""0330011""",134,122,91.0
"Danbury School District","=""0340011""",761,594,78.1
"Darien School District","=""0350011""",336,325,96.7
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",102,83,81.4
"East Granby School District","=""0400011""",66,60,90.9
"East Haddam School District","=""0410011""",105,98,93.3
"East Hampton School District","=""0420011""",121,117,96.7
"East Hartford School District","=""0430011""",507,397,78.3
"East Haven School District","=""0440011""",260,210,80.8
"East Lyme School District","=""0450011""",274,256,93.4
"East Windsor School District","=""0470011""",109,97,89.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",66,49,74.2
"Ellington School District","=""0480011""",194,185,95.4
"Elm City College Preparatory School District","=""2890013""",24,15,62.5
"Enfield School District","=""0490011""",424,366,86.3
"Explorations District","=""2720013""",27,18,66.7
"Fairfield School District","=""0510011""",728,683,93.8
"Farmington School District","=""0520011""",344,328,95.3
"Glastonbury School District","=""0540011""",585,562,96.1
"Granby School District","=""0560011""",205,194,94.6
"Greenwich School District","=""0570011""",670,637,95.1
"Griswold School District","=""0580011""",170,144,84.7
"Groton School District","=""0590011""",317,269,84.9
"Guilford School District","=""0600011""",286,265,92.7
"Hamden School District","=""0620011""",458,408,89.1
"Hartford School District","=""0640011""",1370,980,71.5
"Killingly School District","=""0690011""",218,176,80.7
"Learn","=""2450014""",153,141,92.2
"Lebanon School District","=""0710011""",105,98,93.3
"Ledyard School District","=""0720011""",247,224,90.7
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",69,64,92.8
"Madison School District","=""0760011""",320,310,96.9
"Manchester School District","=""0770011""",454,373,82.2
"Meriden School District","=""0800011""",615,468,76.1
"Middletown School District","=""0830011""",334,276,82.6
"Milford School District","=""0840011""",508,468,92.1
"Monroe School District","=""0850011""",300,289,96.3
"Montville School District","=""0860011""",193,171,88.6
"Naugatuck School District","=""0880011""",333,273,82.0
"New Britain School District","=""0890011""",656,417,63.6
"New Canaan School District","=""0900011""",312,"*","*"
"New Fairfield School District","=""0910011""",239,231,96.7
"New Haven School District","=""0930011""",1309,988,75.5
"New London School District","=""0950011""",228,162,71.1
"New Milford School District","=""0960011""",383,344,89.8
"Newington School District","=""0940011""",364,338,92.9
"Newtown School District","=""0970011""",423,409,96.7
"North Branford School District","=""0990011""",150,136,90.7
"North Haven School District","=""1010011""",320,283,88.4
"North Stonington School District","=""1020011""",56,"*","*"
"Norwalk School District","=""1030011""",822,689,83.8
"Norwich Free Academy District","=""9010022""",613,533,86.9
"Old Saybrook School District","=""1060011""",137,126,92.0
"Oxford School District","=""1080011""",174,168,96.6
"Plainfield School District","=""1090011""",174,145,83.3
"Plainville School District","=""1100011""",176,156,88.6
"Plymouth School District","=""1110011""",139,121,87.1
"Portland School District","=""1130011""",112,104,92.9
"Putnam School District","=""1160011""",66,56,84.8
"Regional School District 01","=""2010012""",121,108,89.3
"Regional School District 04","=""2040012""",136,133,97.8
"Regional School District 05","=""2050012""",420,404,96.2
"Regional School District 06","=""2060012""",93,87,93.5
"Regional School District 07","=""2070012""",211,195,92.4
"Regional School District 08","=""2080012""",297,276,92.9
"Regional School District 09","=""2090012""",252,242,96.0
"Regional School District 10","=""2100012""",218,206,94.5
"Regional School District 11","=""2110012""",40,37,92.5
"Regional School District 12","=""2120012""",81,76,93.8
"Regional School District 13","=""2130012""",134,125,93.3
"Regional School District 14","=""2140012""",211,204,96.7
"Regional School District 15","=""2150012""",329,318,96.7
"Regional School District 16","=""2160012""",181,168,92.8
"Regional School District 17","=""2170012""",153,"*","*"
"Regional School District 18","=""2180012""",108,105,97.2
"Regional School District 19","=""2190012""",293,273,93.2
"Ridgefield School District","=""1180011""",459,448,97.6
"Rocky Hill School District","=""1190011""",183,168,91.8
"Seymour School District","=""1240011""",138,120,87.0
"Shelton School District","=""1260011""",369,337,91.3
"Simsbury School District","=""1280011""",400,378,94.5
"Somers School District","=""1290011""",131,"*","*"
"South Windsor School District","=""1320011""",348,326,93.7
"Southington School District","=""1310011""",512,478,93.4
"Stafford School District","=""1340011""",142,132,93.0
"Stamford Academy District","=""2820013""",57,14,24.6
"Stamford School District","=""1350011""",1200,1067,88.9
"Stonington School District","=""1370011""",177,165,93.2
"Stratford School District","=""1380011""",646,594,92.0
"Suffield School District","=""1390011""",214,204,95.3
"The Bridge Academy District","=""2690013""",34,30,88.2
"The Gilbert School District","=""9020022""",90,79,87.8
"Thomaston School District","=""1400011""",72,"*","*"
"Thompson School District","=""1410011""",86,78,90.7
"Tolland School District","=""1420011""",229,209,91.3
"Torrington School District","=""1430011""",272,228,83.8
"Trumbull School District","=""1440011""",555,533,96.0
"Unified School District #1","=""3360015""",327,"*","*"
"Unified School District #2","=""3470015""",65,18,27.7
"Vernon School District","=""1460011""",299,246,82.3
"Wallingford School District","=""1480011""",490,448,91.4
"Waterbury School District","=""1510011""",1350,916,67.9
"Waterford School District","=""1520011""",203,187,92.1
"Watertown School District","=""1530011""",230,211,91.7
"West Hartford School District","=""1550011""",741,697,94.1
"West Haven School District","=""1560011""",424,312,73.6
"Westbrook School District","=""1540011""",72,"*","*"
"Weston School District","=""1570011""",180,175,97.2
