"Four-Year Graduation Rates, 2014-15"
"All Districts, High Needs Status"

"",,,,"Non-Graduates",,,
"District","District Code","High Needs Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","High Needs","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs","*","*","*","*","*"
"Ansonia School District","=""0020011""","High Needs",137,17,12.4,"*","*"
"Ansonia School District","=""0020011""","Non-High Needs",35,0,0.0,"*","*"
"Avon School District","=""0040011""","High Needs",48,"*","*",0,0.0
"Avon School District","=""0040011""","Non-High Needs",200,"*","*","*","*"
"Berlin School District","=""0070011""","High Needs",56,"*","*","*","*"
"Berlin School District","=""0070011""","Non-High Needs",154,"*","*","*","*"
"Bethel School District","=""0090011""","High Needs",77,"*","*","*","*"
"Bethel School District","=""0090011""","Non-High Needs",141,"*","*",0,0.0
"Bloomfield School District","=""0110011""","High Needs",121,"*","*",10,8.3
"Bloomfield School District","=""0110011""","Non-High Needs",55,"*","*",0,0.0
"Bolton School District","=""0120011""","High Needs",20,"*","*",0,0.0
"Bolton School District","=""0120011""","Non-High Needs",56,0,0.0,0,0.0
"Branford School District","=""0140011""","High Needs",85,11,12.9,8,9.4
"Branford School District","=""0140011""","Non-High Needs",168,0,0.0,6,3.6
"Bridgeport Achievement First District","=""2850013""","High Needs","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Non-High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","High Needs","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Non-High Needs","*","*","*","*","*"
"Bristol School District","=""0170011""","High Needs",363,"*","*","*","*"
"Bristol School District","=""0170011""","Non-High Needs",284,"*","*","*","*"
"Brookfield School District","=""0180011""","High Needs",46,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-High Needs",189,"*","*","*","*"
"Canton School District","=""0230011""","High Needs",26,"*","*","*","*"
"Canton School District","=""0230011""","Non-High Needs",106,"*","*",0,0.0
"Capitol Region Education Council","=""2410014""","High Needs",193,14,7.3,"*","*"
"Capitol Region Education Council","=""2410014""","Non-High Needs",130,0,0.0,"*","*"
"Cheshire School District","=""0250011""","High Needs",77,11,14.3,0,0.0
"Cheshire School District","=""0250011""","Non-High Needs",315,0,0.0,0,0.0
"Clinton School District","=""0270011""","High Needs",51,"*","*","*","*"
"Clinton School District","=""0270011""","Non-High Needs",111,"*","*","*","*"
"Colchester School District","=""0280011""","High Needs",69,"*","*","*","*"
"Colchester School District","=""0280011""","Non-High Needs",159,"*","*","*","*"
"Common Ground High School District","=""2680013""","High Needs",25,0,0.0,0,0.0
"Common Ground High School District","=""2680013""","Non-High Needs",12,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","High Needs",1605,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-High Needs",863,"*","*","*","*"
"Coventry School District","=""0320011""","High Needs",38,"*","*","*","*"
"Coventry School District","=""0320011""","Non-High Needs",79,0,0.0,0,0.0
"Cromwell School District","=""0330011""","High Needs",37,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-High Needs",91,0,0.0,0,0.0
"Danbury School District","=""0340011""","High Needs",490,"*","*","*","*"
"Danbury School District","=""0340011""","Non-High Needs",282,"*","*","*","*"
"Darien School District","=""0350011""","High Needs",47,"*","*",0,0.0
"Darien School District","=""0350011""","Non-High Needs",287,"*","*","*","*"
"Derby School District","=""0370011""","High Needs",76,"*","*",9,11.8
"Derby School District","=""0370011""","Non-High Needs",26,"*","*",0,0.0
"East Granby School District","=""0400011""","High Needs",10,0,"*",0,"*"
"East Granby School District","=""0400011""","Non-High Needs",51,0,0.0,0,0.0
"East Haddam School District","=""0410011""","High Needs",34,"*","*","*","*"
"East Haddam School District","=""0410011""","Non-High Needs",79,0,0.0,"*","*"
"East Hampton School District","=""0420011""","High Needs",29,"*","*","*","*"
"East Hampton School District","=""0420011""","Non-High Needs",98,0,0.0,"*","*"
"East Hartford School District","=""0430011""","High Needs",443,"*","*","*","*"
"East Hartford School District","=""0430011""","Non-High Needs",123,"*","*","*","*"
"East Haven School District","=""0440011""","High Needs",155,11,7.1,"*","*"
"East Haven School District","=""0440011""","Non-High Needs",89,0,0.0,"*","*"
"East Lyme School District","=""0450011""","High Needs",66,"*","*","*","*"
"East Lyme School District","=""0450011""","Non-High Needs",208,0,0.0,"*","*"
"East Windsor School District","=""0470011""","High Needs",48,"*","*","*","*"
"East Windsor School District","=""0470011""","Non-High Needs",42,0,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","High Needs",43,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-High Needs",29,"*","*","*","*"
"Ellington School District","=""0480011""","High Needs",56,"*","*","*","*"
"Ellington School District","=""0480011""","Non-High Needs",150,0,0.0,0,0.0
"Elm City College Preparatory School District","=""2890013""","High Needs","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-High Needs","*","*","*","*","*"
"Enfield School District","=""0490011""","High Needs",167,"*","*","*","*"
"Enfield School District","=""0490011""","Non-High Needs",225,"*","*","*","*"
"Explorations District","=""2720013""","High Needs",16,0,"*","*","*"
"Explorations District","=""2720013""","Non-High Needs",7,0,"*",0,"*"
"Fairfield School District","=""0510011""","High Needs",182,"*","*","*","*"
"Fairfield School District","=""0510011""","Non-High Needs",535,"*","*","*","*"
"Farmington School District","=""0520011""","High Needs",75,"*","*","*","*"
"Farmington School District","=""0520011""","Non-High Needs",260,0,0.0,"*","*"
"Glastonbury School District","=""0540011""","High Needs",109,"*","*","*","*"
"Glastonbury School District","=""0540011""","Non-High Needs",415,"*","*","*","*"
"Granby School District","=""0560011""","High Needs",30,0,0.0,"*","*"
"Granby School District","=""0560011""","Non-High Needs",135,"*","*","*","*"
"Greenwich School District","=""0570011""","High Needs",191,"*","*","*","*"
"Greenwich School District","=""0570011""","Non-High Needs",456,"*","*","*","*"
"Griswold School District","=""0580011""","High Needs",69,7,10.1,"*","*"
"Griswold School District","=""0580011""","Non-High Needs",79,0,0.0,"*","*"
"Groton School District","=""0590011""","High Needs",144,9,6.3,"*","*"
