"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Gender"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",17,"*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",12,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",93,8,8.6,17,18.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",90,13,14.4,16,17.8
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",136,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",118,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",124,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",136,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",131,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",114,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",82,6,7.3,8,9.8
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",89,18,20.2,12,13.5
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","*","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",47,0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",26,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",132,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",142,"*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",160,8,5.0,49,30.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",181,19,10.5,57,31.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",294,23,7.8,29,9.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",309,51,16.5,55,17.8
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",221,23,10.4,82,37.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",214,41,19.2,93,43.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",171,14,8.2,27,15.8
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",161,16,9.9,30,18.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",184,12,6.5,15,8.2
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",184,20,10.9,24,13.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",120,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",143,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",56,"*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",62,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Female",70,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Male",48,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",39,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",23,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",58,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",45,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",162,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",203,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",77,"*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",67,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",122,"*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",127,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",21,"*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",17,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",84,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",67,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",89,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",104,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",38,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",64,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",49,0,0.0,9,18.4
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",74,0,0.0,14,18.9
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",55,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",70,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",40,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",81,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",69,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",113,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",38,0,0.0,7,18.4
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",91,0,0.0,7,7.7
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",54,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",106,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",19,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",116,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",35,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",76,"*","*",0,0.0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",62,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",129,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",65,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",135,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",40,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",95,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",55,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",99,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",43,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",83,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Female",86,"*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Male",66,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Female",93,"*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Male",74,"*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Female",345,21,6.1,33,9.6
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Male",374,45,12.0,48,12.8
"Darien School District","=""0350011""","Darien High School","=""0356111""","Female",161,"*","*","*","*"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Male",165,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Female",56,"*","*","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Male",66,"*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Female",39,0,0.0,"*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Male",37,"*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Female",46,0,0.0,"*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Male",47,0,0.0,"*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Female",66,"*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Male",70,"*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Female",18,0,"*",0,"*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Male",15,0,"*",0,"*"
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Female",278,13,4.7,28,10.1
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Male",259,32,12.4,34,13.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Female",150,"*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Male",140,"*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Female",163,"*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Male",161,"*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Female",45,"*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Male",48,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Female","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Male","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Female",20,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Male",20,"*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Female",98,0,0.0,"*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Male",83,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Female",119,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Male",123,"*","*","*","*"
