"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Gender"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",8,6,"*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",13,9,"*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",99,82,82.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",105,74,70.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",141,138,97.9
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",143,136,95.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",146,141,96.6
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",115,108,93.9
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",128,124,96.9
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",109,101,92.7
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",86,75,87.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",82,65,79.3
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","*","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",37,35,94.6
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",36,31,86.1
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",128,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",123,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",146,77,52.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",164,71,43.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",292,239,81.8
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",278,208,74.8
