"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, English Learner Status"

"",,,,,,"Non-Graduates",,,
"District","District Code","School","School Code","English Learner Status","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELL","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","ELL",13,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-ELL",196,"*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELL","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Non-ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Non-ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Non-ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Non-ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Non-ELL",30,"*","*",0,0.0
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Non-ELL","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Non-ELL",80,0,0.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","ELL","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Non-ELL","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELL",55,8,14.5,16,29.1
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Non-ELL",261,52,19.9,53,20.3
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELL",47,"*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Non-ELL",494,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELL",64,"*","*","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Non-ELL",271,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELL",14,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Non-ELL",302,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELL",10,"*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Non-ELL",293,"*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Non-ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Non-ELL",123,6,4.9,0,0.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Non-ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Non-ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Non-ELL",91,"*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Non-ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Non-ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Non-ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELL",13,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Non-ELL",159,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELL",15,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Non-ELL",181,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELL",14,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Non-ELL",118,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELL",24,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Non-ELL",96,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELL",9,0,"*",0,"*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Non-ELL",138,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Non-ELL",113,0,0.0,0,0.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Non-ELL",154,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Non-ELL",167,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Non-ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Non-ELL",192,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","ELL",6,0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Non-ELL",126,"*","*",0,0.0
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","ELL","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Non-ELL","*","*","*","*","*"
