"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Gender"

"",,,,"Graduates",
"District","School","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Female",12,9,75.0
"Amistad Academy District","Amistad Academy","Male",11,7,63.6
"Ansonia School District","Ansonia High School","Female",104,93,89.4
"Ansonia School District","Ansonia High School","Male",105,66,62.9
"Avon School District","Avon High School","Female",121,116,95.9
"Avon School District","Avon High School","Male",140,136,97.1
"Berlin School District","Berlin High School","Female",139,133,95.7
"Berlin School District","Berlin High School","Male",123,119,96.7
"Bethel School District","Bethel High School","Female",117,108,92.3
"Bethel School District","Bethel High School","Male",116,109,94.0
"Bloomfield School District","Bloomfield High School","Female",60,56,93.3
"Bloomfield School District","Bloomfield High School","Male",65,58,89.2
"Bloomfield School District","Global Experience Magnet School","Female",18,18,100.0
"Bloomfield School District","Global Experience Magnet School","Male",12,11,91.7
"Bloomfield School District","Learning Academy at Bloomfield","Female","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Male","*","*","*"
"Bolton School District","Bolton High School","Female",44,43,97.7
"Bolton School District","Bolton High School","Male",36,35,97.2
"Branford School District","Branford High School","Female",153,143,93.5
"Branford School District","Branford High School","Male",116,107,92.2
"Bridgeport School District","Bassick High School","Female",159,99,62.3
"Bridgeport School District","Bassick High School","Male",157,88,56.1
"Bridgeport School District","Central High School","Female",275,226,82.2
"Bridgeport School District","Central High School","Male",266,194,72.9
"Bridgeport School District","Harding High School","Female",165,114,69.1
"Bridgeport School District","Harding High School","Male",170,90,52.9
"Bristol School District","Bristol Central High School","Female",151,130,86.1
"Bristol School District","Bristol Central High School","Male",165,128,77.6
"Bristol School District","Bristol Eastern High School","Female",136,114,83.8
"Bristol School District","Bristol Eastern High School","Male",167,133,79.6
"Brookfield School District","Brookfield High School","Female",124,120,96.8
"Brookfield School District","Brookfield High School","Male",117,112,95.7
"Canton School District","Canton High School","Female",62,59,95.2
"Canton School District","Canton High School","Male",61,58,95.1
"Capitol Region Education Council","Academy of Aerospace and Engineering","Female",20,19,95.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","Male",18,14,77.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",57,46,80.7
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",30,26,86.7
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",46,43,93.5
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",45,43,95.6
"Cheshire School District","Cheshire High School","Female",179,175,97.8
"Cheshire School District","Cheshire High School","Male",177,172,97.2
"Clinton School District","The Morgan School","Female",69,64,92.8
"Clinton School District","The Morgan School","Male",74,64,86.5
"Colchester School District","Bacon Academy","Female",127,122,96.1
"Colchester School District","Bacon Academy","Male",123,113,91.9
"Common Ground High School District","Common Ground High School","Female",16,14,87.5
"Common Ground High School District","Common Ground High School","Male",22,20,90.9
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",95,87,91.6
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",77,65,84.4
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",107,102,95.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",89,87,97.8
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",45,43,95.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",87,83,95.4
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",62,49,79.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",58,51,87.9
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",61,61,100.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",86,83,96.5
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",30,30,100.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",86,82,95.3
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",67,66,98.5
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",111,111,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",22,22,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",91,91,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","Female",36,34,94.4
"Connecticut Technical High School System","Henry Abbott Technical High School","Male",112,109,97.3
"Connecticut Technical High School System","Howell Cheney Technical High School","Female",22,20,90.9
"Connecticut Technical High School System","Howell Cheney Technical High School","Male",146,143,97.9
"Connecticut Technical High School System","Norwich Technical High School","Female",53,53,100.0
"Connecticut Technical High School System","Norwich Technical High School","Male",101,99,98.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Female",56,55,98.2
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Male",111,110,99.1
"Connecticut Technical High School System","Platt Technical High School","Female",69,68,98.6
"Connecticut Technical High School System","Platt Technical High School","Male",138,137,99.3
"Connecticut Technical High School System","Vinal Technical High School","Female",52,50,96.2
"Connecticut Technical High School System","Vinal Technical High School","Male",89,83,93.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Female",75,73,97.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Male",117,115,98.3
"Connecticut Technical High School System","Windham Technical High School","Female",44,43,97.7
"Connecticut Technical High School System","Windham Technical High School","Male",88,87,98.9
"Coventry School District","Coventry High School","Female",71,65,91.5
"Coventry School District","Coventry High School","Male",64,57,89.1
"Cromwell School District","Cromwell High School","Female",75,70,93.3
"Cromwell School District","Cromwell High School","Male",66,62,93.9
