"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Gender"

"",,,,"Non-Graduates",,,
"District","School","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female",12,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",11,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",104,"*","*",9,8.7
"Ansonia School District","Ansonia High School","Male",105,"*","*",18,17.1
"Avon School District","Avon High School","Female",121,"*","*","*","*"
"Avon School District","Avon High School","Male",140,"*","*","*","*"
"Berlin School District","Berlin High School","Female",139,"*","*","*","*"
"Berlin School District","Berlin High School","Male",123,"*","*","*","*"
"Bethel School District","Bethel High School","Female",117,8,6.8,"*","*"
"Bethel School District","Bethel High School","Male",116,6,5.2,"*","*"
"Bloomfield School District","Bloomfield High School","Female",60,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Male",65,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Female",18,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Male",12,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Female","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Male","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",44,"*","*","*","*"
"Bolton School District","Bolton High School","Male",36,"*","*","*","*"
"Branford School District","Branford High School","Female",153,"*","*","*","*"
"Branford School District","Branford High School","Male",116,"*","*","*","*"
"Bridgeport School District","Bassick High School","Female",159,23,14.5,37,23.3
"Bridgeport School District","Bassick High School","Male",157,37,23.6,32,20.4
"Bridgeport School District","Central High School","Female",275,12,4.4,37,13.5
"Bridgeport School District","Central High School","Male",266,34,12.8,38,14.3
"Bridgeport School District","Harding High School","Female",165,8,4.8,43,26.1
"Bridgeport School District","Harding High School","Male",170,9,5.3,71,41.8
"Bristol School District","Bristol Central High School","Female",151,"*","*",17,11.3
"Bristol School District","Bristol Central High School","Male",165,13,7.9,24,14.5
"Bristol School District","Bristol Eastern High School","Female",136,"*","*",15,11.0
"Bristol School District","Bristol Eastern High School","Male",167,19,11.4,15,9.0
"Brookfield School District","Brookfield High School","Female",124,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",117,"*","*","*","*"
"Canton School District","Canton High School","Female",62,"*","*","*","*"
"Canton School District","Canton High School","Male",61,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Female",20,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Male",18,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",57,"*","*",10,17.5
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",30,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",46,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",45,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",179,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",177,"*","*","*","*"
"Clinton School District","The Morgan School","Female",69,"*","*","*","*"
"Clinton School District","The Morgan School","Male",74,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",127,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",123,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",16,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",22,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",95,"*","*",8,8.4
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",77,"*","*",12,15.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",107,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",89,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",45,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",87,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",62,"*","*",11,17.7
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",58,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",61,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",86,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",30,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",86,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",67,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",111,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",22,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",91,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Female",36,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Male",112,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Female",22,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Male",146,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Female",53,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Male",101,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Female",56,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Male",111,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Female",69,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Male",138,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Female",52,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Male",89,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Female",75,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Male",117,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Female",44,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Male",88,"*","*","*","*"
"Coventry School District","Coventry High School","Female",71,"*","*","*","*"
"Coventry School District","Coventry High School","Male",64,"*","*","*","*"
"Cromwell School District","Cromwell High School","Female",75,"*","*","*","*"
"Cromwell School District","Cromwell High School","Male",66,"*","*","*","*"
"Danbury School District","Alternative Center For Excellence","Female",14,6,42.9,"*","*"
"Danbury School District","Alternative Center For Excellence","Male",20,11,55.0,"*","*"
"Danbury School District","Danbury High School","Female",369,29,7.9,32,8.7
"Danbury School District","Danbury High School","Male",367,51,13.9,43,11.7
"Darien School District","Darien High School","Female",158,"*","*","*","*"
"Darien School District","Darien High School","Male",154,"*","*","*","*"
"Derby School District","Derby High School","Female",40,7,17.5,"*","*"
"Derby School District","Derby High School","Male",46,8,17.4,"*","*"
"East Granby School District","East Granby High School","Female",32,"*","*","*","*"
"East Granby School District","East Granby High School","Male",37,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Female",48,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Male",47,"*","*","*","*"
"East Hampton School District","East Hampton High School","Female",66,"*","*","*","*"
"East Hampton School District","East Hampton High School","Male",64,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Female",25,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Male",14,"*","*","*","*"
"East Hartford School District","East Hartford High School","Female",178,6,3.4,13,7.3
"East Hartford School District","East Hartford High School","Male",200,8,4.0,26,13.0
"East Hartford School District","Stevens Alternate High school","Female",48,7,14.6,12,25.0
"East Hartford School District","Stevens Alternate High school","Male",67,19,28.4,18,26.9
"East Haven School District","East Haven High School","Female",112,"*","*",14,12.5
"East Haven School District","East Haven High School","Male",125,"*","*",26,20.8
"East Lyme School District","East Lyme High School","Female",159,"*","*","*","*"
"East Lyme School District","East Lyme High School","Male",150,"*","*","*","*"
"East Windsor School District","East Windsor High School","Female",50,"*","*","*","*"
"East Windsor School District","East Windsor High School","Male",45,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Female",18,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Male",8,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Female",21,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Male",22,"*","*","*","*"
"Ellington School District","Ellington High School","Female",105,"*","*","*","*"
"Ellington School District","Ellington High School","Male",92,"*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Female",7,"*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Male",6,"*","*","*","*"
"Enfield School District","Enfield High School","Female",75,"*","*",9,12.0
"Enfield School District","Enfield High School","Male",108,6,5.6,14,13.0
"Enfield School District","Enrico Fermi High School","Female",143,"*","*",7,4.9
"Enfield School District","Enrico Fermi High School","Male",113,"*","*",6,5.3
"Explorations District","Explorations","Female",17,"*","*","*","*"
"Explorations District","Explorations","Male",15,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Female",188,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Male",195,"*","*","*","*"
"Fairfield School District","Fairfield Warde High School","Female",152,7,4.6,6,3.9
"Fairfield School District","Fairfield Warde High School","Male",162,12,7.4,"*","*"
"Farmington School District","Farmington High School","Female",160,"*","*","*","*"
"Farmington School District","Farmington High School","Male",158,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Female",274,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Male",276,"*","*","*","*"
"Granby School District","Granby Memorial High School","Female",98,"*","*","*","*"
"Granby School District","Granby Memorial High School","Male",95,"*","*","*","*"
"Greenwich School District","Greenwich High School","Female",324,9,2.8,"*","*"
"Greenwich School District","Greenwich High School","Male",362,15,4.1,"*","*"
"Griswold School District","Griswold High School","Female",92,"*","*","*","*"
"Griswold School District","Griswold High School","Male",75,"*","*","*","*"
"Groton School District","Robert E. Fitch High School","Female",166,6,3.6,17,10.2
"Groton School District","Robert E. Fitch High School","Male",154,7,4.5,23,14.9
"Guilford School District","Guilford High School","Female",138,"*","*","*","*"
"Guilford School District","Guilford High School","Male",140,"*","*","*","*"
"Hamden School District","Hamden High School","Female",227,8,3.5,12,5.3
"Hamden School District","Hamden High School","Male",216,26,12.0,11,5.1
"Hartford School District","Bulkeley High School Upper School","Female",88,"*","*",17,19.3
"Hartford School District","Bulkeley High School Upper School","Male",88,11,12.5,20,22.7
"Hartford School District","Capital Preparatory Magnet School","Female",23,"*","*","*","*"
"Hartford School District","Capital Preparatory Magnet School","Male",10,"*","*","*","*"
"Hartford School District","Classical Magnet School","Female",54,"*","*","*","*"
"Hartford School District","Classical Magnet School","Male",35,"*","*","*","*"
"Hartford School District","Culinary Arts Academy","Female",42,"*","*",13,31.0
"Hartford School District","Culinary Arts Academy","Male",31,6,19.4,10,32.3
"Hartford School District","Great Path Academy High School at MCC","Female",45,"*","*","*","*"
"Hartford School District","Great Path Academy High School at MCC","Male",23,"*","*","*","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology","Female",38,"*","*",8,21.1
"Hartford School District","HPHS Academy of Engineering and Green Technology","Male",74,8,10.8,21,28.4
"Hartford School District","HPHS Academy of Nursing and Health Science","Female",98,"*","*",22,22.4
"Hartford School District","HPHS Academy of Nursing and Health Science","Male",41,"*","*",14,34.1
"Hartford School District","HPHS Law and Government Academy","Female",72,10,13.9,6,8.3
"Hartford School District","HPHS Law and Government Academy","Male",48,8,16.7,10,20.8
"Hartford School District","High School Inc.","Female",52,"*","*",9,17.3
"Hartford School District","High School Inc.","Male",54,"*","*",19,35.2
"Hartford School District","Journalism and Media Academy Magnet School","Female",27,"*","*",7,25.9
"Hartford School District","Journalism and Media Academy Magnet School","Male",27,"*","*",7,25.9
"Hartford School District","OPPortunity High School","Female",36,"*","*",15,41.7
"Hartford School District","OPPortunity High School","Male",41,"*","*",9,22.0
"Hartford School District","Pathways Academy of Technology and Design","Female",29,"*","*","*","*"
"Hartford School District","Pathways Academy of Technology and Design","Male",41,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy","Female",48,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy","Male",40,"*","*","*","*"
"Hartford School District","University High of Science and Engineering","Female",34,"*","*","*","*"
"Hartford School District","University High of Science and Engineering","Male",60,"*","*","*","*"
"Killingly School District","Killingly High School","Female",108,7,6.5,11,10.2
"Killingly School District","Killingly High School","Male",106,13,12.3,19,17.9
"Learn","Connecticut River Academy","Female",17,"*","*","*","*"
"Learn","Connecticut River Academy","Male",12,"*","*","*","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","Male","*","*","*","*","*"
"Learn","Three Rivers Middle College Magnet School","Female","*","*","*","*","*"
"Learn","Three Rivers Middle College Magnet School","Male",7,"*","*","*","*"
"Lebanon School District","Lyman Memorial High School","Female",72,"*","*","*","*"
"Lebanon School District","Lyman Memorial High School","Male",46,"*","*","*","*"
"Ledyard School District","Ledyard High School","Female",113,"*","*","*","*"
"Ledyard School District","Ledyard High School","Male",112,"*","*","*","*"
"Lisbon School District","Community Connection - The Big Picture High School","Female","*","*","*","*","*"
"Lisbon School District","Community Connection - The Big Picture High School","Male","*","*","*","*","*"
"Litchfield School District","Litchfield High School","Female",46,"*","*","*","*"
"Litchfield School District","Litchfield High School","Male",40,"*","*","*","*"
"Madison School District","Daniel Hand High School","Female",158,"*","*","*","*"
"Madison School District","Daniel Hand High School","Male",158,"*","*","*","*"
"Manchester School District","Manchester High School","Female",211,10,4.7,29,13.7
"Manchester School District","Manchester High School","Male",234,25,10.7,31,13.2
"Meriden School District","Francis T. Maloney High School","Female",166,7,4.2,25,15.1
"Meriden School District","Francis T. Maloney High School","Male",163,24,14.7,28,17.2
