"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Race/Ethnicity"

"",,,,"Graduates",
"District","School","Race/Ethnicity","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Black",17,15,88.2
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*"
"Amistad Academy District","Amistad Academy","Indian or Alaska Native","*","*","*"
"Ansonia School District","Ansonia High School","Black","*","*","*"
"Ansonia School District","Ansonia High School","Hispanic",43,34,79.1
"Ansonia School District","Ansonia High School","Two or More Races","*","*","*"
"Ansonia School District","Ansonia High School","White",71,60,84.5
"Avon School District","Avon High School","Black","*","*","*"
"Avon School District","Avon High School","Hispanic",9,9,100.0
"Avon School District","Avon High School","Two or More Races","*","*","*"
"Avon School District","Avon High School","White",235,231,98.3
"Avon School District","Avon High School","Asian",15,15,100.0
"Avon School District","Avon High School","Hawaiian or Pacific Islander","*","*","*"
"Berlin School District","Berlin High School","Black","*","*","*"
"Berlin School District","Berlin High School","Hispanic",17,16,94.1
"Berlin School District","Berlin High School","Two or More Races","*","*","*"
"Berlin School District","Berlin High School","White",201,193,96.0
"Berlin School District","Berlin High School","Asian",12,10,83.3
"Bethel School District","Bethel High School","Black","*","*","*"
"Bethel School District","Bethel High School","Hispanic",29,24,82.8
"Bethel School District","Bethel High School","Two or More Races","*","*","*"
"Bethel School District","Bethel High School","White",184,174,94.6
"Bethel School District","Bethel High School","Asian",22,21,95.5
"Bloomfield School District","Bloomfield High School","Black",120,110,91.7
"Bloomfield School District","Bloomfield High School","Hispanic",9,6,66.7
"Bloomfield School District","Bloomfield High School","Two or More Races","*","*","*"
"Bloomfield School District","Bloomfield High School","White","*","*","*"
"Bloomfield School District","Bloomfield High School","Asian","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Black",20,20,100.0
"Bloomfield School District","Global Experience Magnet School","Hispanic","*","*","*"
"Bloomfield School District","Global Experience Magnet School","White","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Black",8,"*","*"
"Bolton School District","Bolton High School","Black","*","*","*"
"Bolton School District","Bolton High School","Hispanic","*","*","*"
"Bolton School District","Bolton High School","Two or More Races",6,"*","*"
"Bolton School District","Bolton High School","White",88,85,96.6
"Bolton School District","Bolton High School","Asian","*","*","*"
"Branford School District","Branford High School","Black",12,11,91.7
"Branford School District","Branford High School","Hispanic",22,17,77.3
"Branford School District","Branford High School","Two or More Races",6,6,100.0
"Branford School District","Branford High School","White",230,216,93.9
"Branford School District","Branford High School","Asian",22,21,95.5
"Bridgeport School District","Bassick High School","Black",157,99,63.1
"Bridgeport School District","Bassick High School","Hispanic",156,94,60.3
"Bridgeport School District","Bassick High School","Two or More Races","*","*","*"
"Bridgeport School District","Bassick High School","White",12,8,66.7
"Bridgeport School District","Bassick High School","Asian",18,12,66.7
"Bridgeport School District","Central High School","Black",241,204,84.6
"Bridgeport School District","Central High School","Hispanic",230,176,76.5
"Bridgeport School District","Central High School","Indian or Alaska Native","*","*","*"
"Bridgeport School District","Central High School","Two or More Races","*","*","*"
"Bridgeport School District","Central High School","White",68,52,76.5
"Bridgeport School District","Central High School","Asian",14,14,100.0
"Bridgeport School District","Central High School","Hawaiian or Pacific Islander","*","*","*"
"Bridgeport School District","Harding High School","Black",141,103,73.0
"Bridgeport School District","Harding High School","Hispanic",148,101,68.2
"Bridgeport School District","Harding High School","Indian or Alaska Native","*","*","*"
"Bridgeport School District","Harding High School","White",12,"*","*"
"Bridgeport School District","Harding High School","Asian","*","*","*"
"Bristol School District","Bristol Central High School","Black",20,12,60.0
"Bristol School District","Bristol Central High School","Hispanic",57,43,75.4
"Bristol School District","Bristol Central High School","Indian or Alaska Native","*","*","*"
"Bristol School District","Bristol Central High School","Two or More Races",11,9,81.8
"Bristol School District","Bristol Central High School","White",235,203,86.4
"Bristol School District","Bristol Central High School","Asian",6,6,100.0
"Bristol School District","Bristol Eastern High School","Black",29,23,79.3
"Bristol School District","Bristol Eastern High School","Hispanic",45,29,64.4
"Bristol School District","Bristol Eastern High School","Two or More Races","*","*","*"
"Bristol School District","Bristol Eastern High School","White",258,227,88.0
"Bristol School District","Bristol Eastern High School","Asian",14,13,92.9
"Brookfield School District","Brookfield High School","Black",6,6,100.0
"Brookfield School District","Brookfield High School","Hispanic",6,"*","*"
"Brookfield School District","Brookfield High School","White",213,208,97.7
"Brookfield School District","Brookfield High School","Asian",6,"*","*"
"Canton School District","Canton High School","Black","*","*","*"
"Canton School District","Canton High School","Hispanic","*","*","*"
"Canton School District","Canton High School","Two or More Races","*","*","*"
"Canton School District","Canton High School","White",127,121,95.3
"Canton School District","Canton High School","Asian","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Black",10,8,80.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","Hispanic",11,8,72.7
"Capitol Region Education Council","Academy of Aerospace and Engineering","White",6,6,100.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","Asian",6,6,100.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Black",21,17,81.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Hispanic",28,24,85.7
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Indian or Alaska Native","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Two or More Races","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","White",41,35,85.4
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Black",23,22,95.7
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Hispanic",10,8,80.0
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Two or More Races","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","White",9,9,100.0
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Asian","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Black",58,56,96.6
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Hispanic",11,11,100.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Indian or Alaska Native","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Two or More Races","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","White",20,20,100.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Asian","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Black",16,15,93.8
"Capitol Region Education Council","Public Safety Academy","Hispanic",14,9,64.3
"Capitol Region Education Council","Public Safety Academy","Indian or Alaska Native","*","*","*"
"Capitol Region Education Council","Public Safety Academy","White",14,13,92.9
"Cheshire School District","Cheshire High School","Black",6,6,100.0
"Cheshire School District","Cheshire High School","Hispanic",12,12,100.0
"Cheshire School District","Cheshire High School","White",317,311,98.1
"Cheshire School District","Cheshire High School","Asian",31,31,100.0
"Clinton School District","The Morgan School","Black","*","*","*"
"Clinton School District","The Morgan School","Hispanic",10,9,90.0
"Clinton School District","The Morgan School","Indian or Alaska Native","*","*","*"
"Clinton School District","The Morgan School","Two or More Races","*","*","*"
"Clinton School District","The Morgan School","White",107,103,96.3
"Clinton School District","The Morgan School","Asian","*","*","*"
"Clinton School District","The Morgan School","Hawaiian or Pacific Islander","*","*","*"
"Colchester School District","Bacon Academy","Black",10,10,100.0
"Colchester School District","Bacon Academy","Hispanic",12,12,100.0
"Colchester School District","Bacon Academy","Indian or Alaska Native","*","*","*"
"Colchester School District","Bacon Academy","Two or More Races","*","*","*"
"Colchester School District","Bacon Academy","White",217,207,95.4
"Colchester School District","Bacon Academy","Asian",6,"*","*"
"Common Ground High School District","Common Ground High School","Black",9,9,100.0
"Common Ground High School District","Common Ground High School","Hispanic",13,12,92.3
"Common Ground High School District","Common Ground High School","Two or More Races","*","*","*"
"Common Ground High School District","Common Ground High School","White","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Black",69,66,95.7
"Connecticut Technical High School System","A. I. Prince Technical High School","Hispanic",101,96,95.0
"Connecticut Technical High School System","A. I. Prince Technical High School","White",12,12,100.0
"Connecticut Technical High School System","A. I. Prince Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Black",71,70,98.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","Hispanic",103,90,87.4
"Connecticut Technical High School System","Bullard-Havens Technical High School","White",10,9,90.0
"Connecticut Technical High School System","Bullard-Havens Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Black",22,20,90.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Hispanic",78,78,100.0
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Indian or Alaska Native","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Two or More Races","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","White",36,33,91.7
"Connecticut Technical High School System","Eli Whitney Technical High School","Black",49,47,95.9
"Connecticut Technical High School System","Eli Whitney Technical High School","Hispanic",55,48,87.3
"Connecticut Technical High School System","Eli Whitney Technical High School","White",6,6,100.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Black",10,9,90.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Hispanic",45,41,91.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Indian or Alaska Native","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Two or More Races","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","White",67,65,97.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Hawaiian or Pacific Islander","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Black",10,9,90.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Hispanic",19,18,94.7
"Connecticut Technical High School System","Emmett O'Brien Technical High School","White",95,92,96.8
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Black",7,7,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Hispanic",47,44,93.6
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Two or More Races","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","White",121,118,97.5
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Black","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Hispanic","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Indian or Alaska Native","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Two or More Races","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","White",102,98,96.1
"Connecticut Technical High School System","H. H. Ellis Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Black",8,8,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","Hispanic",58,56,96.6
"Connecticut Technical High School System","Henry Abbott Technical High School","Indian or Alaska Native","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","White",72,68,94.4
"Connecticut Technical High School System","Henry Abbott Technical High School","Asian","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Black",29,28,96.6
"Connecticut Technical High School System","Howell Cheney Technical High School","Hispanic",39,39,100.0
"Connecticut Technical High School System","Howell Cheney Technical High School","Indian or Alaska Native","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Two or More Races",6,6,100.0
