"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,,"Graduates",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Free Lunch",22,18,81.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Free Lunch",82,69,84.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible For Reduced Lunch",31,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Not Eligible For Lunch",40,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Free Lunch",10,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible For Reduced Lunch",9,"*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Not Eligible For Lunch",227,221,97.4
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Free Lunch",26,21,80.8
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Reduced Lunch",6,6,"*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Not Eligible For Lunch",177,170,96.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Free Lunch",36,30,83.3
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Reduced Lunch",20,20,100.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Not Eligible For Lunch",158,155,98.1
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Free Lunch",54,44,81.5
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch",26,"*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Not Eligible For Lunch",52,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch",14,14,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch",10,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Reduced Lunch","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Not Eligible For Lunch",61,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Free Lunch",34,26,76.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Reduced Lunch",18,15,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Not Eligible For Lunch",184,176,95.7
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Eligible For Free Lunch",24,22,91.7
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Free Lunch",274,166,60.6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Reduced Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Free Lunch",500,381,76.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Reduced Lunch",21,19,90.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Not Eligible For Lunch","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Free Lunch",311,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Eligible For Reduced Lunch",9,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Not Eligible For Lunch","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Free Lunch",127,89,70.1
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible For Reduced Lunch",40,33,82.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Not Eligible For Lunch",136,126,92.6
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Free Lunch",98,70,71.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible For Reduced Lunch",38,33,86.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Not Eligible For Lunch",172,164,95.3
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Free Lunch",14,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible For Reduced Lunch",9,"*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Not Eligible For Lunch",206,199,96.6
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible For Free Lunch","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible For Reduced Lunch","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Not Eligible For Lunch",117,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Eligible For Free Lunch",17,11,"*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Eligible For Reduced Lunch",9,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Not Eligible For Lunch",24,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Eligible For Free Lunch",18,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Eligible For Reduced Lunch",6,"*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Not Eligible For Lunch",16,16,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Eligible For Free Lunch",46,40,87.0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Eligible For Reduced Lunch",14,"*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Not Eligible For Lunch",51,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Eligible For Free Lunch",27,24,88.9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Eligible For Reduced Lunch",12,12,"*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Not Eligible For Lunch",42,42,100.0
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Eligible For Free Lunch",23,19,82.6
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Eligible For Reduced Lunch",6,6,"*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Not Eligible For Lunch",7,7,"*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible For Free Lunch","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible For Reduced Lunch","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Not Eligible For Lunch",339,"*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible For Free Lunch",32,23,71.9
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible For Reduced Lunch",9,7,"*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Not Eligible For Lunch",119,115,96.6
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible For Free Lunch",26,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Eligible For Reduced Lunch",12,"*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Not Eligible For Lunch",181,176,97.2
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Eligible For Free Lunch",21,21,100.0
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Eligible For Reduced Lunch","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Not Eligible For Lunch","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Eligible For Free Lunch",144,142,98.6
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Eligible For Reduced Lunch",26,26,100.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Not Eligible For Lunch",21,18,85.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Eligible For Free Lunch",114,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Eligible For Reduced Lunch",35,"*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Not Eligible For Lunch",45,42,93.3
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Eligible For Free Lunch",85,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Eligible For Reduced Lunch",17,"*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Not Eligible For Lunch",32,"*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Eligible For Free Lunch",103,92,89.3
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Eligible For Reduced Lunch",11,"*","*"
