"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",22,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",82,8,9.8,"*","*"
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",31,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",40,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch",10,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch",9,"*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",227,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",26,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",6,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",177,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",36,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",20,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",158,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",54,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",26,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",52,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch",14,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch",7,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch",10,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Reduced Lunch","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",61,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",34,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Reduced Lunch",18,"*","*","*","*"
"Branford School District","Branford High School","Not Eligible For Lunch",184,"*","*",7,3.8
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Eligible For Free Lunch",24,"*","*","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Eligible For Reduced Lunch","*","*","*","*","*"
"Bridgeport Achievement First District","Achievement First Bridgeport Academy","Not Eligible For Lunch","*","*","*","*","*"
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",274,39,14.2,69,25.2
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",12,"*","*","*","*"
"Bridgeport School District","Bassick High School","Not Eligible For Lunch","*","*","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",500,30,6.0,89,17.8
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",21,"*","*","*","*"
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",311,32,10.3,111,35.7
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",9,"*","*","*","*"
"Bridgeport School District","Harding High School","Not Eligible For Lunch","*","*","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",127,11,8.7,27,21.3
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",40,"*","*","*","*"
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",136,"*","*",10,7.4
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",98,9,9.2,19,19.4
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",38,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",172,"*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Free Lunch",14,"*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch",9,"*","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",206,"*","*","*","*"
"Canton School District","Canton High School","Eligible For Free Lunch","*","*","*","*","*"
"Canton School District","Canton High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Canton School District","Canton High School","Not Eligible For Lunch",117,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Eligible For Free Lunch",17,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Eligible For Reduced Lunch",9,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Not Eligible For Lunch",24,"*","*","*","*"
"Capitol Region Education Council","Academy of Science and Innovation","Eligible For Free Lunch",18,"*","*","*","*"
"Capitol Region Education Council","Academy of Science and Innovation","Eligible For Reduced Lunch",6,"*","*","*","*"
"Capitol Region Education Council","Academy of Science and Innovation","Not Eligible For Lunch",16,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Free Lunch",46,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Reduced Lunch",14,"*","*","*","*"
