"Five-Year Graduation Rates, 2013-14"
"All Districts, High Needs"

"",,,"Graduates",,"Non-Graduates",,,
"District","High Needs","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","All Students",23,21,91.3,"*","*","*","*"
"Amistad Academy District","Black",17,16,94.1,"*","*","*","*"
"Amistad Academy District","Eligible For Free Lunch",18,16,88.9,"*","*","*","*"
"Amistad Academy District","Eligible For Lunch",21,19,90.5,"*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Female",15,14,93.3,"*","*","*","*"
"Amistad Academy District","High Needs",21,19,90.5,"*","*","*","*"
"Amistad Academy District","Hispanic","*","*","*","*","*","*","*"
"Amistad Academy District","Indian or Alaska Native","*","*","*","*","*","*","*"
"Amistad Academy District","Male",8,7,87.5,"*","*","*","*"
"Amistad Academy District","Non-ELL",23,21,91.3,"*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Non-Hispanic",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Non-Special Education",22,20,90.9,"*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","All Students",156,125,80.1,"*","*",27,17.3
"Ansonia School District","Black",36,29,80.6,"*","*",7,19.4
"Ansonia School District","Eligible For Free Lunch",88,64,72.7,"*","*",22,25.0
"Ansonia School District","Eligible For Lunch",110,84,76.4,"*","*",23,20.9
"Ansonia School District","Eligible For Reduced Lunch",22,20,90.9,"*","*","*","*"
"Ansonia School District","Female",76,61,80.3,"*","*",13,17.1
"Ansonia School District","High Needs",112,85,75.9,"*","*",23,20.5
"Ansonia School District","Hispanic",43,34,79.1,"*","*",8,18.6
"Ansonia School District","Male",80,64,80.0,"*","*",14,17.5
"Ansonia School District","Non-ELL",153,123,80.4,"*","*",26,17.0
"Ansonia School District","Non-High Needs",44,40,90.9,"*","*","*","*"
"Ansonia School District","Non-Hispanic",113,91,80.5,"*","*",19,16.8
"Ansonia School District","Non-Special Education",140,116,82.9,"*","*",23,16.4
"Ansonia School District","Not Eligible For Lunch",46,41,89.1,"*","*","*","*"
