"Five-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,"Graduates",,"Non-Graduates",,,
"District","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District",27,17,63.0,"*","*","*","*"
"Ansonia School District",188,144,76.6,"*","*","*","*"
"Avon School District",255,250,98.0,"*","*","*","*"
"Berlin School District",261,248,95.0,"*","*","*","*"
"Bethel School District",250,236,94.4,8,3.2,6,2.4
"Bloomfield School District",183,153,83.6,6,3.3,24,13.1
"Bolton School District",73,70,95.9,"*","*","*","*"
"Branford School District",284,269,94.7,"*","*","*","*"
"Bridgeport School District",1424,926,65.0,44,3.1,454,31.9
"Bristol School District",705,585,83.0,14,2.0,106,15.0
"Brookfield School District",264,254,96.2,"*","*","*","*"
"Canton School District",120,114,95.0,"*","*","*","*"
"Capitol Region Education Council",301,261,86.7,"*","*","*","*"
"Cheshire School District",375,364,97.1,"*","*","*","*"
"Clinton School District",145,138,95.2,"*","*","*","*"
"Colchester School District",251,238,94.8,"*","*","*","*"
"Common Ground High School District",38,33,86.8,"*","*","*","*"
"Connecticut Technical High School System",2332,2198,94.3,"*","*","*","*"
"Coventry School District",153,140,91.5,"*","*","*","*"
"Cromwell School District",170,161,94.7,"*","*","*","*"
"Danbury School District",757,617,81.5,17,2.2,123,16.2
"Darien School District",327,317,96.9,"*","*","*","*"
"Derby School District",123,99,80.5,"*","*","*","*"
"East Granby School District",76,74,97.4,"*","*","*","*"
"East Haddam School District",97,90,92.8,"*","*","*","*"
"East Hampton School District",139,127,91.4,"*","*","*","*"
"East Hartford School District",601,505,84.0,7,1.2,89,14.8
"East Haven School District",300,258,86.0,"*","*","*","*"
"East Lyme School District",325,317,97.5,"*","*","*","*"
"East Windsor School District",90,80,88.9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",63,49,77.8,"*","*","*","*"
"Ellington School District",183,174,95.1,"*","*","*","*"
"Enfield School District",519,447,86.1,9,1.7,63,12.1
"Explorations District",30,21,70.0,"*","*","*","*"
"Fairfield School District",655,629,96.0,7,1.1,19,2.9
"Farmington School District",336,321,95.5,"*","*","*","*"
"Glastonbury School District",550,536,97.5,6,1.1,7,1.3
"Granby School District",194,190,97.9,"*","*","*","*"
"Greenwich School District",633,615,97.2,8,1.3,10,1.6
"Griswold School District",201,166,82.6,"*","*","*","*"
"Groton School District",334,273,81.7,"*","*","*","*"
"Guilford School District",271,260,95.9,"*","*","*","*"
"Hamden School District",584,509,87.2,11,1.9,64,11.0
"Hartford School District",1599,1099,68.7,34,2.1,464,29.0
"Killingly School District",196,144,73.5,"*","*","*","*"
"Lebanon School District",160,149,93.1,"*","*","*","*"
"Ledyard School District",232,212,91.4,"*","*","*","*"
"Lisbon School District","*","*","*","*","*","*","*"
"Litchfield School District",95,90,94.7,"*","*","*","*"
"Madison School District",317,308,97.2,"*","*","*","*"
"Manchester School District",532,404,75.9,14,2.6,114,21.4
"Meriden School District",619,464,75.0,13,2.1,142,22.9
"Middletown School District",348,278,79.9,19,5.5,51,14.7
"Milford School District",493,449,91.1,17,3.4,27,5.5
"Monroe School District",367,358,97.5,"*","*","*","*"
"Montville School District",204,177,86.8,"*","*","*","*"
"Naugatuck School District",369,313,84.8,6,1.6,50,13.6
"New Britain School District",752,445,59.2,23,3.1,284,37.8
"New Canaan School District",311,305,98.1,"*","*","*","*"
"New Fairfield School District",240,226,94.2,"*","*","*","*"
"New Haven School District",1436,989,68.9,36,2.5,411,28.6
"New London School District",266,181,68.0,15,5.6,70,26.3
"New Milford School District",402,355,88.3,6,1.5,41,10.2
"Newington School District",412,367,89.1,13,3.2,32,7.8
"Newtown School District",444,427,96.2,"*","*","*","*"
"North Branford School District",197,185,93.9,"*","*","*","*"
"North Haven School District",307,270,87.9,"*","*","*","*"
"North Stonington School District",67,61,91.0,"*","*","*","*"
"Norwalk School District",892,777,87.1,11,1.2,104,11.7
"Norwich Free Academy District",628,520,82.8,12,1.9,93,14.8
"Norwich School District",36,"*","*","*","*",22,61.1
"Old Saybrook School District",122,115,94.3,"*","*","*","*"
"Oxford School District",155,149,96.1,"*","*","*","*"
"Plainfield School District",230,205,89.1,"*","*","*","*"
"Plainville School District",233,211,90.6,"*","*","*","*"
"Plymouth School District",139,134,96.4,"*","*","*","*"
"Portland School District",97,82,84.5,"*","*","*","*"
"Putnam School District",73,63,86.3,"*","*","*","*"
"Regional School District 01",138,119,86.2,"*","*","*","*"
"Regional School District 04",171,153,89.5,"*","*","*","*"
"Regional School District 05",410,385,93.9,"*","*","*","*"
"Regional School District 06",104,93,89.4,"*","*","*","*"
"Regional School District 07",209,200,95.7,"*","*","*","*"
"Regional School District 08",268,236,88.1,"*","*","*","*"
"Regional School District 09",221,215,97.3,"*","*","*","*"
"Regional School District 10",175,170,97.1,"*","*","*","*"
"Regional School District 11",39,28,71.8,"*","*","*","*"
"Regional School District 12",93,81,87.1,"*","*","*","*"
