"Five-Year Graduation Rates, 2012-13"
"All Districts, High Needs Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Non-High Needs","*","*","*","*","*","*","*"
"Ansonia School District","High Needs",156,122,78.2,"*","*","*","*"
"Ansonia School District","Non-High Needs",54,51,94.4,"*","*","*","*"
"Avon School District","High Needs",47,42,89.4,"*","*","*","*"
"Avon School District","Non-High Needs",216,215,99.5,"*","*","*","*"
"Berlin School District","High Needs",52,45,86.5,"*","*","*","*"
"Berlin School District","Non-High Needs",211,208,98.6,"*","*","*","*"
"Bethel School District","High Needs",60,49,81.7,"*","*","*","*"
"Bethel School District","Non-High Needs",173,173,100.0,"*","*","*","*"
"Bloomfield School District","High Needs",95,88,92.6,"*","*","*","*"
"Bloomfield School District","Non-High Needs",66,63,95.5,"*","*","*","*"
"Bolton School District","High Needs",21,19,90.5,"*","*","*","*"
"Bolton School District","Non-High Needs",61,60,98.4,"*","*","*","*"
"Branford School District","High Needs",83,74,89.2,"*","*","*","*"
"Branford School District","Non-High Needs",188,179,95.2,"*","*","*","*"
"Bridgeport School District","High Needs",1209,878,72.6,"*","*","*","*"
"Bridgeport School District","Non-High Needs",9,7,77.8,"*","*","*","*"
"Bristol School District","High Needs",301,225,74.8,"*","*",62,20.6
"Bristol School District","Non-High Needs",328,311,94.8,"*","*",13,4.0
"Brookfield School District","High Needs",41,37,90.2,"*","*","*","*"
"Brookfield School District","Non-High Needs",199,197,99.0,"*","*","*","*"
"Canton School District","High Needs",32,30,93.8,"*","*","*","*"
"Canton School District","Non-High Needs",92,92,100.0,"*","*","*","*"
"Capitol Region Education Council","High Needs",150,122,81.3,"*","*",17,11.3
"Capitol Region Education Council","Non-High Needs",103,94,91.3,"*","*",9,8.7
"Cheshire School District","High Needs",88,75,85.2,"*","*","*","*"
"Cheshire School District","Non-High Needs",296,293,99.0,"*","*","*","*"
"Clinton School District","High Needs",54,44,81.5,"*","*","*","*"
"Clinton School District","Non-High Needs",91,87,95.6,"*","*","*","*"
"Colchester School District","High Needs",56,47,83.9,"*","*","*","*"
"Colchester School District","Non-High Needs",198,194,98.0,"*","*","*","*"
"Common Ground High School District","High Needs",30,28,93.3,"*","*","*","*"
"Common Ground High School District","Non-High Needs",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","High Needs",1441,1384,96.0,"*","*",56,3.9
"Connecticut Technical High School System","Non-High Needs",1032,1015,98.4,"*","*",17,1.6
"Coventry School District","High Needs",43,34,79.1,"*","*","*","*"
"Coventry School District","Non-High Needs",95,91,95.8,"*","*","*","*"
"Cromwell School District","High Needs",43,38,88.4,"*","*","*","*"
"Cromwell School District","Non-High Needs",99,96,97.0,"*","*","*","*"
"Danbury School District","High Needs",442,329,74.4,"*","*",88,19.9
"Danbury School District","Non-High Needs",333,316,94.9,"*","*",17,5.1
"Darien School District","High Needs",45,40,88.9,"*","*","*","*"
"Darien School District","Non-High Needs",271,268,98.9,"*","*","*","*"
"Department of Mental Health and Addiction Services","High Needs","*","*","*","*","*","*","*"
"Derby School District","High Needs",56,41,73.2,"*","*","*","*"
"Derby School District","Non-High Needs",31,29,93.5,"*","*","*","*"
"East Granby School District","High Needs",12,9,75.0,"*","*","*","*"
"East Granby School District","Non-High Needs",59,58,98.3,"*","*","*","*"
"East Haddam School District","High Needs",24,21,87.5,"*","*","*","*"
"East Haddam School District","Non-High Needs",75,75,100.0,"*","*","*","*"
"East Hampton School District","High Needs",27,23,85.2,"*","*","*","*"
"East Hampton School District","Non-High Needs",105,104,99.0,"*","*","*","*"
"East Hartford School District","High Needs",417,335,80.3,"*","*",70,16.8
"East Hartford School District","Non-High Needs",129,121,93.8,"*","*",8,6.2
"East Haven School District","High Needs",139,91,65.5,"*","*",41,29.5
"East Haven School District","Non-High Needs",107,96,89.7,"*","*",10,9.3
"East Lyme School District","High Needs",70,56,80.0,"*","*","*","*"
"East Lyme School District","Non-High Needs",240,239,99.6,"*","*","*","*"
"East Windsor School District","High Needs",51,40,78.4,"*","*","*","*"
"East Windsor School District","Non-High Needs",44,42,95.5,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","High Needs",38,30,78.9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-High Needs",33,30,90.9,"*","*","*","*"
"Ellington School District","High Needs",39,33,84.6,"*","*","*","*"
"Ellington School District","Non-High Needs",159,154,96.9,"*","*","*","*"
"Elm City College Preparatory School District","High Needs","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Non-High Needs","*","*","*","*","*","*","*"
"Enfield School District","High Needs",170,136,80.0,"*","*",27,15.9
"Enfield School District","Non-High Needs",273,264,96.7,"*","*",9,3.3
"Explorations District","High Needs",17,10,58.8,"*","*","*","*"
"Explorations District","Non-High Needs",13,11,84.6,"*","*","*","*"
"Fairfield School District","High Needs",179,151,84.4,"*","*",13,7.3
"Fairfield School District","Non-High Needs",526,514,97.7,"*","*",7,1.3
"Farmington School District","High Needs",64,53,82.8,"*","*","*","*"
"Farmington School District","Non-High Needs",262,262,100.0,"*","*","*","*"
"Glastonbury School District","High Needs",92,80,87.0,"*","*","*","*"
"Glastonbury School District","Non-High Needs",459,457,99.6,"*","*","*","*"
"Granby School District","High Needs",30,26,86.7,"*","*","*","*"
"Granby School District","Non-High Needs",168,166,98.8,"*","*","*","*"
"Greenwich School District","High Needs",190,171,90.0,"*","*","*","*"
"Greenwich School District","Non-High Needs",501,496,99.0,"*","*","*","*"
"Griswold School District","High Needs",73,61,83.6,"*","*","*","*"
"Griswold School District","Non-High Needs",95,91,95.8,"*","*","*","*"
"Groton School District","High Needs",148,108,73.0,"*","*",28,18.9
"Groton School District","Non-High Needs",179,164,91.6,"*","*",14,7.8
"Guilford School District","High Needs",58,49,84.5,"*","*",7,12.1
"Guilford School District","Non-High Needs",222,216,97.3,"*","*",6,2.7
"Hamden School District","High Needs",227,191,84.1,"*","*",27,11.9
"Hamden School District","Non-High Needs",223,212,95.1,"*","*",6,2.7
