"Five-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Non-Graduates",,,,,,,
"",,"Five-Year Still Enrolled Rate by Year",,,,"Five-Year Other Rate by Year",,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Non-Special Education","*","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Ansonia School District","Non-Special Education",19.9,14.9,"*","*","*","*","*","*"
"Ansonia School District","Special Education",27.3,28.0,"*","*","*","*","*","*"
"Avon School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Avon School District","Special Education","*","*","*","*","*","*","*","*"
"Berlin School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Berlin School District","Special Education","*","*","*","*","*","*","*","*"
"Bethel School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Bethel School District","Special Education","*","*","*","*","*","*","*","*"
"Bloomfield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Bloomfield School District","Special Education","*","*","*","*","*","*","*","*"
"Bolton School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Bolton School District","Special Education","*","*","*","*","*","*","*","*"
"Branford School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Branford School District","Special Education","*","*","*","*","*","*","*","*"
"Bridgeport School District","Non-Special Education",30.1,25.7,23.9,21.3,1.7,"*",0.8,1.0
"Bridgeport School District","Special Education",44.1,37.4,33.1,23.1,12.8,"*",10.5,14.7
"Bristol School District","Non-Special Education",14.9,9.9,10.7,10.8,1.3,"*",1.5,"*"
"Bristol School District","Special Education",15.8,12.1,18.4,13.1,7.9,"*",10.2,"*"
"Brookfield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Brookfield School District","Special Education","*","*","*","*","*","*","*","*"
"Canton School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Canton School District","Special Education","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","Non-Special Education","*",12.5,"*",8.5,"*","*","*","*"
"Capitol Region Education Council","Special Education","*",25.8,"*",22.0,"*","*","*","*"
"Cheshire School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Cheshire School District","Special Education","*","*","*","*","*","*","*","*"
"Clinton School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Clinton School District","Special Education","*","*","*","*","*","*","*","*"
"Colchester School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Colchester School District","Special Education","*","*","*","*","*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",5.8,"*","*",2.7,"*","*","*","*"
"Connecticut Technical High School System","Special Education",4.9,"*","*",3.3,"*","*","*","*"
"Coventry School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Coventry School District","Special Education","*","*","*","*","*","*","*","*"
"Cromwell School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Cromwell School District","Special Education","*","*","*","*","*","*","*","*"
"Danbury School District","Non-Special Education",15.5,12.8,12.7,11.7,1.6,"*",1.6,2.2
"Danbury School District","Special Education",22.7,23.5,21.3,16.5,8.0,"*",17.5,16.5
"Darien School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Darien School District","Special Education","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Non-Special Education","N/A","N/A","*","N/A","N/A","N/A","*","N/A"
"Department of Mental Health and Addiction Services","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Derby School District","Non-Special Education","*",16.0,"*","*","*","*","*","*"
"Derby School District","Special Education","*",50.0,"*","*","*","*","*","*"
"East Granby School District","Non-Special Education","*","*","*","*","*","*","*","*"
"East Granby School District","Special Education","*","*","*","*","*","*","*","*"
"East Haddam School District","Non-Special Education","*","*","*","*","*","*","*","*"
"East Haddam School District","Special Education","*","*","*","*","*","*","*","*"
"East Hampton School District","Non-Special Education","*","*","*","*","*","*","*","*"
"East Hampton School District","Special Education","*","*","*","*","*","*","*","*"
"East Hartford School District","Non-Special Education",13.5,14.1,12.3,10.8,"*","*","*",3.3
"East Hartford School District","Special Education",23.2,20.4,25.0,14.3,"*","*","*",11.9
"East Haven School District","Non-Special Education",11.0,18.9,17.6,12.6,"*","*","*","*"
