"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, High Needs Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","High Needs",14,8,57.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs",13,9,69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",99,68,68.7,"*","*",28,28.3
"Ansonia School District","Ansonia High School","Non-High Needs",84,75,89.3,"*","*",9,10.7
"Avon School District","Avon High School","High Needs",31,30,96.8,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",223,219,98.2,"*","*","*","*"
"Berlin School District","Berlin High School","High Needs",43,37,86.0,"*","*",6,14.0
"Berlin School District","Berlin High School","Non-High Needs",217,210,96.8,"*","*",7,3.2
"Bethel School District","Bethel High School","High Needs",42,34,81.0,"*","*","*","*"
"Bethel School District","Bethel High School","Non-High Needs",204,199,97.5,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","High Needs",70,57,81.4,"*","*",10,14.3
"Bloomfield School District","Bloomfield High School","Non-High Needs",97,83,85.6,"*","*",12,12.4
"Bloomfield School District","The Big Picture High School","High Needs","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-High Needs","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","High Needs",9,7,77.8,"*","*","*","*"
"Bolton School District","Bolton High School","Non-High Needs",63,62,98.4,"*","*","*","*"
"Branford School District","Branford High School","High Needs",62,52,83.9,"*","*","*","*"
"Branford School District","Branford High School","Non-High Needs",212,211,99.5,"*","*","*","*"
"Bridgeport School District","Bassick High School","High Needs",326,217,66.6,"*","*",105,32.2
"Bridgeport School District","Bassick High School","Non-High Needs",9,"*","*","*","*","*","*"
"Bridgeport School District","Central High School","High Needs",547,431,78.8,11,2.0,105,19.2
"Bridgeport School District","Central High School","Non-High Needs",49,35,71.4,"*","*","*","*"
"Bridgeport School District","Harding High School","High Needs",411,202,49.1,9,2.2,200,48.7
"Bridgeport School District","Harding High School","Non-High Needs",22,"*","*","*","*",12,54.5
"Bristol School District","Bristol Central High School","High Needs",123,83,67.5,"*","*",38,30.9
"Bristol School District","Bristol Central High School","Non-High Needs",208,180,86.5,"*","*",25,12.0
"Bristol School District","Bristol Eastern High School","High Needs",107,88,82.2,"*","*",17,15.9
