"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",134,112,83.6,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",16,9,56.3,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",244,243,99.6,"*","*","*","*"
"Avon School District","Avon High School","Special Education",25,24,96.0,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",202,199,98.5,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",30,27,90.0,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",212,204,96.2,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",32,27,84.4,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",120,116,96.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Special Education",14,9,64.3,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education",22,22,100.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education",6,"*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",93,92,98.9,"*","*","*","*"
"Bolton School District","Bolton High School","Special Education",7,6,85.7,"*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",254,236,92.9,"*","*","*","*"
"Branford School District","Branford High School","Special Education",41,37,90.2,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",298,206,69.1,8,2.7,84,28.2
"Bridgeport School District","Bassick High School","Special Education",40,22,55.0,7,17.5,"*","*"
"Bridgeport School District","Central High School","Non-Special Education",504,426,84.5,"*","*",77,15.3
"Bridgeport School District","Central High School","Special Education",51,41,80.4,7,13.7,"*","*"
"Bridgeport School District","Harding High School","Non-Special Education",264,197,74.6,"*","*",66,25.0
"Bridgeport School District","Harding High School","Special Education",43,22,51.2,"*","*",18,41.9
"Bristol School District","Bristol Central High School","Non-Special Education",284,250,88.0,"*","*",34,12.0
"Bristol School District","Bristol Central High School","Special Education",43,37,86.0,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",279,252,90.3,"*","*",23,8.2
"Bristol School District","Bristol Eastern High School","Special Education",64,54,84.4,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",210,209,99.5,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",20,20,100.0,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",117,116,99.1,"*","*","*","*"
"Canton School District","Canton High School","Special Education",17,14,82.4,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education",29,28,96.6,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",86,76,88.4,"*","*",10,11.6
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education",8,7,87.5,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-Special Education",44,42,95.5,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",93,88,94.6,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-Special Education",39,34,87.2,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Special Education",6,"*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",326,326,100.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",38,35,92.1,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",119,115,96.6,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",9,7,77.8,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",220,217,98.6,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",27,24,88.9,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",166,158,95.2,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",17,17,100.0,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",184,169,91.8,"*","*",14,7.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",130,125,96.2,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",13,13,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",100,92,92.0,"*","*",8,8.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education",10,10,100.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",118,111,94.1,"*","*",6,5.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",120,118,98.3,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",167,165,98.8,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",10,8,80.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",103,99,96.1,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",121,117,96.7,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",22,21,95.5,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",145,144,99.3,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",142,139,97.9,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Special Education",13,13,100.0,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-Special Education",136,132,97.1,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-Special Education",191,187,97.9,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Special Education",16,16,100.0,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-Special Education",120,115,95.8,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Special Education",21,18,85.7,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-Special Education",182,180,98.9,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-Special Education",112,110,98.2,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Special Education",17,17,100.0,"*","*","*","*"
"Coventry School District","Coventry High School","Non-Special Education",110,109,99.1,"*","*","*","*"
"Coventry School District","Coventry High School","Special Education",20,20,100.0,"*","*","*","*"
"Cromwell School District","Cromwell High School","Non-Special Education",124,"*","*","*","*","*","*"
"Cromwell School District","Cromwell High School","Special Education",8,"*","*","*","*","*","*"
"Danbury School District","Danbury High School","Non-Special Education",632,561,88.8,8,1.3,63,10.0
"Danbury School District","Danbury High School","Special Education",70,49,70.0,11,15.7,10,14.3
"Darien School District","Darien High School","Non-Special Education",278,276,99.3,"*","*","*","*"
"Darien School District","Darien High School","Special Education",51,48,94.1,"*","*","*","*"
"Derby School District","Derby High School","Non-Special Education",87,77,88.5,"*","*","*","*"
"Derby School District","Derby High School","Special Education",15,11,73.3,"*","*","*","*"
"East Granby School District","East Granby High School","Non-Special Education","*","*","*","*","*","*","*"
"East Granby School District","East Granby High School","Special Education","*","*","*","*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Non-Special Education",87,85,97.7,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Special Education",13,11,84.6,"*","*","*","*"
"East Hampton School District","East Hampton High School","Non-Special Education","*","*","*","*","*","*","*"
"East Hampton School District","East Hampton High School","Special Education","*","*","*","*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-Special Education",45,44,97.8,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Special Education","*","*","*","*","*","*","*"
"East Hartford School District","East Hartford High School","Non-Special Education",307,271,88.3,13,4.2,23,7.5
"East Hartford School District","East Hartford High School","Special Education",44,34,77.3,7,15.9,"*","*"
"East Hartford School District","Stevens Alternate High school","Non-Special Education",63,41,65.1,"*","*",21,33.3
"East Hartford School District","Stevens Alternate High school","Special Education","*","*","*","*","*",6,33.3
"East Haven School District","East Haven High School","Non-Special Education",222,191,86.0,"*","*",27,12.2
"East Haven School District","East Haven High School","Special Education",29,20,69.0,"*","*",8,27.6
"East Lyme School District","East Lyme High School","Non-Special Education",237,233,98.3,"*","*","*","*"
"East Lyme School District","East Lyme High School","Special Education",24,23,95.8,"*","*","*","*"
"East Windsor School District","East Windsor High School","Non-Special Education",92,86,93.5,"*","*","*","*"
"East Windsor School District","East Windsor High School","Special Education",14,14,100.0,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-Special Education",30,28,93.3,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Special Education","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-Special Education",26,16,61.5,"*","*",10,38.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Special Education","*","*","*","*","*","*","*"
"Ellington School District","Ellington High School","Non-Special Education",172,167,97.1,"*","*","*","*"
"Ellington School District","Ellington High School","Special Education",22,19,86.4,"*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Non-Special Education","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Special Education","*","*","*","*","*","*","*"
"Enfield School District","Enfield High School","Non-Special Education",173,150,86.7,"*","*",23,13.3
"Enfield School District","Enfield High School","Special Education",17,11,64.7,"*","*",6,35.3
"Enfield School District","Enrico Fermi High School","Non-Special Education",191,182,95.3,"*","*",9,4.7
"Enfield School District","Enrico Fermi High School","Special Education",41,33,80.5,"*","*",6,14.6
"Explorations District","Explorations","Non-Special Education",17,13,76.5,"*","*","*","*"
"Explorations District","Explorations","Special Education",9,8,88.9,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-Special Education",320,311,97.2,"*","*",8,2.5
"Fairfield School District","Fairfield Ludlowe High School","Special Education",39,35,89.7,"*","*","*","*"
"Fairfield School District","Fairfield Warde High School","Non-Special Education",324,318,98.1,"*","*",6,1.9
"Fairfield School District","Fairfield Warde High School","Special Education",28,23,82.1,"*","*","*","*"
"Farmington School District","Farmington High School","Non-Special Education",299,299,100.0,"*","*","*","*"
"Farmington School District","Farmington High School","Special Education",37,31,83.8,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Non-Special Education",515,513,99.6,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Special Education",50,48,96.0,"*","*","*","*"
"Granby School District","Granby Memorial High School","Non-Special Education",180,176,97.8,"*","*","*","*"
"Granby School District","Granby Memorial High School","Special Education",19,17,89.5,"*","*","*","*"
"Greenwich School District","Greenwich High School","Non-Special Education",577,569,98.6,"*","*","*","*"
"Greenwich School District","Greenwich High School","Special Education",79,76,96.2,"*","*","*","*"
"Griswold School District","Griswold High School","Non-Special Education",141,129,91.5,"*","*",11,7.8
"Griswold School District","Griswold High School","Special Education",25,18,72.0,"*","*",7,28.0
"Groton School District","Robert E. Fitch High School","Non-Special Education",275,241,87.6,"*","*","*","*"
"Groton School District","Robert E. Fitch High School","Special Education",38,29,76.3,"*","*","*","*"
"Guilford School District","Guilford High School","Non-Special Education",253,247,97.6,"*","*","*","*"
"Guilford School District","Guilford High School","Special Education",26,20,76.9,"*","*","*","*"
"Hamden School District","Hamden High School","Non-Special Education",390,375,96.2,"*","*","*","*"
"Hamden School District","Hamden High School","Special Education",46,39,84.8,"*","*","*","*"
"Hartford School District","Bulkeley High School Upper School","Non-Special Education",166,132,79.5,"*","*",31,18.7
"Hartford School District","Bulkeley High School Upper School","Special Education",31,27,87.1,"*","*","*","*"
"Hartford School District","Capital Preparatory Magnet School","Non-Special Education",50,49,98.0,"*","*","*","*"
"Hartford School District","Capital Preparatory Magnet School","Special Education","*","*","*","*","*","*","*"
"Hartford School District","Classical Magnet School","Non-Special Education",80,79,98.8,"*","*","*","*"
"Hartford School District","Classical Magnet School","Special Education","*","*","*","*","*","*","*"
"Hartford School District","Culinary Arts Academy","Non-Special Education",73,51,69.9,"*","*",19,26.0
"Hartford School District","Culinary Arts Academy","Special Education",22,13,59.1,6,27.3,"*","*"
"Hartford School District","Great Path Academy High School at MCC","Non-Special Education",46,45,97.8,"*","*","*","*"
"Hartford School District","Great Path Academy High School at MCC","Special Education",6,6,100.0,"*","*","*","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology","Non-Special Education",68,51,75.0,"*","*",16,23.5
"Hartford School District","HPHS Academy of Engineering and Green Technology","Special Education",15,6,40.0,"*","*",8,53.3
"Hartford School District","HPHS Academy of Nursing and Health Science","Non-Special Education",112,86,76.8,"*","*",24,21.4
"Hartford School District","HPHS Academy of Nursing and Health Science","Special Education",18,10,55.6,"*","*",7,38.9
"Hartford School District","HPHS Law and Government Academy","Non-Special Education",106,85,80.2,"*","*",18,17.0
"Hartford School District","HPHS Law and Government Academy","Special Education",12,8,66.7,"*","*","*","*"
"Hartford School District","High School Inc.","Non-Special Education",58,40,69.0,"*","*",16,27.6
"Hartford School District","High School Inc.","Special Education",14,10,71.4,"*","*","*","*"
"Hartford School District","Journalism and Media Academy Magnet School","Non-Special Education",56,45,80.4,"*","*",11,19.6
"Hartford School District","Journalism and Media Academy Magnet School","Special Education",15,11,73.3,"*","*","*","*"
"Hartford School District","OPPortunity High School","Non-Special Education",50,25,50.0,"*","*",25,50.0
"Hartford School District","OPPortunity High School","Special Education",12,9,75.0,"*","*","*","*"
"Hartford School District","Pathways Academy of Technology and Design","Non-Special Education",60,60,100.0,"*","*","*","*"
"Hartford School District","Pathways Academy of Technology and Design","Special Education",11,9,81.8,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy","Non-Special Education",92,89,96.7,"*","*","*","*"
"Hartford School District","Sports and Medical Sciences Academy","Special Education",8,7,87.5,"*","*","*","*"
"Hartford School District","University High of Science and Engineering","Non-Special Education",74,70,94.6,"*","*","*","*"
"Hartford School District","University High of Science and Engineering","Special Education",6,"*","*","*","*","*","*"
"Killingly School District","Killingly High School","Non-Special Education",181,156,86.2,"*","*","*","*"
"Killingly School District","Killingly High School","Special Education",22,17,77.3,"*","*","*","*"
"Learn","Connecticut River Academy","Non-Special Education",85,81,95.3,"*","*","*","*"
"Learn","Connecticut River Academy","Special Education",11,9,81.8,"*","*","*","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","Non-Special Education",23,22,95.7,"*","*","*","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","Special Education","*","*","*","*","*","*","*"
"Learn","Three Rivers Middle College Magnet School","Non-Special Education",30,29,96.7,"*","*","*","*"
"Learn","Three Rivers Middle College Magnet School","Special Education","*","*","*","*","*","*","*"
"Lebanon School District","Lyman Memorial High School","Non-Special Education",95,92,96.8,"*","*","*","*"
"Lebanon School District","Lyman Memorial High School","Special Education",8,7,87.5,"*","*","*","*"
"Ledyard School District","Ledyard High School","Non-Special Education",201,197,98.0,"*","*","*","*"
