"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Gender"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female",15,12,80.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",8,7,87.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",72,58,80.6,"*","*",12,16.7
"Ansonia School District","Ansonia High School","Male",78,62,79.5,"*","*",15,19.2
"Avon School District","Avon High School","Female",147,147,100.0,"*","*","*","*"
"Avon School District","Avon High School","Male",122,118,96.7,"*","*","*","*"
"Berlin School District","Berlin High School","Female",114,110,96.5,"*","*","*","*"
"Berlin School District","Berlin High School","Male",120,113,94.2,"*","*","*","*"
"Bethel School District","Bethel High School","Female",117,111,94.9,6,5.1,"*","*"
"Bethel School District","Bethel High School","Male",127,115,90.6,6,4.7,"*","*"
"Bloomfield School District","Bloomfield High School","Female",64,60,93.8,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Male",69,60,87.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Female",16,16,100.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Male",10,9,90.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Female","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Male","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",53,51,96.2,"*","*","*","*"
"Bolton School District","Bolton High School","Male",48,45,93.8,"*","*","*","*"
"Branford School District","Branford High School","Female",149,142,95.3,"*","*",6,4.0
"Branford School District","Branford High School","Male",143,129,90.2,"*","*",11,7.7
"Bridgeport School District","Bassick High School","Female",163,112,68.7,16,9.8,35,21.5
"Bridgeport School District","Bassick High School","Male",184,104,56.5,32,17.4,48,26.1
"Bridgeport School District","Central High School","Female",290,246,84.8,11,3.8,33,11.4
"Bridgeport School District","Central High School","Male",272,207,76.1,25,9.2,40,14.7
"Bridgeport School District","Harding High School","Female",154,124,80.5,7,4.5,23,14.9
"Bridgeport School District","Harding High School","Male",151,89,58.9,10,6.6,52,34.4
"Bristol School District","Bristol Central High School","Female",156,136,87.2,"*","*",12,7.7
"Bristol School District","Bristol Central High School","Male",174,138,79.3,15,8.6,21,12.1
"Bristol School District","Bristol Eastern High School","Female",175,160,91.4,"*","*",10,5.7
"Bristol School District","Bristol Eastern High School","Male",175,135,77.1,22,12.6,18,10.3
"Brookfield School District","Brookfield High School","Female",116,112,96.6,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",115,113,98.3,"*","*","*","*"
"Canton School District","Canton High School","Female",65,63,96.9,"*","*","*","*"
"Canton School District","Canton High School","Male",70,65,92.9,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Female",17,15,88.2,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Male",16,"*","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",76,62,81.6,"*","*",11,14.5
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",19,18,94.7,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Female",41,39,95.1,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Male","*","*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",50,48,96.0,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",46,44,95.7,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Female","*","*","*","*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Male",31,25,80.6,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",186,184,98.9,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",180,176,97.8,"*","*","*","*"
"Clinton School District","The Morgan School","Female",58,55,94.8,"*","*","*","*"
"Clinton School District","The Morgan School","Male",70,66,94.3,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",140,135,96.4,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",108,102,94.4,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",15,14,93.3,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",14,12,85.7,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",96,91,94.8,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",87,84,96.6,"*","*","*","*"
