"Incident Counts, 2014-15"
"All Districts"

"",,"Incident Type",,,,,,,,,
"District","District Code","Violent Crimes Against Persons","Sexually Related Behavior","Personally Threatening Behavior","Theft Related Behaviors","Physical and Verbal Confrontation","Fighting and Battery","Property Damage","Weapons","Drugs, Alcohol, Tobacco","School Policy Violations"
"Achievement First Hartford Academy Inc. District","=""2880013""",0,17,55,"*",210,76,"*","*","*",714
"Amistad Academy District","=""2790013""",0,"*",40,13,201,47,"*",0,0,1024
"Andover School District","=""0010011""",0,"*","*",0,0,0,0,0,0,0
"Ansonia School District","=""0020011""","*",7,26,"*",15,59,13,"*",6,168
"Area Cooperative Educational Services","=""2440014""","*",11,95,7,151,155,7,"*",7,176
"Ashford School District","=""0030011""",0,"*","*",0,13,8,0,"*","*",11
"Avon School District","=""0040011""","*",0,7,7,18,16,"*","*",6,35
"Barkhamsted School District","=""0050011""",0,0,0,0,0,"*",0,0,0,7
"Berlin School District","=""0070011""","*","*",18,12,23,29,"*",0,14,84
"Bethany School District","=""0080011""",0,0,"*",0,8,"*","*",0,0,"*"
"Bethel School District","=""0090011""",0,16,43,17,30,27,8,8,22,324
"Bloomfield School District","=""0110011""","*",7,25,18,125,89,"*",8,11,280
"Bolton School District","=""0120011""","*","*",10,"*",12,14,"*","*",8,42
"Booker T. Washington Academy District","=""2950013""",0,0,"*",0,30,23,"*",0,0,22
"Bozrah School District","=""0130011""",0,"*",0,0,0,"*",0,0,0,"*"
"Branford School District","=""0140011""","*","*",25,8,38,12,"*","*",32,286
"Brass City Charter School District","=""2900013""",0,0,0,0,"*",17,0,0,0,"*"
"Bridgeport Achievement First District","=""2850013""","*","*",12,19,231,180,"*","*","*",1220
"Bridgeport School District","=""0150011""",48,103,548,153,1758,2331,130,70,107,5283
"Bristol School District","=""0170011""",11,31,161,34,137,247,15,14,61,920
"Brookfield School District","=""0180011""",0,6,15,"*","*",16,0,0,36,57
"Brooklyn School District","=""0190011""",0,7,10,"*",28,"*","*",0,"*",58
"Canaan School District","=""0210011""",0,"*","*",0,0,0,0,0,0,0
"Canterbury School District","=""0220011""",0,0,7,"*","*","*",0,0,0,8
"Canton School District","=""0230011""",0,0,8,"*","*","*","*",0,"*",9
"Capitol Region Education Council","=""2410014""",6,18,78,47,82,403,22,20,40,1104
"Cheshire School District","=""0250011""","*",8,45,7,15,34,"*","*",98,102
"Chester School District","=""0260011""",0,0,"*",0,"*",0,0,0,0,"*"
"Clinton School District","=""0270011""",0,"*",14,"*",13,9,0,0,18,142
"Colchester School District","=""0280011""",0,0,23,9,9,28,6,9,26,146
"Colebrook School District","=""0290011""",0,0,0,"*","*",0,0,0,0,"*"
"Columbia School District","=""0300011""",0,"*","*","*",14,10,0,"*",0,17
"Common Ground High School District","=""2680013""",0,0,"*",0,"*","*",0,0,"*",9
