"Primary Disability (K-12), 2011-12"
"All Districts, Speech Language Impairment"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",6,2.1,30.0
"Ansonia School District","=""0020011""",43,1.6,14.4
"Ashford School District","=""0030011""",17,3.9,36.2
"Avon School District","=""0040011""",80,2.3,21.6
"Barkhamsted School District","=""0050011""",10,2.9,34.5
"Berlin School District","=""0070011""",79,2.6,26.9
"Bethany School District","=""0080011""",17,3.5,27.0
"Bethel School District","=""0090011""",48,1.6,15.3
"Bloomfield School District","=""0110011""",54,2.4,22.4
"Bolton School District","=""0120011""",8,1.0,9.2
"Bozrah School District","=""0130011""",8,2.4,19.5
"Branford School District","=""0140011""",98,2.9,21.7
"Bridgeport School District","=""0150011""",431,2.0,15.8
"Bristol School District","=""0170011""",220,2.6,18.2
"Brookfield School District","=""0180011""",44,1.5,17.7
"Brooklyn School District","=""0190011""",22,1.8,16.3
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",8,1.1,11.4
"Canton School District","=""0230011""",21,1.2,12.9
"Chaplin School District","=""0240011""",9,5.9,60.0
"Cheshire School District","=""0250011""",66,1.4,14.1
"Chester School District","=""0260011""",7,2.7,21.2
"Clinton School District","=""0270011""",47,2.4,22.1
"Colchester School District","=""0280011""",108,3.6,31.2
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",7,1.0,12.3
"Connecticut Technical High School System","=""9000016""",46,0.4,6.1
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",32,1.7,15.7
"Cromwell School District","=""0330011""",61,3.0,30.0
"Danbury School District","=""0340011""",155,1.5,14.3
"Darien School District","=""0350011""",123,2.6,21.1
"Deep River School District","=""0360011""","*","*","*"
"Derby School District","=""0370011""",55,3.6,34.0
"East Granby School District","=""0400011""",17,1.9,20.0
"East Haddam School District","=""0410011""",51,4.0,31.5
"East Hampton School District","=""0420011""",35,1.8,24.5
"East Hartford School District","=""0430011""",276,3.5,25.3
"East Haven School District","=""0440011""",109,3.1,25.2
"East Lyme School District","=""0450011""",30,1.1,9.0
"East Windsor School District","=""0470011""",20,1.5,12.0
"Eastford School District","=""0390011""",13,5.7,44.8
"Easton School District","=""0460011""",15,1.4,20.0
"Ellington School District","=""0480011""",37,1.3,13.6
"Enfield School District","=""0490011""",180,3.1,24.0
"Essex School District","=""0500011""",18,3.4,42.9
"Fairfield School District","=""0510011""",201,2.0,19.0
"Farmington School District","=""0520011""",76,1.9,18.9
"Franklin School District","=""0530011""",8,2.9,25.8
"Glastonbury School District","=""0540011""",104,1.5,16.9
"Granby School District","=""0560011""",41,1.9,21.8
"Greenwich School District","=""0570011""",193,2.2,22.4
"Griswold School District","=""0580011""",33,1.8,14.7
"Groton School District","=""0590011""",121,2.4,17.7
"Guilford School District","=""0600011""",48,1.3,12.8
"Hamden School District","=""0620011""",161,2.4,19.8
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",427,2.1,13.6
"Hartland School District","=""0650011""",14,4.5,45.2
"Hebron School District","=""0670011""",41,4.1,38.7
"Kent School District","=""0680011""",9,3.4,29.0
"Killingly School District","=""0690011""",72,2.9,20.1
"Lebanon School District","=""0710011""",30,2.6,21.4
"Ledyard School District","=""0720011""",52,2.1,16.6
"Lisbon School District","=""0730011""",22,3.5,26.5
"Litchfield School District","=""0740011""",34,3.0,28.1
"Madison School District","=""0760011""",27,0.8,7.7
"Manchester School District","=""0770011""",206,2.9,21.0
"Mansfield School District","=""0780011""",24,1.9,15.8
"Marlborough School District","=""0790011""",7,1.1,14.3
"Meriden School District","=""0800011""",171,1.9,13.5
"Middletown School District","=""0830011""",136,2.6,22.0
"Milford School District","=""0840011""",215,3.1,26.2
"Monroe School District","=""0850011""",51,1.4,14.9
"Montville School District","=""0860011""",51,2.0,18.1
"Naugatuck School District","=""0880011""",79,1.7,14.1
"New Britain School District","=""0890011""",173,1.6,11.3
"New Canaan School District","=""0900011""",120,2.9,30.1
"New Fairfield School District","=""0910011""",55,2.0,19.7
"New Hartford School District","=""0920011""",29,5.0,48.3
"New Haven School District","=""0930011""",307,1.7,13.9
"New London School District","=""0950011""",107,3.1,18.1
"New Milford School District","=""0960011""",91,2.0,14.9
"Newington School District","=""0940011""",87,2.0,16.7
"Newtown School District","=""0970011""",95,1.8,23.4
"Norfolk School District","=""0980011""",8,7.4,50.0
"North Branford School District","=""0990011""",81,3.6,30.7
"North Canaan School District","=""1000011""",16,5.6,42.1
"North Haven School District","=""1010011""",51,1.4,14.9
"North Stonington School District","=""1020011""",18,2.4,25.0
"Norwalk School District","=""1030011""",222,2.0,20.3
"Norwich School District","=""1040011""",136,2.5,15.8
"Old Saybrook School District","=""1060011""",33,2.2,17.8
"Orange School District","=""1070011""",49,3.9,38.3
"Oxford School District","=""1080011""",21,1.0,15.7
