"Primary Disability (K-12), 2013-14"
"All Districts, All Disabilities"

"",,"2013-14",
"District","District Code","Count","Overall Prevalence Rate (%)"
"Andover School District","=""0010011""",19,6.8
"Ansonia School District","=""0020011""",338,13.7
"Ashford School District","=""0030011""",47,12.1
"Avon School District","=""0040011""",348,10.2
"Barkhamsted School District","=""0050011""",36,12.2
"Berlin School District","=""0070011""",305,10.0
"Bethany School District","=""0080011""",52,12.3
"Bethel School District","=""0090011""",316,10.9
"Bloomfield School District","=""0110011""",236,11.1
"Bolton School District","=""0120011""",85,10.5
"Bozrah School District","=""0130011""",37,11.0
"Branford School District","=""0140011""",419,13.0
"Bridgeport School District","=""0150011""",2815,12.8
"Bristol School District","=""0170011""",1292,15.6
"Brookfield School District","=""0180011""",316,11.4
"Brooklyn School District","=""0190011""",141,12.0
"Canaan School District","=""0210011""",11,14.3
"Canterbury School District","=""0220011""",67,10.3
"Canton School District","=""0230011""",165,9.6
"Chaplin School District","=""0240011""",21,13.4
"Cheshire School District","=""0250011""",467,10.2
"Chester School District","=""0260011""",35,15.3
"Clinton School District","=""0270011""",203,10.4
"Colchester School District","=""0280011""",361,13.0
"Colebrook School District","=""0290011""",15,14.9
"Columbia School District","=""0300011""",69,9.9
"Connecticut Technical High School System","=""9000016""",879,8.2
"Cornwall School District","=""0310011""",19,18.4
"Coventry School District","=""0320011""",213,12.0
"Cromwell School District","=""0330011""",205,10.2
"Danbury School District","=""0340011""",1195,11.4
"Darien School District","=""0350011""",522,10.7
"Deep River School District","=""0360011""",43,12.9
"Department of Mental Health and Addiction Services","=""3370015""","*","*"
"Derby School District","=""0370011""",205,12.9
"East Granby School District","=""0400011""",84,9.3
"East Haddam School District","=""0410011""",174,14.4
"East Hampton School District","=""0420011""",154,7.9
"East Hartford School District","=""0430011""",1118,14.2
"East Haven School District","=""0440011""",435,12.9
"East Lyme School District","=""0450011""",335,12.7
"East Windsor School District","=""0470011""",198,15.2
"Eastford School District","=""0390011""",22,11.0
"Easton School District","=""0460011""",85,9.0
"Ellington School District","=""0480011""",296,10.9
"Enfield School District","=""0490011""",750,13.8
"Essex School District","=""0500011""",45,9.9
"Fairfield School District","=""0510011""",1083,10.6
"Farmington School District","=""0520011""",436,10.8
"Franklin School District","=""0530011""",34,13.2
"Glastonbury School District","=""0540011""",614,9.4
"Granby School District","=""0560011""",192,9.4
"Greenwich School District","=""0570011""",854,10.0
"Griswold School District","=""0580011""",254,14.2
"Groton School District","=""0590011""",728,15.0
"Guilford School District","=""0600011""",373,10.5
"Hamden School District","=""0620011""",873,13.0
"Hampton School District","=""0630011""",15,15.3
"Hartford School District","=""0640011""",3416,16.8
"Hartland School District","=""0650011""",32,11.4
"Hebron School District","=""0670011""",95,11.3
"Kent School District","=""0680011""",25,9.9
"Killingly School District","=""0690011""",378,15.8
"Lebanon School District","=""0710011""",156,14.1
"Ledyard School District","=""0720011""",344,14.0
"Lisbon School District","=""0730011""",85,13.9
"Litchfield School District","=""0740011""",110,11.1
"Madison School District","=""0760011""",358,11.0
"Manchester School District","=""0770011""",891,12.6
"Mansfield School District","=""0780011""",140,11.9
"Marlborough School District","=""0790011""",52,8.7
"Meriden School District","=""0800011""",1410,15.8
"Middletown School District","=""0830011""",603,11.9
"Milford School District","=""0840011""",802,12.4
"Monroe School District","=""0850011""",358,10.6
"Montville School District","=""0860011""",280,11.3
"Naugatuck School District","=""0880011""",603,13.4
"New Britain School District","=""0890011""",1635,15.2
"New Canaan School District","=""0900011""",362,8.7
"New Fairfield School District","=""0910011""",257,9.8
"New Hartford School District","=""0920011""",53,9.8
"New Haven School District","=""0930011""",2423,12.8
"New London School District","=""0950011""",646,18.8
"New Milford School District","=""0960011""",582,13.3
"Newington School District","=""0940011""",532,12.3
"Newtown School District","=""0970011""",406,8.3
"Norfolk School District","=""0980011""",17,17.0
"North Branford School District","=""0990011""",289,13.9
"North Canaan School District","=""1000011""",44,15.4
"North Haven School District","=""1010011""",371,10.8
"North Stonington School District","=""1020011""",65,8.8
"Norwalk School District","=""1030011""",1221,10.8
"Norwich School District","=""1040011""",875,15.9
"Old Saybrook School District","=""1060011""",210,15.1
"Orange School District","=""1070011""",109,9.3
"Oxford School District","=""1080011""",208,10.0
"Plainfield School District","=""1090011""",276,11.9
"Plainville School District","=""1100011""",326,13.7
"Plymouth School District","=""1110011""",233,13.8
"Pomfret School District","=""1120011""",65,10.7
"Portland School District","=""1130011""",127,8.9
"Preston School District","=""1140011""",91,14.7
"Putnam School District","=""1160011""",191,16.3
"Redding School District","=""1170011""",130,12.8
"Regional School District 01","=""2010012""",61,14.2
"Regional School District 04","=""2040012""",145,14.5
"Regional School District 05","=""2050012""",269,11.2
"Regional School District 06","=""2060012""",111,13.4
"Regional School District 07","=""2070012""",121,11.4
"Regional School District 08","=""2080012""",220,12.0
"Regional School District 09","=""2090012""",125,11.5
"Regional School District 10","=""2100012""",252,9.7
"Regional School District 11","=""2110012""",63,19.7
"Regional School District 12","=""2120012""",126,16.6
"Regional School District 13","=""2130012""",273,14.6
"Regional School District 14","=""2140012""",184,11.2
"Regional School District 15","=""2150012""",470,11.7
"Regional School District 16","=""2160012""",287,12.3
"Regional School District 17","=""2170012""",320,14.2
"Regional School District 18","=""2180012""",161,11.6
"Regional School District 19","=""2190012""",167,16.3
"Ridgefield School District","=""1180011""",451,8.6
"Rocky Hill School District","=""1190011""",226,8.9
"Salem School District","=""1210011""",67,10.1
"Salisbury School District","=""1220011""",31,11.7
"Scotland School District","=""1230011""",20,17.4
"Seymour School District","=""1240011""",256,10.8
"Sharon School District","=""1250011""",35,22.0
"Shelton School District","=""1260011""",609,12.0
"Sherman School District","=""1270011""",66,12.4
"Simsbury School District","=""1280011""",536,12.1
"Somers School District","=""1290011""",171,11.3
"South Windsor School District","=""1320011""",555,12.7
"Southington School District","=""1310011""",783,11.7
"Sprague School District","=""1330011""",45,10.2
"Stafford School District","=""1340011""",182,11.6
"Stamford School District","=""1350011""",1659,10.5
"Sterling School District","=""1360011""",89,14.5
"Stonington School District","=""1370011""",307,13.1
"Stratford School District","=""1380011""",754,10.3
"Suffield School District","=""1390011""",244,10.5
"Thomaston School District","=""1400011""",139,13.0
"Thompson School District","=""1410011""",118,10.8
"Tolland School District","=""1420011""",297,10.8
"Torrington School District","=""1430011""",737,16.4
"Trumbull School District","=""1440011""",602,9.2
"Unified School District #1","=""3360015""",233,43.2
"Unified School District #2","=""3470015""",155,68.0
"Union School District","=""1450011""",11,10.2
"Vernon School District","=""1460011""",470,13.5
"Voluntown School District","=""1470011""",41,10.7
"Wallingford School District","=""1480011""",717,12.0
"Waterbury School District","=""1510011""",3093,17.6
"Waterford School District","=""1520011""",372,13.4
"Watertown School District","=""1530011""",347,11.9
"West Hartford School District","=""1550011""",1130,11.2
"West Haven School District","=""1560011""",911,13.0
"Westbrook School District","=""1540011""",83,10.1
"Weston School District","=""1570011""",202,8.4
"Westport School District","=""1580011""",555,9.7
"Wethersfield School District","=""1590011""",474,12.2
"Willington School District","=""1600011""",59,13.4
"Wilton School District","=""1610011""",512,12.0
"Winchester School District","=""1620011""",239,19.0
"Windham School District","=""1630011""",486,15.7
"Windsor Locks School District","=""1650011""",208,11.8
"Windsor School District","=""1640011""",571,14.7
"Wolcott School District","=""1660011""",227,8.8
"Woodbridge School District","=""1670011""",59,7.8
"Woodstock School District","=""1690011""",106,8.2

