"Primary Disability (K-12), 2015-16"
"All Districts, Autism"

"",,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",50,2.0,11.1
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",53,1.6,18.3
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",38,1.3,11.3
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",38,1.3,12.0
"Bloomfield School District","=""0110011""",26,1.2,8.3
"Bolton School District","=""0120011""",6,0.8,6.9
"Bozrah School District","=""0130011""",6,2.0,18.2
"Branford School District","=""0140011""",36,1.2,8.6
"Bridgeport School District","=""0150011""",285,1.2,8.4
"Bristol School District","=""0170011""",96,1.2,6.9
"Brookfield School District","=""0180011""",47,1.7,14.0
"Brooklyn School District","=""0190011""",12,1.0,9.4
"Canterbury School District","=""0220011""",18,2.8,26.1
"Canton School District","=""0230011""",28,1.7,15.5
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",70,1.6,14.5
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",21,1.2,10.3
"Colchester School District","=""0280011""",40,1.5,10.9
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",53,0.5,5.2
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",19,1.1,9.1
"Cromwell School District","=""0330011""",33,1.6,14.9
"Danbury School District","=""0340011""",149,1.4,11.4
"Darien School District","=""0350011""",42,0.9,7.2
"Deep River School District","=""0360011""",6,2.0,14.0
"Derby School District","=""0370011""",28,1.9,13.5
"East Granby School District","=""0400011""",11,1.2,11.0
"East Haddam School District","=""0410011""",33,3.0,20.4
"East Hampton School District","=""0420011""",38,2.0,23.9
"East Hartford School District","=""0430011""",143,1.8,12.4
"East Haven School District","=""0440011""",61,1.8,13.9
"East Lyme School District","=""0450011""",45,1.8,13.8
"East Windsor School District","=""0470011""",25,2.1,13.1
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""",28,1.0,9.5
"Enfield School District","=""0490011""",96,1.8,12.3
"Essex School District","=""0500011""",10,2.7,18.5
"Fairfield School District","=""0510011""",124,1.2,11.6
"Farmington School District","=""0520011""",89,2.2,18.6
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",101,1.6,15.8
"Granby School District","=""0560011""",25,1.3,11.6
"Greenwich School District","=""0570011""",107,1.3,12.0
"Griswold School District","=""0580011""",32,1.9,13.2
"Groton School District","=""0590011""",101,2.1,13.6
"Guilford School District","=""0600011""",67,2.0,16.9
"Hamden School District","=""0620011""",159,2.5,15.5
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",392,1.9,10.5
"Hartland School District","=""0650011""",6,2.2,17.1
"Hebron School District","=""0670011""",13,1.8,14.8
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",57,2.5,14.5
"Lebanon School District","=""0710011""",21,2.1,14.8
"Ledyard School District","=""0720011""",49,2.1,13.6
"Lisbon School District","=""0730011""",8,1.4,12.5
"Litchfield School District","=""0740011""",10,1.0,8.8
"Madison School District","=""0760011""",48,1.6,13.6
"Manchester School District","=""0770011""",115,1.6,13.2
"Mansfield School District","=""0780011""",16,1.4,11.7
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",159,1.8,10.5
"Middletown School District","=""0830011""",74,1.5,11.5
"Milford School District","=""0840011""",100,1.6,13.3
"Monroe School District","=""0850011""",46,1.4,13.0
"Montville School District","=""0860011""",36,1.5,10.9
"Naugatuck School District","=""0880011""",75,1.7,11.1
"New Britain School District","=""0890011""",174,1.6,9.9
"New Canaan School District","=""0900011""",52,1.2,12.9
"New Fairfield School District","=""0910011""",22,0.9,9.6
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",288,1.5,10.4
"New London School District","=""0950011""",79,2.2,12.0
"New Milford School District","=""0960011""",80,1.9,14.4
"Newington School District","=""0940011""",58,1.4,11.3
"Newtown School District","=""0970011""",94,2.1,19.9
"North Branford School District","=""0990011""",17,0.9,6.1
"North Canaan School District","=""1000011""",8,3.2,17.8
"North Haven School District","=""1010011""",51,1.6,14.2
"North Stonington School District","=""1020011""",6,0.8,9.1
"Norwalk School District","=""1030011""",143,1.2,10.1
"Norwich School District","=""1040011""",102,1.9,11.7
"Old Saybrook School District","=""1060011""",35,2.7,19.9
"Orange School District","=""1070011""",15,1.3,15.8
"Oxford School District","=""1080011""",32,1.6,13.1
"Plainfield School District","=""1090011""",43,2.0,14.3
"Plainville School District","=""1100011""",42,1.8,13.8
"Plymouth School District","=""1110011""",31,1.9,13.1
"Pomfret School District","=""1120011""",15,2.6,23.1
"Portland School District","=""1130011""",16,1.1,11.4
"Preston School District","=""1140011""",14,2.3,14.3
"Putnam School District","=""1160011""",28,2.5,14.7
"Redding School District","=""1170011""",9,1.0,7.8
"Regional School District 01","=""2010012""",9,2.1,12.9
"Regional School District 04","=""2040012""",27,2.8,18.9
"Regional School District 05","=""2050012""",40,1.7,14.4
"Regional School District 06","=""2060012""",11,1.4,9.3
"Regional School District 07","=""2070012""",13,1.3,10.8
"Regional School District 08","=""2080012""",21,1.2,10.4
"Regional School District 09","=""2090012""",21,2.0,16.2
"Regional School District 10","=""2100012""",42,1.7,17.0
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",13,1.9,11.6
"Regional School District 13","=""2130012""",39,2.3,15.5
"Regional School District 14","=""2140012""",24,1.6,14.5
"Regional School District 15","=""2150012""",83,2.2,16.6
"Regional School District 16","=""2160012""",46,2.0,14.6
"Regional School District 17","=""2170012""",37,1.7,10.7
"Regional School District 18","=""2180012""",18,1.4,11.4
"Regional School District 19","=""2190012""",22,2.3,12.7
"Ridgefield School District","=""1180011""",69,1.4,15.3
"Rocky Hill School District","=""1190011""",44,1.6,16.8
"Salem School District","=""1210011""",12,1.9,12.8
"Salisbury School District","=""1220011""","*","*","*"
"Seymour School District","=""1240011""",37,1.6,13.8
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",77,1.5,11.9
"Sherman School District","=""1270011""",7,1.5,11.3
"Simsbury School District","=""1280011""",94,2.2,17.1
"Somers School District","=""1290011""",24,1.7,14.7
"South Windsor School District","=""1320011""",89,2.1,16.8
"Southington School District","=""1310011""",98,1.5,12.5
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",25,1.6,13.2
"Stamford School District","=""1350011""",167,1.1,9.2
"Sterling School District","=""1360011""",11,1.9,14.1
"Stonington School District","=""1370011""",50,2.3,15.1
"Stratford School District","=""1380011""",130,1.8,15.5
"Suffield School District","=""1390011""",55,2.4,22.3
"Thomaston School District","=""1400011""",17,1.7,11.9
"Thompson School District","=""1410011""",14,1.4,11.3
"Tolland School District","=""1420011""",52,2.0,16.7
"Torrington School District","=""1430011""",79,1.8,9.7
"Trumbull School District","=""1440011""",99,1.5,14.6
"Unified School District #2","=""3470015""","*","*","*"
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",63,1.9,12.3
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",90,1.5,13.0
"Waterbury School District","=""1510011""",225,1.3,6.8
"Waterford School District","=""1520011""",48,1.8,12.4
"Watertown School District","=""1530011""",49,1.7,14.0
"West Hartford School District","=""1550011""",210,2.1,17.9
"West Haven School District","=""1560011""",98,1.4,9.6
"Westbrook School District","=""1540011""",15,2.0,16.0
"Weston School District","=""1570011""",38,1.6,18.2
"Westport School District","=""1580011""",52,0.9,9.0
"Wethersfield School District","=""1590011""",62,1.6,12.0
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",70,1.7,13.0
"Winchester School District","=""1620011""",36,3.1,14.5
"Windham School District","=""1630011""",51,1.6,9.7
"Windsor Locks School District","=""1650011""",28,1.7,11.7
"Windsor School District","=""1640011""",66,1.7,10.9
"Wolcott School District","=""1660011""",26,1.1,10.1
"Woodbridge School District","=""1670011""",7,0.9,11.1
"Woodstock School District","=""1690011""",14,1.1,12.1

