"Primary Disability (K-12), Trend"
"State of Connecticut"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"State of Connecticut","All Disabilities",65097,12.1,100.0,66131,12.4,100.0,68444,13.0,100.0,70055,13.4,100.0,72420,13.9,100.0
"State of Connecticut","Autism",6957,1.3,10.7,7289,1.4,11.0,7788,1.5,11.4,8222,1.6,11.7,8653,1.7,11.9
"State of Connecticut","Emotional Disturbance",5241,1.0,8.1,5231,1.0,7.9,5400,1.0,7.9,5413,1.0,7.7,5452,1.0,7.5
"State of Connecticut","Intellectual Disability",2342,0.4,3.6,2326,0.4,3.5,2380,0.5,3.5,2406,0.5,3.4,2525,0.5,3.5
"State of Connecticut","Learning Disability",21678,4.0,33.3,22272,4.2,33.7,23416,4.4,34.2,24287,4.6,34.7,25659,4.9,35.4
"State of Connecticut","Other Disabilities",5222,1.0,8.0,5345,1.0,8.1,5457,1.0,8.0,5484,1.0,7.8,5600,1.1,7.7
"State of Connecticut","Other Health Impairment",12922,2.4,19.9,13394,2.5,20.3,13945,2.6,20.4,14553,2.8,20.8,15166,2.9,20.9
"State of Connecticut","Speech Language Impairment",10735,2.0,16.5,10274,1.9,15.5,10058,1.9,14.7,9690,1.9,13.8,9365,1.8,12.9

