"Sanction Counts, 2014-15"
"All Districts, All Schools"

"",,,,"Sanction Type",,,
"District","District Code","School","School Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",287,759,"*",42
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",835,472,"*",26
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",0,0
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,57,9,0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",94,78,"*",0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","*",30,"*",0
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,9,"*",0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,16,0,0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,43,0,0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",285,64,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,12,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,94,0,0
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,"*",0,0
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*",67,0,45
"Ashford School District","=""0030011""","Ashford School","=""0030111""",26,"*",0,6
"Avon School District","=""0040011""","Avon High School","=""0046111""",22,15,"*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",34,6,0,0
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*","*",0,0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*",0,"*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",0,0,0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",0,0,0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",57,22,"*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",94,"*",0,0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",8,0,0,0
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",0,"*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","*","*",0,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",272,11,"*",0
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",136,15,"*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","*","*",0,0
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",13,"*",0,"*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",180,117,6,0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",21,13,0,"*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",14,61,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",52,31,"*",0
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",24,"*",0,0
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","*","*",0,0
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",0,"*",0,0
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",20,"*",0,0
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",32,25,"*","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",48,26,0,"*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",0,"*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",141,70,0,"*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",65,34,0,0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",81,6,0,0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","*",0,0,0
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","*",16,0,0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",1123,518,"*",47
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",294,20,0,"*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",135,78,"*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",616,416,"*",0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",40,24,0,0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",8,"*",0,0
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","*","*",0,0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",34,62,0,0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,6,0,0
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",39,168,"*",0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",37,36,0,0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1008,574,21,0
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",142,84,"*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*",33,"*",0
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",85,79,0,"*"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",304,226,"*",0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",55,157,0,0
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",56,127,"*",0
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",28,61,0,0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",145,118,0,0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",9,30,0,0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",220,572,6,"*"
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",34,10,0,0
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",80,73,0,0
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",367,74,"*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",8,"*",0,0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",112,244,0,0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",108,212,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",59,23,0,0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*",0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",23,17,0,0
"Bridgeport School District","=""0150011""","Read School","=""0152511""",269,103,0,6
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",86,193,0,0
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",119,101,0,"*"
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",8,7,"*",0
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",214,94,"*",0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",326,75,"*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",0,8,0,0
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","*","*",0,"*"
