"Six-Year Graduation Rates, 2010-11"
"All Districts, Gender"

"",,,,"Graduates",
"District","District Code","Gender","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Female",16,"*","*"
"Amistad Academy District","=""2790013""","Male",10,"*","*"
"Ansonia School District","=""0020011""","Female",94,73,77.7
"Ansonia School District","=""0020011""","Male",93,73,78.5
"Avon School District","=""0040011""","Female",136,"*","*"
"Avon School District","=""0040011""","Male",119,"*","*"
"Berlin School District","=""0070011""","Female",126,120,95.2
"Berlin School District","=""0070011""","Male",136,129,94.9
"Bethel School District","=""0090011""","Female",134,"*","*"
"Bethel School District","=""0090011""","Male",116,"*","*"
"Bloomfield School District","=""0110011""","Female",90,78,86.7
"Bloomfield School District","=""0110011""","Male",93,76,81.7
"Bolton School District","=""0120011""","Female",48,"*","*"
"Bolton School District","=""0120011""","Male",25,"*","*"
"Branford School District","=""0140011""","Female",135,130,96.3
"Branford School District","=""0140011""","Male",149,140,94.0
"Bridgeport School District","=""0150011""","Female",691,497,71.9
"Bridgeport School District","=""0150011""","Male",714,439,61.5
"Bristol School District","=""0170011""","Female",357,305,85.4
"Bristol School District","=""0170011""","Male",347,283,81.6
"Brookfield School District","=""0180011""","Female",120,"*","*"
"Brookfield School District","=""0180011""","Male",144,"*","*"
"Canton School District","=""0230011""","Female",56,"*","*"
"Canton School District","=""0230011""","Male",64,"*","*"
"Capitol Region Education Council","=""2410014""","Female",174,153,87.9
"Capitol Region Education Council","=""2410014""","Male",130,112,86.2
"Cheshire School District","=""0250011""","Female",164,"*","*"
"Cheshire School District","=""0250011""","Male",211,"*","*"
"Clinton School District","=""0270011""","Female",78,"*","*"
"Clinton School District","=""0270011""","Male",67,"*","*"
"Colchester School District","=""0280011""","Female",122,"*","*"
"Colchester School District","=""0280011""","Male",128,"*","*"
"Common Ground High School District","=""2680013""","Female",21,"*","*"
"Common Ground High School District","=""2680013""","Male",17,"*","*"
"Connecticut Technical High School System","=""9000016""","Female",833,776,93.2
"Connecticut Technical High School System","=""9000016""","Male",1497,1422,95.0
"Coventry School District","=""0320011""","Female",86,80,93.0
"Coventry School District","=""0320011""","Male",67,60,89.6
"Cromwell School District","=""0330011""","Female",94,90,95.7
"Cromwell School District","=""0330011""","Male",76,71,93.4
"Danbury School District","=""0340011""","Female",365,313,85.8
"Danbury School District","=""0340011""","Male",391,318,81.3
"Darien School District","=""0350011""","Female",161,"*","*"
"Darien School District","=""0350011""","Male",166,"*","*"
"Derby School District","=""0370011""","Female",56,49,87.5
"Derby School District","=""0370011""","Male",66,51,77.3
"East Granby School District","=""0400011""","Female",39,"*","*"
"East Granby School District","=""0400011""","Male",37,"*","*"
"East Haddam School District","=""0410011""","Female",47,"*","*"
"East Haddam School District","=""0410011""","Male",50,"*","*"
