"Six-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Non-Graduates",,,
"District","Special Education Status","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*"
"Ansonia School District","Non-Special Education",187,"*","*","*","*"
"Ansonia School District","Special Education",24,"*","*","*","*"
"Avon School District","Non-Special Education",230,"*","*","*","*"
"Avon School District","Special Education",33,"*","*","*","*"
"Berlin School District","Non-Special Education",239,"*","*","*","*"
"Berlin School District","Special Education",24,"*","*","*","*"
"Bethel School District","Non-Special Education",212,"*","*","*","*"
"Bethel School District","Special Education",21,"*","*","*","*"
"Bloomfield School District","Non-Special Education",142,"*","*","*","*"
"Bloomfield School District","Special Education",17,"*","*","*","*"
"Bolton School District","Non-Special Education",70,"*","*","*","*"
"Bolton School District","Special Education",13,"*","*","*","*"
"Branford School District","Non-Special Education",238,"*","*","*","*"
"Branford School District","Special Education",33,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1041,"*","*",250,24.0
"Bridgeport School District","Special Education",170,"*","*",59,34.7
"Bristol School District","Non-Special Education",531,"*","*",58,10.9
"Bristol School District","Special Education",99,"*","*",19,19.2
"Brookfield School District","Non-Special Education",225,"*","*","*","*"
"Brookfield School District","Special Education",15,"*","*","*","*"
"Canton School District","Non-Special Education",106,"*","*","*","*"
"Canton School District","Special Education",18,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",219,"*","*",23,10.5
"Capitol Region Education Council","Special Education",44,"*","*",15,34.1
"Cheshire School District","Non-Special Education",326,"*","*","*","*"
"Cheshire School District","Special Education",58,"*","*","*","*"
"Clinton School District","Non-Special Education",121,"*","*","*","*"
"Clinton School District","Special Education",22,"*","*","*","*"
"Colchester School District","Non-Special Education",225,"*","*","*","*"
"Colchester School District","Special Education",28,"*","*","*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2264,"*","*","*","*"
"Connecticut Technical High School System","Special Education",209,"*","*","*","*"
"Coventry School District","Non-Special Education",119,"*","*","*","*"
"Coventry School District","Special Education",19,"*","*","*","*"
"Cromwell School District","Non-Special Education",125,"*","*","*","*"
"Cromwell School District","Special Education",15,"*","*","*","*"
"Danbury School District","Non-Special Education",694,"*","*",89,12.8
"Danbury School District","Special Education",80,"*","*",17,21.3
"Darien School District","Non-Special Education",277,"*","*","*","*"
"Darien School District","Special Education",39,"*","*","*","*"
"Department of Mental Health and Addiction Services","Special Education","*","*","*","*","*"
"Derby School District","Non-Special Education",77,"*","*","*","*"
"Derby School District","Special Education",7,"*","*","*","*"
"East Granby School District","Non-Special Education",62,"*","*","*","*"
"East Granby School District","Special Education",8,"*","*","*","*"
"East Haddam School District","Non-Special Education",85,"*","*","*","*"
"East Haddam School District","Special Education",13,"*","*","*","*"
"East Hampton School District","Non-Special Education",120,"*","*","*","*"
"East Hampton School District","Special Education",12,"*","*","*","*"
"East Hartford School District","Non-Special Education",463,"*","*",60,13.0
"East Hartford School District","Special Education",81,"*","*",18,22.2
"East Haven School District","Non-Special Education",216,"*","*",40,18.5
"East Haven School District","Special Education",30,"*","*",13,43.3
"East Lyme School District","Non-Special Education",262,"*","*","*","*"
"East Lyme School District","Special Education",48,"*","*","*","*"
"East Windsor School District","Non-Special Education",75,"*","*","*","*"
"East Windsor School District","Special Education",17,"*","*","*","*"
