"Six-Year Graduation Rates, Trend"
"State of Connecticut, Race/Ethnicity"

"",,"Non-Graduates",,,,,
"",,"Six-Year Still Enrolled Rate by Year",,,"Six-Year Other Rate by Year",,
"District","Race/Ethnicity","2010-11","2011-12","2012-13","2010-11","2011-12","2012-13"
"State of Connecticut","Asian",5.5,4.8,3.0,"*","*",0.8
"State of Connecticut","Black",21.9,20.3,17.5,1.1,0.9,1.6
"State of Connecticut","Hispanic",29.5,25.0,22.9,0.9,0.6,1.4
"State of Connecticut","Indian or Alaska Native",24.2,"*","*","*","*","*"
"State of Connecticut","White",7.3,6.0,5.3,0.7,0.5,1.1
"State of Connecticut","Hawaiian or Pacific Islander","N/A","*","*","N/A","*","*"
"State of Connecticut","Two or More Races","N/A",12.4,11.2,"N/A","*","*"

