"Six-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","Special Education Status","2010-11","2011-12","2012-13"
"Amistad Academy District","Non-Special Education",69.2,94.4,"*"
"Amistad Academy District","Special Education","N/A","N/A","*"
"Ansonia School District","Non-Special Education",80.6,85.1,82.9
"Ansonia School District","Special Education",59.1,72.0,87.5
"Avon School District","Non-Special Education",97.8,98.4,99.1
"Avon School District","Special Education",100.0,94.3,90.9
"Berlin School District","Non-Special Education",95.7,98.2,97.1
"Berlin School District","Special Education",90.0,97.4,87.5
"Bethel School District","Non-Special Education",97.3,98.6,98.6
"Bethel School District","Special Education",85.2,85.2,76.2
"Bloomfield School District","Non-Special Education",86.5,91.6,95.1
"Bloomfield School District","Special Education",71.4,85.2,94.1
"Bolton School District","Non-Special Education","*",95.3,98.6
"Bolton School District","Special Education","*",100.0,76.9
"Branford School District","Non-Special Education",97.2,96.0,95.0
"Branford School District","Special Education",80.6,88.2,87.9
"Bridgeport School District","Non-Special Education",69.5,74.2,75.9
"Bridgeport School District","Special Education",46.2,54.9,59.4
"Bristol School District","Non-Special Education",84.2,90.1,88.1
"Bristol School District","Special Education",77.6,84.8,72.7
"Brookfield School District","Non-Special Education",96.4,99.6,98.2
"Brookfield School District","Special Education",90.9,88.9,86.7
"Canton School District","Non-Special Education",96.1,99.1,100.0
"Canton School District","Special Education",94.1,100.0,94.4
"Capitol Region Education Council","Non-Special Education",89.0,87.8,89.5
"Capitol Region Education Council","Special Education",71.9,63.9,52.3
"Cheshire School District","Non-Special Education",98.8,99.4,98.2
"Cheshire School District","Special Education",87.8,88.9,89.7
"Clinton School District","Non-Special Education",95.2,96.0,94.2
"Clinton School District","Special Education",94.7,85.0,86.4
"Colchester School District","Non-Special Education",96.9,98.6,96.9
"Colchester School District","Special Education",88.9,92.6,92.9
"Common Ground High School District","Non-Special Education",90.0,"*","*"
"Common Ground High School District","Special Education",87.5,"*","*"
"Connecticut Technical High School System","Non-Special Education",94.3,96.5,97.0
"Connecticut Technical High School System","Special Education",95.1,98.2,98.1
"Coventry School District","Non-Special Education",95.5,93.5,93.3
"Coventry School District","Special Education",65.0,84.6,78.9
"Cromwell School District","Non-Special Education",98.6,98.5,96.0
"Cromwell School District","Special Education",69.6,71.4,93.3
"Danbury School District","Non-Special Education",84.1,87.2,87.2
"Danbury School District","Special Education",77.6,74.4,71.3
"Darien School District","Non-Special Education",97.3,98.1,98.9
"Darien School District","Special Education",94.4,93.0,87.2
"Department of Mental Health and Addiction Services","Special Education","N/A","N/A","*"
"Derby School District","Non-Special Education",82.5,84.0,"*"
"Derby School District","Special Education",75.0,50.0,"*"
"East Granby School District","Non-Special Education",98.6,98.0,98.4
"East Granby School District","Special Education",85.7,88.9,100.0
"East Haddam School District","Non-Special Education","*",93.5,97.6
"East Haddam School District","Special Education","*",90.9,100.0
"East Hampton School District","Non-Special Education",94.4,97.4,99.2
"East Hampton School District","Special Education",64.3,70.0,83.3
"East Hartford School District","Non-Special Education",87.5,86.7,87.0
"East Hartford School District","Special Education",75.0,74.5,71.6
"East Haven School District","Non-Special Education",88.6,81.2,79.6
"East Haven School District","Special Education",65.5,54.3,50.0
"East Lyme School District","Non-Special Education",97.6,96.8,98.9
"East Lyme School District","Special Education",100.0,82.4,85.4
"East Windsor School District","Non-Special Education",89.6,90.9,90.7
"East Windsor School District","Special Education",100.0,81.8,82.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education","*",84.6,88.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education","*",75.0,71.4
"Ellington School District","Non-Special Education",95.7,96.6,95.0
"Ellington School District","Special Education",100.0,63.6,89.5
"Elm City College Preparatory School District","Non-Special Education","N/A","*",76.9
"Elm City College Preparatory School District","Special Education","N/A","*","N/A"
"Enfield School District","Non-Special Education",89.0,92.0,92.9
"Enfield School District","Special Education",75.5,67.8,80.0
"Explorations District","Non-Special Education",71.4,"*","*"
"Explorations District","Special Education",66.7,"*","*"
"Fairfield School District","Non-Special Education",97.8,97.5,97.1
"Fairfield School District","Special Education",87.5,90.4,78.2
"Farmington School District","Non-Special Education",96.1,98.2,99.3
"Farmington School District","Special Education",96.6,80.6,80.0
"Glastonbury School District","Non-Special Education",99.0,99.6,99.4
"Glastonbury School District","Special Education",88.6,81.4,85.9
"Granby School District","Non-Special Education",98.3,98.8,98.9
"Granby School District","Special Education",100.0,95.2,90.0
"Greenwich School District","Non-Special Education",98.6,96.9,98.1
"Greenwich School District","Special Education",89.1,89.1,91.7
"Griswold School District","Non-Special Education",88.8,89.8,92.0
"Griswold School District","Special Education",50.0,75.9,73.7
"Groton School District","Non-Special Education",85.0,84.6,87.5
"Groton School District","Special Education",57.6,70.7,66.7
"Guilford School District","Non-Special Education",96.3,100.0,96.7
"Guilford School District","Special Education",92.3,86.1,83.8
"Hamden School District","Non-Special Education",89.5,92.1,90.9
"Hamden School District","Special Education",81.9,81.7,87.3
"Hartford School District","Non-Special Education",73.1,78.9,80.7
"Hartford School District","Special Education",56.7,59.9,62.2
"Killingly School District","Non-Special Education",77.4,85.4,82.3
"Killingly School District","Special Education",59.3,82.1,64.5
"Learn","Non-Special Education","N/A","N/A",91.4
"Learn","Special Education","N/A","N/A",100.0
"Lebanon School District","Non-Special Education",94.4,93.0,94.4
"Lebanon School District","Special Education",82.4,80.0,90.0
"Ledyard School District","Non-Special Education",93.2,94.5,93.5
"Ledyard School District","Special Education",91.7,88.9,82.1
