"Six-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,"Graduates",
"District","School","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy",26,18,69.2
"Ansonia School District","Ansonia High School",182,145,79.7
"Avon School District","Avon High School",254,249,98.0
"Berlin School District","Berlin High School",261,248,95.0
"Bethel School District","Bethel High School",246,236,95.9
"Bloomfield School District","Bloomfield High School",165,140,84.8
"Bloomfield School District","The Big Picture High School",14,13,92.9
"Bolton School District","Bolton High School",72,69,95.8
"Branford School District","Branford High School",274,264,96.4
"Bridgeport School District","Bassick High School",334,224,67.1
"Bridgeport School District","Central High School",591,471,79.7
"Bridgeport School District","Harding High School",426,212,49.8
"Bristol School District","Bristol Central High School",329,263,79.9
"Bristol School District","Bristol Eastern High School",365,320,87.7
"Brookfield School District","Brookfield High School",263,254,96.6
"Canton School District","Canton High School",117,113,96.6
"Capitol Region Education Council","Great Path Academy at MCC",116,105,90.5
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",61,51,83.6
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",102,94,92.2
"Cheshire School District","Cheshire High School",364,357,98.1
"Clinton School District","The Morgan School",144,137,95.1
"Colchester School District","Bacon Academy",249,239,96.0
"Common Ground High School District","Common Ground High School",38,34,89.5
"Connecticut Technical High School System","A. I. Prince Technical High School",151,140,92.7
"Connecticut Technical High School System","Bullard-Havens Technical High School",190,182,95.8
"Connecticut Technical High School System","E. C. Goodwin Technical High School",101,97,96.0
"Connecticut Technical High School System","Eli Whitney Technical High School",122,100,82.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",125,120,96.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School",119,113,95.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School",182,177,97.3
"Connecticut Technical High School System","H. H. Ellis Technical High School",129,115,89.1
"Connecticut Technical High School System","Henry Abbott Technical High School",157,147,93.6
"Connecticut Technical High School System","Howell Cheney Technical High School",135,133,98.5
"Connecticut Technical High School System","Norwich Technical High School",111,109,98.2
"Connecticut Technical High School System","Oliver Wolcott Technical High School",192,179,93.2
"Connecticut Technical High School System","Platt Technical High School",199,193,97.0
"Connecticut Technical High School System","Vinal Technical High School",134,125,93.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School",152,147,96.7
"Connecticut Technical High School System","Windham Technical High School",126,121,96.0
"Coventry School District","Coventry High School",152,139,91.4
"Cromwell School District","Cromwell High School",166,159,95.8
"Danbury School District","Danbury High School",710,605,85.2
"Darien School District","Darien High School",326,317,97.2
"Derby School District","Derby High School",120,98,81.7
"East Granby School District","East Granby High School",76,74,97.4
"East Haddam School District","Nathan Hale-Ray High School",93,86,92.5
"East Hampton School District","East Hampton High School",136,127,93.4
"East Hartford School District","Connecticut IB Academy",33,33,100.0
"East Hartford School District","East Hartford High School",497,434,87.3
"East Haven School District","East Haven High School",292,257,88.0
"East Lyme School District","East Lyme High School",324,317,97.8
"East Windsor School District","East Windsor High School",89,81,91.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",17,14,82.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",43,34,79.1
"Ellington School District","Ellington High School",180,173,96.1
"Enfield School District","Enfield High School",237,203,85.7
"Enfield School District","Enrico Fermi High School",272,244,89.7
"Explorations District","Explorations",30,21,70.0
"Fairfield School District","Fairfield Ludlowe High School",350,340,97.1
"Fairfield School District","Fairfield Warde High School",299,291,97.3
"Farmington School District","Farmington High School",333,320,96.1
"Glastonbury School District","Glastonbury High School",542,533,98.3
"Granby School District","Granby Memorial High School",192,189,98.4
"Greenwich School District","Greenwich High School",631,617,97.8
"Griswold School District","Griswold High School",196,167,85.2
"Groton School District","Robert E. Fitch High School",325,271,83.4
"Guilford School District","Guilford High School",266,257,96.6
"Hamden School District","Hamden High School",567,506,89.2
"Hartford School District","Bulkeley High School Upper School",275,227,82.5
"Hartford School District","Capital Preparatory Magnet School",31,28,90.3
"Hartford School District","Classical Magnet School",88,85,96.6
"Hartford School District","Culinary Arts Academy",95,66,69.5
"Hartford School District","HPHS Academy of Engineering and Green Technology",129,105,81.4
"Hartford School District","HPHS Academy of Nursing and Health Science",133,103,77.4
"Hartford School District","HPHS Law and Government Academy",103,72,69.9
"Hartford School District","OPPortunity High School",53,26,49.1
"Hartford School District","Pathways Academy of Technology and Design",97,83,85.6
"Hartford School District","Sports and Medical Sciences Academy",106,99,93.4
"Hartford School District","University High of Science and Engineering",72,70,97.2
"Killingly School District","Killingly High School",191,143,74.9
"Lebanon School District","Lyman Memorial High School",158,149,94.3
"Ledyard School District","Ledyard High School",225,209,92.9
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*"
"Litchfield School District","Litchfield High School",91,88,96.7
"Madison School District","Daniel Hand High School",315,308,97.8
"Manchester School District","Manchester High School",486,385,79.2
"Meriden School District","Francis T. Maloney High School",311,247,79.4
"Meriden School District","Orville H. Platt High School",299,220,73.6
"Middletown School District","Middletown High School",336,277,82.4
"Milford School District","Jonathan Law High School",221,199,90.0
"Milford School District","Joseph A. Foran High School",266,251,94.4
"Monroe School District","Masuk High School",363,359,98.9
"Montville School District","Montville High School",195,174,89.2
"Naugatuck School District","Naugatuck High School",368,315,85.6
"New Britain School District","New Britain High School",711,442,62.2
"New Canaan School District","New Canaan High School",310,306,98.7
"New Fairfield School District","New Fairfield High School",238,225,94.5
"New Haven School District","Cooperative High School",109,92,84.4
"New Haven School District","High School In The Community",77,51,66.2
"New Haven School District","Hill Regional Career High School",170,150,88.2
"New Haven School District","Hyde School of Health, Science and Sports Medicine",40,34,85.0
"New Haven School District","James Hillhouse High School",306,185,60.5
"New Haven School District","Metropolitan Business Academy",33,29,87.9
"New Haven School District","New Haven Academy",61,46,75.4
"New Haven School District","Sound School",61,57,93.4
"New Haven School District","Wilbur Cross High School",472,297,62.9
"New London School District","New London High School",259,183,70.7
"New Milford School District","New Milford High School",391,350,89.5
"Newington School District","Newington High School",409,368,90.0
"Newtown School District","Newtown High School",443,426,96.2
"North Branford School District","North Branford High School",195,185,94.9
"North Haven School District","North Haven High School",303,269,88.8
"North Stonington School District","Wheeler High School",67,61,91.0
"Norwalk School District","Brien McMahon High School",440,407,92.5
"Norwalk School District","Norwalk High School",378,340,89.9
"Norwalk School District","Norwalk Pathways Academy at Briggs",67,33,49.3
"Norwich Free Academy District","Norwich Free Academy",607,514,84.7
"Norwich School District","Thames River Academy",24,"*","*"
"Old Saybrook School District","Old Saybrook Senior High School",120,115,95.8
"Oxford School District","Oxford High School",154,149,96.8
"Plainfield School District","Plainfield High School",225,204,90.7
"Plainville School District","Plainville High School",230,209,90.9
"Plymouth School District","Terryville High School",136,132,97.1
"Portland School District","Portland High School",96,82,85.4
"Putnam School District","Putnam High School",73,64,87.7
"Regional School District 01","Housatonic Valley Regional High School",137,119,86.9
"Regional School District 04","Valley Regional High School",169,152,89.9
"Regional School District 05","Amity Regional High School",403,381,94.5
"Regional School District 06","Wamogo Regional High School",103,92,89.3
"Regional School District 07","Northwestern Regional High School",185,183,98.9
"Regional School District 08","RHAM High School",262,238,90.8
"Regional School District 09","Joel Barlow High School",218,214,98.2
"Regional School District 10","Lewis S. Mills High School",174,170,97.7
"Regional School District 11","Parish Hill High School",36,27,75.0
"Regional School District 12","Shepaug Valley High School",93,81,87.1
"Regional School District 13","Coginchaug Regional High School",139,131,94.2
"Regional School District 14","Nonnewaug High School",217,210,96.8
"Regional School District 15","Pomperaug Regional High School",387,368,95.1
"Regional School District 16","Woodland Regional High School",198,180,90.9
"Regional School District 17","Haddam-Killingworth High School",179,169,94.4
"Regional School District 18","Lyme-Old Lyme High School",133,131,98.5
"Regional School District 19","E. O. Smith High School",283,250,88.3
"Ridgefield School District","Ridgefield High School",427,419,98.1
"Rocky Hill School District","Rocky Hill High School",176,163,92.6
"Seymour School District","Seymour High School",187,162,86.6
"Shelton School District","Shelton High School",393,367,93.4
"Simsbury School District","Simsbury High School",356,344,96.6
"Somers School District","Somers High School",143,140,97.9
"South Windsor School District","South Windsor High School",415,389,93.7
"Southington School District","Southington High School",535,511,95.5
"Stafford School District","Stafford High School",134,116,86.6
"Stamford Academy District","Stamford Academy",51,33,64.7
"Stamford School District","Stamford High School",441,392,88.9
"Stamford School District","The Academy of Information Technology",141,134,95.0
"Stamford School District","Westhill High School",593,527,88.9
"Stonington School District","Stonington High School",207,199,96.1
"Stratford School District","Bunnell High School",320,295,92.2
"Stratford School District","Stratford High School",241,221,91.7
"Suffield School District","Suffield High School",213,208,97.7
"The Bridge Academy District","The Bridge Academy",28,27,96.4
"The Gilbert School District","The Gilbert School",69,60,87.0
"Thomaston School District","Thomaston High School",102,96,94.1
"Thompson School District","Tourtellotte Memorial High School",94,84,89.4
"Tolland School District","Tolland High School",221,210,95.0
"Torrington School District","Torrington High School",277,229,82.7
"Trumbull School District","Trumbull High School",502,497,99.0
"Vernon School District","Rockville High School",286,243,85.0
"Wallingford School District","Lyman Hall High School",296,268,90.5
"Wallingford School District","Mark T. Sheehan High School",252,228,90.5
"Waterbury School District","Crosby High School",416,273,65.6
"Waterbury School District","John F. Kennedy High School",359,268,74.7
"Waterbury School District","Waterbury Arts Magnet School (High)",114,112,98.2
"Waterbury School District","Wilby High School",343,229,66.8
"Waterford School District","Waterford High School",269,251,93.3
"Watertown School District","Watertown High School",245,223,91.0
"West Hartford School District","Conard High School",408,373,91.4
"West Hartford School District","Hall High School",403,392,97.3
"West Haven School District","West Haven High School",452,328,72.6
"Westbrook School District","Westbrook High School",75,72,96.0
"Weston School District","Weston High School",192,192,100.0
"Westport School District","Staples High School",463,459,99.1
"Wethersfield School District","Wethersfield High School",300,282,94.0
"Wilton School District","Wilton High School",303,302,99.7
"Windham School District","Windham High School",248,177,71.4
"Windsor Locks School District","Windsor Locks High School",132,118,89.4
"Windsor School District","Windsor High School",346,306,88.4
"Wolcott School District","Wolcott High School",224,213,95.1
"Woodstock Academy District","Woodstock Academy",299,284,95.0

