"Six-Year Graduation Rates, 2011-12"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",
"District","School","English Learner Status","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Non-ELL",18,17,94.4
"Ansonia School District","Ansonia High School","Non-ELL",190,160,84.2
"Ansonia School District","Ansonia High School","ELL",9,7,77.8
"Avon School District","Avon High School","Non-ELL","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",164,153,93.3
"Bloomfield School District","The Big Picture High School","Non-ELL",17,14,82.4
"Bolton School District","Bolton High School","Non-ELL",70,67,95.7
"Branford School District","Branford High School","Non-ELL","*","*","*"
"Branford School District","Branford High School","ELL","*","*","*"
"Bridgeport School District","Bassick High School","Non-ELL",234,134,57.3
"Bridgeport School District","Bassick High School","ELL",73,36,49.3
"Bridgeport School District","Central High School","Non-ELL",507,426,84.0
"Bridgeport School District","Central High School","ELL",58,49,84.5
"Bridgeport School District","Harding High School","Non-ELL",287,195,67.9
"Bridgeport School District","Harding High School","ELL",70,46,65.7
"Bristol School District","Bristol Central High School","Non-ELL",321,288,89.7
"Bristol School District","Bristol Central High School","ELL",11,11,100.0
"Bristol School District","Bristol Eastern High School","Non-ELL",279,253,90.7
"Bristol School District","Bristol Eastern High School","ELL",10,6,60.0
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*"
"Brookfield School District","Brookfield High School","ELL","*","*","*"
"Canton School District","Canton High School","Non-ELL",117,116,99.1
"Capitol Region Education Council","Great Path Academy at MCC","Non-ELL",71,61,85.9
"Capitol Region Education Council","Great Path Academy at MCC","ELL","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",95,85,89.5
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","ELL","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",78,74,94.9
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*"
"Cheshire School District","Cheshire High School","ELL","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL","*","*","*"
"Common Ground High School District","Common Ground High School","ELL","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",152,146,96.1
"Connecticut Technical High School System","A. I. Prince Technical High School","ELL",18,14,77.8
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL",198,188,94.9
"Connecticut Technical High School System","Bullard-Havens Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL",117,112,95.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL",12,10,83.3
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL",108,101,93.5
"Connecticut Technical High School System","Eli Whitney Technical High School","ELL",17,14,82.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL",141,135,95.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL",13,13,100.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL",130,129,99.2
"Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL",199,194,97.5
"Connecticut Technical High School System","H. C. Wilcox Technical High School","ELL",6,6,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL",131,126,96.2
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL",153,149,97.4
"Connecticut Technical High School System","Henry Abbott Technical High School","ELL",8,8,100.0
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL",140,139,99.3
"Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-ELL",152,148,97.4
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL",162,158,97.5
"Connecticut Technical High School System","Oliver Wolcott Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-ELL",215,210,97.7
"Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-ELL",129,125,96.9
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL",163,160,98.2
"Connecticut Technical High School System","W. F. Kaynor Technical High School","ELL",11,11,100.0
"Connecticut Technical High School System","Windham Technical High School","Non-ELL",134,131,97.8
"Connecticut Technical High School System","Windham Technical High School","ELL","*","*","*"
"Coventry School District","Coventry High School","Non-ELL",148,137,92.6
"Cromwell School District","Cromwell High School","Non-ELL","*","*","*"
"Cromwell School District","Cromwell High School","ELL","*","*","*"
"Danbury School District","Danbury High School","Non-ELL",594,537,90.4
"Danbury School District","Danbury High School","ELL",110,83,75.5
"Darien School District","Darien High School","Non-ELL","*","*","*"
"Darien School District","Darien High School","ELL","*","*","*"
"Derby School District","Derby High School","Non-ELL",101,83,82.2
"Derby School District","Derby High School","ELL",8,7,87.5
"East Granby School District","East Granby High School","Non-ELL",60,58,96.7
"East Haddam School District","Nathan Hale-Ray High School","Non-ELL","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","ELL","*","*","*"
"East Hampton School District","East Hampton High School","Non-ELL","*","*","*"
"East Hampton School District","East Hampton High School","ELL","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-ELL",37,34,91.9
"East Hartford School District","East Hartford High School","Non-ELL",384,348,90.6
"East Hartford School District","East Hartford High School","ELL",26,20,76.9
"East Haven School District","East Haven High School","Non-ELL",205,161,78.5
"East Haven School District","East Haven High School","ELL",10,8,80.0
"East Lyme School District","East Lyme High School","Non-ELL",296,284,95.9
"East Windsor School District","East Windsor High School","Non-ELL",85,77,90.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-ELL",43,32,74.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELL","*","*","*"
"Ellington School District","Ellington High School","Non-ELL","*","*","*"
"Ellington School District","Ellington High School","ELL","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","Non-ELL",19,17,89.5
"Enfield School District","Enfield High School","Non-ELL","*","*","*"
"Enfield School District","Enfield High School","ELL","*","*","*"
"Enfield School District","Enrico Fermi High School","Non-ELL",303,273,90.1
"Explorations District","Explorations","Non-ELL",28,17,60.7
"Fairfield School District","Fairfield Ludlowe High School","Non-ELL",350,342,97.7
"Fairfield School District","Fairfield Ludlowe High School","ELL","*","*","*"
"Fairfield School District","Fairfield Warde High School","Non-ELL",327,314,96.0
"Fairfield School District","Fairfield Warde High School","ELL","*","*","*"
"Farmington School District","Farmington High School","Non-ELL","*","*","*"
"Farmington School District","Farmington High School","ELL","*","*","*"
"Glastonbury School District","Glastonbury High School","Non-ELL","*","*","*"
"Glastonbury School District","Glastonbury High School","ELL","*","*","*"
"Granby School District","Granby Memorial High School","Non-ELL",187,185,98.9
"Greenwich School District","Greenwich High School","Non-ELL",609,588,96.6
"Greenwich School District","Greenwich High School","ELL",30,26,86.7
"Griswold School District","Griswold High School","Non-ELL","*","*","*"
"Griswold School District","Griswold High School","ELL","*","*","*"
"Groton School District","Robert E. Fitch High School","Non-ELL",328,278,84.8
"Groton School District","Robert E. Fitch High School","ELL",11,7,63.6
"Guilford School District","Guilford High School","Non-ELL",285,282,98.9
"Hamden School District","Hamden High School","Non-ELL",483,441,91.3
"Hamden School District","Hamden High School","ELL",13,12,92.3
"Hartford School District","Bulkeley High School Upper School","Non-ELL",201,156,77.6
"Hartford School District","Bulkeley High School Upper School","ELL",45,35,77.8
"Hartford School District","Capital Preparatory Magnet School","Non-ELL",33,32,97.0
"Hartford School District","Classical Magnet School","Non-ELL",79,78,98.7
"Hartford School District","Classical Magnet School","ELL","*","*","*"
"Hartford School District","Culinary Arts Academy","Non-ELL",49,35,71.4
"Hartford School District","Culinary Arts Academy","ELL","*","*","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology","Non-ELL",94,78,83.0
"Hartford School District","HPHS Academy of Engineering and Green Technology","ELL",36,23,63.9
"Hartford School District","HPHS Academy of Nursing and Health Science","Non-ELL",95,77,81.1
"Hartford School District","HPHS Academy of Nursing and Health Science","ELL",29,17,58.6
"Hartford School District","HPHS Law and Government Academy","Non-ELL",110,71,64.5
"Hartford School District","HPHS Law and Government Academy","ELL",24,16,66.7
"Hartford School District","High School Inc.","Non-ELL",40,27,67.5
"Hartford School District","High School Inc.","ELL","*","*","*"
"Hartford School District","Journalism and Media Academy Magnet School","Non-ELL",89,73,82.0
"Hartford School District","Journalism and Media Academy Magnet School","ELL",7,"*","*"
"Hartford School District","OPPortunity High School","Non-ELL",62,38,61.3
"Hartford School District","OPPortunity High School","ELL",10,"*","*"
"Hartford School District","Pathways Academy of Technology and Design","Non-ELL",81,78,96.3
"Hartford School District","Pathways Academy of Technology and Design","ELL","*","*","*"
