"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","School","Free/Reduced Price Meal Eligibility","Six-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,15,83.3
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",102,79,77.5
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",37,31,83.8
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",66,62,93.9
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",246,245,99.6
"Berlin School District","Berlin High School","Eligible For Free Lunch",25,21,84.0
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,8,88.9
"Berlin School District","Berlin High School","Not Eligible For Lunch",229,224,97.8
"Bethel School District","Bethel High School","Eligible For Free Lunch",25,21,84.0
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",15,13,86.7
"Bethel School District","Bethel High School","Not Eligible For Lunch",193,191,99.0
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",46,43,93.5
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",19,19,100.0
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",55,54,98.2
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch",10,10,100.0
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch",14,14,100.0
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch",7,"*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",72,68,94.4
"Branford School District","Branford High School","Eligible For Free Lunch",38,36,94.7
"Branford School District","Branford High School","Eligible For Reduced Lunch",21,19,90.5
"Branford School District","Branford High School","Not Eligible For Lunch",210,200,95.2
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",292,198,67.8
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",16,13,81.3
"Bridgeport School District","Bassick High School","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",501,415,82.8
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",30,28,93.3
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",304,192,63.2
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",23,17,73.9
"Bridgeport School District","Harding High School","Not Eligible For Lunch","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",85,60,70.6
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",44,36,81.8
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",182,175,96.2
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",67,48,71.6
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",35,28,80.0
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",201,185,92.0
"Brookfield School District","Brookfield High School","Eligible For Free Lunch",18,17,94.4
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch",8,7,87.5
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",212,209,98.6
"Canton School District","Canton High School","Eligible For Free Lunch",8,8,100.0
"Canton School District","Canton High School","Eligible For Reduced Lunch",8,8,100.0
"Canton School District","Canton High School","Not Eligible For Lunch",105,105,100.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","Eligible For Free Lunch",9,8,88.9
"Capitol Region Education Council","Academy of Aerospace and Engineering","Eligible For Reduced Lunch",7,6,85.7
"Capitol Region Education Council","Academy of Aerospace and Engineering","Not Eligible For Lunch",22,21,95.5
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Free Lunch",37,31,83.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Reduced Lunch",10,9,90.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Not Eligible For Lunch",39,33,84.6
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Free Lunch",34,32,94.1
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Reduced Lunch",11,11,100.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",45,44,97.8
"Cheshire School District","Cheshire High School","Eligible For Free Lunch",18,17,94.4
"Cheshire School District","Cheshire High School","Eligible For Reduced Lunch",11,10,90.9
"Cheshire School District","Cheshire High School","Not Eligible For Lunch",326,321,98.5
"Clinton School District","The Morgan School","Eligible For Free Lunch",20,18,90.0
"Clinton School District","The Morgan School","Eligible For Reduced Lunch",8,7,87.5
"Clinton School District","The Morgan School","Not Eligible For Lunch",113,106,93.8
"Colchester School District","Bacon Academy","Eligible For Free Lunch",17,17,100.0
"Colchester School District","Bacon Academy","Eligible For Reduced Lunch",13,10,76.9
"Colchester School District","Bacon Academy","Not Eligible For Lunch",217,212,97.7
"Common Ground High School District","Common Ground High School","Eligible For Free Lunch",20,18,90.0
"Common Ground High School District","Common Ground High School","Eligible For Reduced Lunch",8,8,100.0
"Common Ground High School District","Common Ground High School","Not Eligible For Lunch",10,10,100.0
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Free Lunch",113,104,92.0
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Reduced Lunch",26,25,96.2
"Connecticut Technical High School System","A. I. Prince Technical High School","Not Eligible For Lunch",27,23,85.2
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Free Lunch",111,108,97.3
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Reduced Lunch",48,45,93.8
"Connecticut Technical High School System","Bullard-Havens Technical High School","Not Eligible For Lunch",37,36,97.3
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Eligible For Free Lunch",62,60,96.8
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Eligible For Reduced Lunch",25,23,92.0
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Not Eligible For Lunch",43,43,100.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Free Lunch",89,77,86.5
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Reduced Lunch",15,13,86.7
"Connecticut Technical High School System","Eli Whitney Technical High School","Not Eligible For Lunch",15,13,86.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Free Lunch",63,62,98.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Reduced Lunch",17,17,100.0
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Not Eligible For Lunch",67,66,98.5
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Eligible For Free Lunch",34,34,100.0
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Eligible For Reduced Lunch",14,13,92.9
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Not Eligible For Lunch",68,65,95.6
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Eligible For Free Lunch",47,47,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Eligible For Reduced Lunch",30,30,100.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Not Eligible For Lunch",101,100,99.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Eligible For Free Lunch",31,31,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Eligible For Reduced Lunch",15,15,100.0
"Connecticut Technical High School System","H. H. Ellis Technical High School","Not Eligible For Lunch",67,67,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School","Eligible For Free Lunch",44,43,97.7
"Connecticut Technical High School System","Henry Abbott Technical High School","Eligible For Reduced Lunch",19,17,89.5
"Connecticut Technical High School System","Henry Abbott Technical High School","Not Eligible For Lunch",85,84,98.8
"Connecticut Technical High School System","Howell Cheney Technical High School","Eligible For Free Lunch",39,37,94.9
"Connecticut Technical High School System","Howell Cheney Technical High School","Eligible For Reduced Lunch",26,26,100.0
"Connecticut Technical High School System","Howell Cheney Technical High School","Not Eligible For Lunch",103,101,98.1
"Connecticut Technical High School System","Norwich Technical High School","Eligible For Free Lunch",44,44,100.0
"Connecticut Technical High School System","Norwich Technical High School","Eligible For Reduced Lunch",22,22,100.0
"Connecticut Technical High School System","Norwich Technical High School","Not Eligible For Lunch",88,86,97.7
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Eligible For Free Lunch",26,26,100.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Eligible For Reduced Lunch",12,12,100.0
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Not Eligible For Lunch",128,127,99.2
"Connecticut Technical High School System","Platt Technical High School","Eligible For Free Lunch",55,54,98.2
"Connecticut Technical High School System","Platt Technical High School","Eligible For Reduced Lunch",33,32,97.0
