"Six-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Six-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",102,"*","*",22,21.6
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",37,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",66,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",246,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",25,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",229,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",25,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",15,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",193,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",46,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",19,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",55,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch",10,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch",14,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch",7,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","*","*","*","*","*"
