"Six-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","School","2010-11","2011-12","2012-13"
"Amistad Academy District","Amistad Academy",69.2,94.4,87.0
"Ansonia School District","Ansonia High School",79.7,83.9,83.9
"Avon School District","Avon High School",98.0,97.9,99.2
"Berlin School District","Berlin High School",95.0,98.4,96.2
"Bethel School District","Bethel High School",95.9,97.4,96.6
"Bloomfield School District","Bloomfield High School",84.8,93.3,96.7
"Bloomfield School District","Global Experience Magnet School","N/A","N/A","*"
"Bloomfield School District","Learning Academy at Bloomfield","N/A","N/A","*"
"Bloomfield School District","The Big Picture High School",92.9,82.4,"N/A"
"Bolton School District","Bolton High School",95.8,95.7,95.1
"Branford School District","Branford High School",96.4,96.0,94.8
"Bridgeport School District","Bassick High School",67.1,55.4,68.2
"Bridgeport School District","Central High School",79.7,84.1,83.6
"Bridgeport School District","Harding High School",49.8,67.5,64.2
"Bristol School District","Bristol Central High School",79.9,90.1,87.1
"Bristol School District","Bristol Eastern High School",87.7,89.6,86.1
"Brookfield School District","Brookfield High School",96.6,99.2,97.9
"Canton School District","Canton High School",96.6,99.1,100.0
"Capitol Region Education Council","Academy of Aerospace and Engineering","N/A","N/A",92.1
"Capitol Region Education Council","Great Path Academy at MCC",90.5,86.5,"N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",83.6,89.7,84.9
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",92.2,94.9,96.7
"Cheshire School District","Cheshire High School",98.1,99.5,98.0
"Clinton School District","The Morgan School",95.1,94.2,92.9
"Colchester School District","Bacon Academy",96.0,98.3,96.8
"Common Ground High School District","Common Ground High School",89.5,96.7,94.7
"Connecticut Technical High School System","A. I. Prince Technical High School",92.7,94.1,91.6
"Connecticut Technical High School System","Bullard-Havens Technical High School",95.8,95.1,96.4
"Connecticut Technical High School System","E. C. Goodwin Technical High School",96.0,94.6,96.9
"Connecticut Technical High School System","Eli Whitney Technical High School",82.0,92.0,86.6
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",96.0,96.1,98.6
"Connecticut Technical High School System","Emmett O'Brien Technical High School",95.0,99.3,96.6
"Connecticut Technical High School System","H. C. Wilcox Technical High School",97.3,97.6,99.4
"Connecticut Technical High School System","H. H. Ellis Technical High School",89.1,96.2,100.0
"Connecticut Technical High School System","Henry Abbott Technical High School",93.6,97.5,97.3
"Connecticut Technical High School System","Howell Cheney Technical High School",98.5,98.6,97.6
"Connecticut Technical High School System","Norwich Technical High School",98.2,97.4,98.7
"Connecticut Technical High School System","Oliver Wolcott Technical High School",93.2,97.5,99.4
"Connecticut Technical High School System","Platt Technical High School",97.0,97.7,99.0
"Connecticut Technical High School System","Vinal Technical High School",93.3,96.9,95.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School",96.7,98.3,97.9
"Connecticut Technical High School System","Windham Technical High School",96.0,97.8,99.2
"Coventry School District","Coventry High School",91.4,92.6,91.1
"Cromwell School District","Cromwell High School",95.8,95.2,95.7
"Danbury School District","Alternative Center For Excellence","N/A","N/A",52.9
"Danbury School District","Danbury High School",85.2,88.1,87.6
"Darien School District","Darien High School",97.2,98.4,98.4
"Derby School District","Derby High School",81.7,82.6,86.6
"East Granby School District","East Granby High School",97.4,96.7,98.5
"East Haddam School District","Nathan Hale-Ray High School",92.5,93.9,98.9
"East Hampton School District","East Hampton High School",93.4,96.2,98.4
"East Hartford School District","Connecticut IB Academy",100.0,91.9,97.4
"East Hartford School District","East Hartford High School",87.3,89.8,89.9
"East Hartford School District","Stevens Alternate High school","N/A","N/A",67.2
"East Haven School District","East Haven High School",88.0,78.6,77.6
"East Lyme School District","East Lyme High School",97.8,95.9,98.0
"East Windsor School District","East Windsor High School",91.0,90.6,89.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",82.4,91.2,96.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",79.1,75.0,82.5
"Ellington School District","Ellington High School",96.1,93.5,94.4
"Elm City College Preparatory School District","Elm City College Preparatory School","N/A",89.5,76.9
"Enfield School District","Enfield High School",85.7,88.6,86.3
"Enfield School District","Enrico Fermi High School",89.7,90.1,94.9
"Explorations District","Explorations",70.0,60.7,70.0
"Fairfield School District","Fairfield Ludlowe High School",97.1,97.7,97.4
"Fairfield School District","Fairfield Warde High School",97.3,95.6,94.6
"Farmington School District","Farmington High School",96.1,97.7,98.4
"Glastonbury School District","Glastonbury High School",98.3,98.2,98.7
"Granby School District","Granby Memorial High School",98.4,98.9,98.4
"Greenwich School District","Greenwich High School",97.8,96.1,97.9
"Griswold School District","Griswold High School",85.2,88.5,91.0
"Groton School District","Robert E. Fitch High School",83.4,84.1,85.5
"Guilford School District","Guilford High School",96.6,98.9,95.7
"Hamden School District","Hamden High School",89.2,91.3,91.1
"Hartford School District","Bulkeley High School Upper School",82.5,77.6,78.9
"Hartford School District","Capital Preparatory Magnet School",90.3,97.0,100.0
"Hartford School District","Classical Magnet School",96.6,98.8,98.9
"Hartford School District","Culinary Arts Academy",69.5,71.7,72.0
"Hartford School District","Great Path Academy High School at MCC","N/A","N/A",95.6
"Hartford School District","HPHS Academy of Engineering and Green Technology",81.4,77.7,68.1
"Hartford School District","HPHS Academy of Nursing and Health Science",77.4,75.8,73.0
"Hartford School District","HPHS Law and Government Academy",69.9,64.9,83.9
"Hartford School District","High School Inc.","N/A",68.3,78.6
"Hartford School District","Journalism and Media Academy Magnet School","N/A",80.2,69.5
"Hartford School District","OPPortunity High School",49.1,56.9,72.9
"Hartford School District","Pathways Academy of Technology and Design",85.6,96.4,94.4
"Hartford School District","Sports and Medical Sciences Academy",93.4,95.3,93.2
"Hartford School District","University High of Science and Engineering",97.2,91.8,97.9
"Killingly School District","Killingly High School",74.9,85.2,80.7
"Learn","Connecticut River Academy","N/A","N/A",96.6
"Learn","Marine Science Magnet High School of Southeastern Connecticut","N/A","N/A","*"
"Learn","Three Rivers Middle College Magnet School","N/A","N/A","*"
"Lebanon School District","Lyman Memorial High School",94.3,93.5,94.9
"Ledyard School District","Ledyard High School",92.9,94.1,94.2
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*"
"Litchfield School District","Litchfield High School",96.7,99.0,98.8
"Madison School District","Daniel Hand High School",97.8,98.8,100.0
"Manchester School District","Manchester High School",79.2,82.0,85.2
"Meriden School District","Francis T. Maloney High School",79.4,75.6,79.4
"Meriden School District","Orville H. Platt High School",73.6,75.1,73.9
"Middletown School District","Middletown High School",82.4,86.0,87.4
"Milford School District","Jonathan Law High School",90.0,88.7,88.4
"Milford School District","Joseph A. Foran High School",94.4,96.3,95.0
"Monroe School District","Masuk High School",98.9,99.4,99.3
"Montville School District","Montville High School",89.2,89.0,90.9
"Naugatuck School District","Naugatuck High School",85.6,86.9,82.5
"New Britain School District","New Britain High School",62.2,70.4,70.5
"New Canaan School District","New Canaan High School",98.7,99.7,98.5
"New Fairfield School District","New Fairfield High School",94.5,98.3,97.3
"New Haven School District","Cooperative High School",84.4,94.0,91.3
"New Haven School District","High School In The Community",66.2,61.6,66.2
"New Haven School District","Hill Regional Career High School",88.2,91.6,93.5
"New Haven School District","Hyde School of Health, Science and Sports Medicine",85.0,83.0,82.9
"New Haven School District","James Hillhouse High School",60.5,62.9,65.6
"New Haven School District","Metropolitan Business Academy",87.9,93.0,83.3
"New Haven School District","New Haven Academy",75.4,80.0,74.3
"New Haven School District","Sound School",93.4,92.9,94.9
"New Haven School District","Wilbur Cross High School",62.9,72.4,72.8
"New London School District","New London High School",70.7,72.1,70.0
"New Milford School District","New Milford High School",89.5,93.7,91.3
"Newington School District","Newington High School",90.0,93.0,92.2
"Newtown School District","Newtown High School",96.2,96.5,97.0
"North Branford School District","North Branford High School",94.9,93.6,97.6
"North Haven School District","North Haven High School",88.8,96.1,92.4
"North Stonington School District","Wheeler High School",91.0,90.7,95.8
"Norwalk School District","Brien McMahon High School",92.5,90.6,89.6
"Norwalk School District","Norwalk High School",89.9,88.4,91.1
"Norwalk School District","Norwalk Pathways Academy at Briggs",49.3,43.3,39.5
"Norwich Free Academy District","Norwich Free Academy",84.7,87.8,87.2
"Norwich School District","Thames River Academy","*","*","N/A"
"Old Saybrook School District","Old Saybrook Senior High School",95.8,97.9,95.6
"Oxford School District","Oxford High School",96.8,91.8,98.0
"Plainfield School District","Plainfield High School",90.7,90.4,90.4
"Plainville School District","Plainville High School",90.9,94.6,91.6
"Plymouth School District","Terryville High School",97.1,91.8,90.8
"Portland School District","Portland High School",85.4,93.3,88.0
"Putnam School District","Putnam High School",87.7,90.9,92.4
"Regional School District 01","Housatonic Valley Regional High School",86.9,96.3,92.6
"Regional School District 04","Valley Regional High School",89.9,93.1,96.3
"Regional School District 05","Amity Regional High School",94.5,97.5,96.9
"Regional School District 06","Wamogo Regional High School",89.3,95.3,96.9
"Regional School District 07","Northwestern Regional High School",98.9,98.3,98.9
"Regional School District 08","RHAM High School",90.8,95.5,95.2
"Regional School District 08","Region Alternative High School","N/A","N/A",58.3
"Regional School District 09","Joel Barlow High School",98.2,98.3,97.4
"Regional School District 10","Lewis S. Mills High School",97.7,97.8,94.9
"Regional School District 11","Parish Hill High School",75.0,97.6,92.3
"Regional School District 12","Shepaug Valley High School",87.1,86.3,92.9
"Regional School District 13","Coginchaug Regional High School",94.2,97.9,97.9
"Regional School District 14","Nonnewaug High School",96.8,99.0,96.4
"Regional School District 15","Pomperaug Regional High School",95.1,96.6,97.5
"Regional School District 16","Woodland Regional High School",90.9,95.8,92.9
"Regional School District 17","Haddam-Killingworth High School",94.4,94.7,98.1
"Regional School District 18","Lyme-Old Lyme High School",98.5,98.1,97.3
"Regional School District 19","E. O. Smith High School",88.3,92.9,94.5
"Ridgefield School District","Ridgefield High School",98.1,99.5,99.3
"Rocky Hill School District","Rocky Hill High School",92.6,95.2,94.3
"Seymour School District","Seymour High School",86.6,91.3,89.8
"Shelton School District","Shelton High School",93.4,94.6,93.9
"Simsbury School District","Simsbury High School",96.6,99.0,99.0
"Somers School District","Somers High School",97.9,98.6,98.0
"South Windsor School District","South Windsor High School",93.7,97.6,97.3
"Southington School District","Southington High School",95.5,96.7,95.3
"Stafford School District","Stafford High School",86.6,89.9,90.6
"Stamford Academy District","Stamford Academy",64.7,68.2,56.8
